candidate_id,beta_flex,beta_extend,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,kinematic_gate_pass
MYOLEG_V3_K0074,-0.025,0.03,0.8969656089543517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1233380058049,11.647813944723952,20.709464944166353,6.287647847088709,174.05830523484076,24.48677518324168,True
MYOLEG_V3_K0075,-0.0225,-0.03,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.826181129143148,11.689505642320267,15.562447731862543,6.042406968358458,133.79963387771448,23.795809310848707,True
MYOLEG_V3_K0076,-0.0225,-0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.745057055992522,11.683512828051784,16.045520479803653,6.032892664195956,162.80055942219457,23.824228762747637,True
MYOLEG_V3_K0077,-0.0225,-0.025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.63648689763539,11.677947235663684,16.09718079722128,6.013251319930112,133.02105938186398,22.997123823868378,True
MYOLEG_V3_K0078,-0.0225,-0.0225,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.582100930702534,11.6727765922133,16.542566855703566,6.014449534775909,160.99737786428645,23.503417852449527,True
MYOLEG_V3_K0079,-0.0225,-0.02,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53578196455092,11.667979301515885,16.09720206792273,6.023414089953803,145.30335060383544,24.129948732593448,True
MYOLEG_V3_K0080,-0.0225,-0.0175,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.465887304463088,11.663595086048675,16.087660631715263,6.0108677657051155,154.01699293376635,23.36347801310905,True
MYOLEG_V3_K0081,-0.0225,-0.015,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40450123231412,11.65962675547528,16.223553991640394,5.999023315107203,123.24018981046099,22.62693460981223,True
MYOLEG_V3_K0082,-0.0225,-0.0125,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.391788849990814,11.656067335243078,16.83351829494726,6.009301568484101,140.82080421526388,23.253319808809977,True
MYOLEG_V3_K0083,-0.0225,-0.01,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.356304303139876,11.652908653451377,16.853202118937624,6.0322869180251,157.96667849559367,24.469795233327677,True
MYOLEG_V3_K0084,-0.0225,-0.0075,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.297172258414612,11.650158947276362,16.86687724164785,6.015940881659349,146.64828316784107,23.099877137230045,True
MYOLEG_V3_K0085,-0.0225,-0.005,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31757034209829,11.647819913776567,16.87446243162595,6.012869114600318,116.06324038737841,22.50976042649208,True
