candidate_index,candidate_id,beta_flex,beta_extend,included,inclusion_reason,finite,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,max_knee_displacement_fraction_of_rom,rms_knee_displacement_fraction_of_rom,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,peak_dq_ratio,rms_dq_ratio,peak_ddq_ratio,rms_ddq_ratio,peak_jerk_ratio,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,kinematic_gate_pass,exclusion_reason
294,MYOLEG_V3_K0294,-0.0025,0.0175,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420677493,119.50001357087694,101.17911615019945,0.0,0.0,0.0,9.695710900814447e-10,1.357087694486836e-05,1.3571846508853014e-05,0.0,0.0,0.0,2.7389654979544247,0.6771906830891383,0.027070466412106926,0.0066929896177397195,266.6658589480888,617.4661124192376,1.2086298494072487,1.2254180902470617,4.576904721828405,19.0186575345024,28.670776504568437,11.72294377597391,19.18761383075747,6.258543182925923,146.80403839323492,23.93082951958675,1.0127530747062652,0.999215171221536,1.0978330456695415,1.018950953016269,0.942213504848452,0.9398966052233718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
295,MYOLEG_V3_K0295,-0.0025,0.02,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420538994,119.50001548536063,101.17911806482164,0.0,0.0,0.0,1.1080700801358034e-09,1.5485360634670542e-05,1.548646869764525e-05,0.0,0.0,0.0,3.126133388416065,0.7730155936606347,0.030897026251000714,0.007640071654737327,266.5871139568718,604.0425106128704,1.2086298494072487,1.2258371351157586,4.576904721828405,19.004662112121984,28.69770847157522,11.724631157087023,19.236135979165837,6.291945056601325,169.39979209628154,24.81637190783875,1.0137044068890424,0.9993589965985126,1.1006092750870942,1.0243890989264757,1.0872369287559855,0.9313104059695678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
296,MYOLEG_V3_K0296,-0.0025,0.0225,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420400495,119.5000173938022,101.1791199734017,0.0,0.0,0.0,1.2465690701901622e-09,1.739380219589748e-05,1.739504875786224e-05,0.0,0.0,0.0,3.513433459370134,0.8688628769748802,0.03472489249100956,0.008587374811928521,266.5102661356859,590.610907684685,1.2086298494072487,1.2262534430195817,4.576904721828405,18.99084984815852,28.856772910770637,11.72671877256326,19.279124433876387,6.2990066900710335,138.62039526569848,23.985709191864633,1.0193231246048293,0.9995369362948376,1.1030688902627892,1.025538800693085,0.8896894792288653,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
297,MYOLEG_V3_K0297,-0.0025,0.025,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742026201,119.50001929620531,101.1791218759433,0.0,0.0,0.0,1.3850538493898057e-09,1.929620530916054e-05,1.9297590355904504e-05,0.0,0.0,0.0,3.902294083841028,0.9647038845091832,0.038568182405246156,0.009534615942675692,266.4353167999668,577.1720962830854,1.2086298494072487,1.226667019193628,4.576904721828405,18.976893658031347,28.968470969733104,11.729191947949563,19.316494728764795,6.3229526744815425,129.22125481815627,23.828637735568083,1.0232686945001872,0.9997477395209139,1.1052070584069253,1.0294374369927541,0.8293641832726357,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
298,MYOLEG_V3_K0298,-0.0025,0.0275,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420123522,119.50002119257371,101.1791237724502,0.0,0.0,0.0,1.523542181303128e-09,2.119257371191452e-05,2.1194097257648536e-05,0.0,0.0,0.0,4.289672147017967,1.0605184417497633,0.04239681947856823,0.01048159565290174,266.362265126835,563.7268264244781,1.2086298494072487,1.2270778628092935,4.576904721828405,18.962778984041407,29.032417606193224,11.732047671715009,19.741422595163087,6.361699529710012,155.56153811782542,24.558062524640285,1.0255275155224148,0.9999911495863192,1.1295196101328782,1.0357457972464856,0.9984206405616615,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
299,MYOLEG_V3_K0299,-0.0025,0.03,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089741998503,119.50002308291111,101.17912566292608,0.0,0.0,0.0,1.6620340659301291e-09,2.3082911113192495e-05,2.308457314370571e-05,0.0,0.0,0.0,4.675211981898585,1.1562913354556534,0.04620728848902478,0.011428163583089929,266.2911060274156,550.2758467239188,1.2086298494072487,1.227485975564794,4.576904721828405,18.948749014913556,29.1233380058049,11.735305328017846,20.709464944166353,6.392953161911523,174.05830523484076,24.92879162713741,1.0287391451148529,1.0002688187164135,1.1849068453418639,1.0408341888076127,1.11713606531725,0.8969656089543517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
300,MYOLEG_V3_K0300,0.0,-0.03,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423309514,119.49997604310423,101.17907861979471,0.0,0.0,0.0,1.6624497334305488e-09,2.395689577383564e-05,2.3958558230674498e-05,0.0,0.0,0.0,4.704586410061594,1.1559977318131602,0.04649760958710194,0.01142526176211098,268.5562253941404,862.7655466154041,1.208602832862683,1.2169413400568079,4.56993873413117,19.268770856157552,28.826181129143148,11.776895776698778,15.562447731862543,6.187537493900549,133.79963387771448,25.120863582873625,1.018242514845305,1.003813816295014,0.8904165751010031,1.0073905447251887,0.8587490055666653,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
301,MYOLEG_V3_K0301,0.0,-0.0275,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423170962,119.49997807301177,101.17908064984081,0.0,0.0,0.0,1.523897452671008e-09,2.1926988225118293e-05,2.1928512126123678e-05,0.0,0.0,0.0,4.314234173596276,1.0598699119588597,0.04263957737968015,0.010475185932175057,268.44191459857956,849.6483689255674,1.208602832862683,1.217411322068233,4.56993873413117,19.256576662939548,28.745057055992522,11.770947454501645,16.045520479803653,6.178246690191937,162.80055942219457,25.14778563871587,1.0153769260984182,1.0033068059487842,0.9180559278016515,1.0058779126291117,1.0448819212560798,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
302,MYOLEG_V3_K0302,0.0,-0.025,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423032413,119.49998009682022,101.1790826737878,0.0,0.0,0.0,1.3853487246251461e-09,1.9903179776292745e-05,1.990456513567551e-05,0.0,0.0,0.0,3.9223937054616584,0.9636836255574645,0.038766836288394266,0.009524532250236055,268.3293874517449,836.507621483154,1.208602832862683,1.217878737732475,4.56993873413117,19.244230170288734,28.63648689763539,11.765423222831094,16.09718079722128,6.159068899095014,133.02105938186398,24.36565103914539,1.0115418446983726,1.0028359433224643,0.9210117098030558,1.0027555840066509,0.8537519808761325,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
303,MYOLEG_V3_K0303,0.0,-0.0225,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742289386,119.49998211453203,101.17908469163817,0.0,0.0,0.0,1.2467964438656054e-09,1.788546796888113e-05,1.7886714772430423e-05,0.0,0.0,0.0,3.529714758737285,0.8674451926455183,0.03488580812429997,0.008573363180146515,268.2186582589073,823.344111790147,1.208602832862683,1.2183435693584845,4.56993873413117,19.23169443870321,28.582100930702534,11.760291039983272,16.542566855703566,6.160238751341085,160.99737786428645,24.8440716698756,1.0096207402865913,1.002398497313934,0.9464947916179798,1.0029460471905232,1.0333087926545101,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
