candidate_id,beta_flex,beta_extend,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,kinematic_gate_pass,exclusion_reason
MYOLEG_V3_K0520,0.02,0.02,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420538994,119.50001548536063,101.17911806482164,0.0,0.0,0.0,1.1080700801358034e-09,1.5485360634670542e-05,1.548646869764525e-05,0.0,0.0,0.0,3.126133388416065,0.9066092601350092,266.926716534914,541.3196547394124,1.2083349945778776,1.2258371351157586,4.5174115107844015,19.004662112121984,True,
MYOLEG_V3_K0521,0.02,0.0225,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420400495,119.5000173938022,101.1791199734017,0.0,0.0,0.0,1.2465690701901622e-09,1.739380219589748e-05,1.739504875786224e-05,0.0,0.0,0.0,3.513433459370134,0.989600900113329,266.8498687137281,527.888051811227,1.2083349945778776,1.2262534430195817,4.5174115107844015,18.99084984815852,True,
MYOLEG_V3_K0522,0.02,0.025,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742026201,119.50001929620531,101.1791218759433,0.0,0.0,0.0,1.3850538493898057e-09,1.929620530916054e-05,1.9297590355904504e-05,0.0,0.0,0.0,3.902294083841028,1.0747282574247097,266.77491937800903,514.4492404096274,1.2083349945778776,1.226667019193628,4.5174115107844015,18.976893658031347,True,
MYOLEG_V3_K0523,0.02,0.0275,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897420123522,119.50002119257371,101.1791237724502,0.0,0.0,0.0,1.523542181303128e-09,2.119257371191452e-05,2.1194097257648536e-05,0.0,0.0,0.0,4.289672147017967,1.161501875939678,266.70186770487715,501.0039705510201,1.2083349945778776,1.2270778628092935,4.5174115107844015,18.962778984041407,True,
MYOLEG_V3_K0524,0.02,0.03,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089741998503,119.50002308291111,101.17912566292608,0.0,0.0,0.0,1.6620340659301291e-09,2.3082911113192495e-05,2.308457314370571e-05,0.0,0.0,0.0,4.675211981898585,1.2495586800826377,266.63070860545776,487.5529908504608,1.2083349945778776,1.227485975564794,4.5174115107844015,18.948749014913556,True,
MYOLEG_V3_K0525,0.0225,-0.03,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423309514,119.49997604310423,101.17907861979471,0.0,0.0,0.0,1.6624497334305488e-09,2.395689577383564e-05,2.3958558230674498e-05,0.0,0.0,0.0,4.704586410061594,1.2739063481468986,268.902963702804,800.4567794145676,1.208295928997412,1.2169413400568079,4.511235304496291,19.268770856157552,True,
MYOLEG_V3_K0526,0.0225,-0.0275,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423170962,119.49997807301177,101.17908064984081,0.0,0.0,0.0,1.523897452671008e-09,2.1926988225118293e-05,2.1928512126123678e-05,0.0,0.0,0.0,4.314234173596276,1.1873629850081557,268.78865290724315,787.3396017247309,1.208295928997412,1.217411322068233,4.511235304496291,19.256576662939548,True,
MYOLEG_V3_K0527,0.0225,-0.025,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423032413,119.49998009682022,101.1790826737878,0.0,0.0,0.0,1.3853487246251461e-09,1.9903179776292745e-05,1.990456513567551e-05,0.0,0.0,0.0,3.9223937054616584,1.1023578176161204,268.67612576040847,774.1988542823175,1.208295928997412,1.217878737732475,4.511235304496291,19.244230170288734,True,
MYOLEG_V3_K0528,0.0225,-0.0225,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742289386,119.49998211453203,101.17908469163817,0.0,0.0,0.0,1.2467964438656054e-09,1.788546796888113e-05,1.7886714772430423e-05,0.0,0.0,0.0,3.529714758737285,1.0192976945601402,268.5653965675709,761.0353445893105,1.208295928997412,1.2183435693584845,4.511235304496291,19.23169443870321,True,
MYOLEG_V3_K0529,0.0225,-0.02,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422755316,119.49998412614971,101.1790867033944,0.0,0.0,0.0,1.1082512685334223e-09,1.5873850287562163e-05,1.5874958535277983e-05,0.0,0.0,0.0,3.136880825625255,0.9387205163305192,268.45647510423044,747.8499269011706,1.208295928997412,1.218805799233494,4.511235304496291,19.21896131637431,True,
MYOLEG_V3_K0530,0.0225,-0.0175,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422616778,119.49998613167573,101.17908870905895,0.0,0.0,0.0,9.697131986285967e-10,1.386832427385798e-05,1.3869293994162035e-05,0.0,0.0,0.0,2.7445528219890605,0.8613438027329573,268.34936973999834,734.6434598161728,1.208295928997412,1.2192654079966614,4.511235304496291,19.20628859453298,True,
MYOLEG_V3_K0531,0.0225,-0.015,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422478232,119.49998813111254,101.1790907086343,0.0,0.0,0.0,8.311680232964136e-10,1.1868887455079857e-05,1.1869718633761295e-05,0.0,0.0,0.0,2.3528674993023913,0.7881294636583205,268.2440946089505,721.4167230852341,1.208295928997412,1.2197223808925894,4.511235304496291,19.19352214062332,True,
MYOLEG_V3_K0532,0.0225,-0.0125,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.3208974223397,119.4999901244627,101.179092702123,0.0,0.0,0.0,6.926370588189457e-10,9.875537301695658e-06,9.876229938754477e-06,0.0,0.0,0.0,1.9614347030585435,0.7203652633850302,268.1406648156477,708.170536481607,1.208295928997412,1.2201767039844738,4.511235304496291,19.180569673744735,True,
MYOLEG_V3_K0533,0.0225,-0.01,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742220117,119.49999211172863,101.17909468952746,0.0,0.0,0.0,5.541060943414777e-10,7.888271369438371e-06,7.888825479085426e-06,0.0,0.0,0.0,1.8258111767820395,0.6597481778569061,268.0390893384251,694.9057242645079,1.208295928997412,1.2206283647556,4.511235304496291,19.16742190058873,True,
MYOLEG_V3_K0534,0.0225,-0.0075,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742206264,119.49999409291286,101.17909667085021,0.0,0.0,0.0,4.155751298640098e-10,5.907087142986711e-06,5.9075027252220025e-06,0.0,0.0,0.0,1.8258111767820395,0.6084309527022812,267.9393762360878,681.6231319909118,1.208295928997412,1.2210773497890821,4.511235304496291,19.154345201844986,True,
MYOLEG_V3_K0535,0.0225,-0.005,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421924116,119.49999606801782,101.1790986460937,0.0,0.0,0.0,2.7705127081389946e-10,3.9319821780736675e-06,3.932259232897195e-06,0.0,0.0,0.0,1.8258111767820395,0.5689450053824107,267.84154208553946,668.3235856415969,1.208295928997412,1.2215236481158758,4.511235304496291,19.141194018409518,True,
