swept_branch,swept_beta,beta_flex,beta_extend,finite,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,max_knee_displacement_fraction_of_rom,rms_knee_displacement_fraction_of_rom,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,peak_dq_ratio,rms_dq_ratio,peak_ddq_ratio,rms_ddq_ratio,peak_jerk_ratio,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,kinematic_gate_pass,exclusion_reason
flex,0.065,0.065,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91682601961098,1.4453076572678247,0.048595272089939696,0.014284645944043443,268.4136314839779,533.5426954760231,1.2075213764105008,1.2224081452046176,4.416796605426936,19.114337507314264,28.290056421386033,11.98322719117946,18.70107664768434,6.5794811269642155,171.58937243907474,26.897365060623233,0.999304696885596,1.021400651443984,1.069995472835527,1.071202733403285,1.1012900310514706,0.7767588194010954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve
flex,0.0675,0.0675,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087131777447297,1.4951268157250217,0.05027848288640266,0.014777031794358898,268.4598739773704,527.5387234198445,1.2074727576408877,1.2224081452046176,4.411762235870159,19.114337507314264,28.290056421386033,11.992562499175955,19.44908910573388,6.593828082079202,171.58937243907474,26.808362416014837,0.999304696885596,1.0221963544309114,1.1127935404984757,1.073538555520352,1.1012900310514706,0.7681726201472913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement
flex,0.07,0.07,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255905858184349,1.544566116917736,0.051946555407666156,0.015265663339142848,268.50609721310127,521.571648127496,1.2074241754097734,1.2224081452046176,4.40678349799136,19.114337507314264,28.290056421386033,12.001900521963732,19.62300802244747,6.601454362236313,171.58937243907474,26.762420863026357,0.999304696885596,1.022992288815403,1.1227444356811358,1.0747801871919616,1.1012900310514706,0.7595864208934873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.0725,0.0725,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423054802900694,1.593631892795512,0.05359856595586118,0.015750603159989544,268.552296732077,515.6409359106547,1.2073756822111752,1.2224081452046176,4.401859970538238,19.114337507314264,28.290056421386033,12.011196445724984,19.79519119906342,6.628998537510954,171.58937243907474,26.845148916108958,0.999304696885596,1.023784634853247,1.132596019252947,1.0792646435304127,1.1012900310514706,0.7510002216396833,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.075,0.075,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588589319679244,1.6423292900283148,0.05523462036393779,0.016231902123825397,268.5984611065569,509.7461720854123,1.2073273400267786,1.2224081452046176,4.396991092000001,19.114337507314264,28.290056421386033,12.02043076942855,19.965591186626163,6.648909431769975,171.58937243907474,27.101263084038877,0.999304696885596,1.0245717303573205,1.1423455763879873,1.0825063283902352,1.1012900310514706,0.7424140223858793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.0775,0.0775,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.752520116602952,1.6906639602708713,0.05685482446484648,0.016709616088575442,268.6445686125359,503.88685650229655,1.2072792167981148,1.2224081452046176,4.392176168157632,19.114337507314264,28.290056421386033,12.029664673524444,20.134160536183618,6.658788163050382,171.58937243907474,27.22602724213959,0.999304696885596,1.0253587900957737,1.1519903922605343,1.0841146807429396,1.1012900310514706,0.7338278231320752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.08,0.08,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.914857901754701,1.738641642959472,0.05845928409153702,0.017183801779750624,268.690615493173,498.06249240265095,1.2072313634331766,1.2224081452046176,4.387414379335223,19.114337507314264,28.290056421386033,12.038909507102241,20.300851798786205,6.669048251415664,171.58937243907474,27.252918536740847,0.999304696885596,1.026146781417995,1.1615277520450091,1.0857851216925773,1.1012900310514706,0.7252416238782712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.0825,0.0825,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075613383217416,1.7862678083579646,0.060048105076959644,0.017654513262505778,268.73660630385746,492.2726558323224,1.2071838153996088,1.2224081452046176,4.38270478732984,19.114337507314264,28.290056421386033,12.048106129379864,20.46561752547277,6.692685353882604,171.58937243907474,27.190057113430584,0.999304696885596,1.0269306634086794,1.1709549409151703,1.089633469044552,1.1012900310514706,0.7166554246244672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.085,0.085,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234803740408353,1.8335481259173139,0.061621457213263287,0.01812180657065442,268.78253580661203,486.5168782647484,1.2071366492105908,1.2224081452046176,4.378046342000959,19.114337507314264,28.290056421386033,12.057207144740739,19.756099390860367,6.717392164893333,171.58937243907474,27.247405006712896,0.999304696885596,1.027706396261783,1.130359353493524,1.0936559752236346,1.1012900310514706,0.7080692253706631,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
flex,0.0875,0.0875,0.0,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897421647064,119.5,101.17910257835294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.392504133658107,1.8804881061616494,0.06318008334485634,0.018585736167262428,268.82838941814805,480.7946942072964,1.2070899353488638,1.2224081452046176,4.373437887109042,19.114337507314264,28.290056421386033,12.066261256346953,20.99168121979522,6.737743342842613,171.58937243907474,27.46959474281419,0.999304696885596,1.0284781312331135,1.2010540513542396,1.0969693424978264,1.1012900310514706,0.6994830261168592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,warp_monotonic_reserve;maximum_knee_displacement;rms_knee_displacement
