subject_id,candidate_id,alpha_phase,joint,q_min_deg,q_max_deg,peak_abs_dq_deg_s,rms_dq_deg_s,peak_abs_ddq_deg_s2,rms_ddq_deg_s2,flexion_midpoint_lag_s,extension_midpoint_lag_s,total_tau_rms_nm,total_tau_rms_delta_from_phase0_nm,mass_rms_nm,mass_rms_delta_from_phase0_nm,bias_gravity_rms_nm,bias_gravity_rms_delta_from_phase0_nm,passive_rms_nm,passive_rms_delta_from_phase0_nm,zero_control_actuator_rms_nm,zero_control_actuator_rms_delta_from_phase0_nm,constraint_rms_nm,constraint_rms_delta_from_phase0_nm
MYOLEG_VP_011,MYOLEG_V2_P15000,-0.03,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.369903870101302,0.98657007855833,37.878781478449405,-0.012895824615696938,0.1348143263859578,0.013704785932935795,29.14407967590351,-0.016961196738339623,0.08020421753689279,-2.6759582918978175e-07,10.615428377757851,0.012917394575023167,0.0,0.0
MYOLEG_VP_011,MYOLEG_V2_P15000,-0.03,knee,18.320897423309514,119.49997604310423,28.826181129143148,11.660779610201052,15.562447731862543,6.020117937007124,-0.369903870101302,0.98657007855833,11.7728622750713,-0.012269579476896553,0.04679467545787753,0.008156497151348328,13.323558818871012,-0.01517297201140444,0.19897567977797728,-0.0012243789412186845,5.610090257035279,0.002946500228412141,0.000606361171567562,2.8278305722360475e-06
MYOLEG_VP_011,MYOLEG_V2_P15011,-0.0025,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.45385147636637235,0.8456603026345562,37.89035056755431,-0.001326735510794208,0.1238503165673585,0.002740776114336485,29.159862273569708,-0.0011785990721406847,0.08020421753689279,-2.6759582918978175e-07,10.603284614043737,0.0007736308609089804,0.0,0.0
MYOLEG_VP_011,MYOLEG_V2_P15011,-0.0025,knee,18.320897421785588,119.49999803704607,28.315198396421966,11.723809864579163,16.945534181989466,6.138500311756759,-0.45385147636637235,0.8456603026345562,11.784093070636606,-0.001038783911591068,0.03924412120388142,0.0006059428973522185,13.33769180704385,-0.0010399838385666271,0.20005759079428562,-0.00014246792491034999,5.607241813715489,9.805690862219052e-05,0.0006041832948726228,6.499538772969469e-07
MYOLEG_VP_011,MYOLEG_V2_P15012,0.0,hip,28.90933692566648,112.02543857007235,22.21854857534365,9.190756992249455,14.120955457936416,4.670236863629791,-0.4608174640636067,0.8321367297150424,37.8916773030651,0.0,0.12110954045302201,0.0,29.16104087264185,0.0,0.08020448513272198,0.0,10.602510983182828,0.0,0.0,0.0
MYOLEG_VP_011,MYOLEG_V2_P15012,0.0,knee,18.320897421647064,119.5,28.3097402719651,11.732151506109204,17.477715674932533,6.142143706131845,-0.4608174640636067,0.8321367297150424,11.785131854548197,0.0,0.0386381783065292,0.0,13.338731790882417,0.0,0.20020005871919597,0.0,5.607143756806867,0.0,0.0006035333409953259,0.0
MYOLEG_VP_011,MYOLEG_V2_P15013,0.0025,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.467684322375046,0.8187440322399837,37.89240252592016,0.0007252228550598261,0.12267732075576765,0.0015677803027456388,29.16217725302299,0.0011363803811406115,0.08020421753689279,-2.6759582918978175e-07,10.601795408147211,-0.0007155750356169222,0.0,0.0
MYOLEG_VP_011,MYOLEG_V2_P15013,0.0025,knee,18.320897421508548,119.5000019568824,28.314630669960493,11.740771886897654,17.865212079480465,6.185526245441324,-0.467684322375046,0.8187440322399837,11.786200795944211,0.0010689413960136562,0.03871832944700962,8.015114048041949e-05,13.339731441202991,0.0009996503205744744,0.20034718756318326,0.0001471288439872931,5.607066018189225,-7.773861764182044e-05,0.0006026978284382904,-8.355125570354716e-07
MYOLEG_VP_011,MYOLEG_V2_P15024,0.03,hip,28.90933692566648,112.02543857007235,22.213392079236467,9.1907263280262,14.684797573758853,4.728690327659183,-0.5375703125454825,0.6665482373143341,37.90445178628679,0.012774483221690502,0.1226177313807078,0.0015081909276857958,29.171898808320893,0.010857935679045028,0.08020421753689279,-2.6759582918978175e-07,10.59849027630506,-0.004020706877767566,0.0,0.0
MYOLEG_VP_011,MYOLEG_V2_P15024,0.03,knee,18.32089741998503,119.50002308291111,29.1233380058049,11.862274632624615,20.709464944166353,6.562463573217935,-0.5375703125454825,0.6665482373143341,11.798833896160673,0.013702041612475568,0.04212310545283315,0.003484927146303947,13.348076643355729,0.00934485247331196,0.20242281619276065,0.0022227574735646793,5.607594726774092,0.00045096996722548965,0.0006002346902551876,-3.29865074013831e-06
