subject_id,scenario_name,trial_id,parameter,sensitivity,uncertainty_proxy,optimizer_standard_error,recovery_stability_relative_change,maximum_abs_correlation_with_other_parameter,parameter_supported_by_research_rule,rank,minimum_singular_value,condition_number,maximum_abs_parameter_correlation,highest_correlation_pair,weakest_parameter,training_residual_rmse_nm,within_identification_validation_residual_rmse_nm,case_id,estimate,delta_theta,normalized_parameter_change,maximum_normalized_parameter_change_in_trial,gate,validation_residual_used_by_gate,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline,matched_linear,5,mass_scale,813.0441119598908,0.001320892206084469,5.663185938401597e-12,0.0,0.2666998166490154,False,5,30.287899938897176,38.82420275975961,0.2666998166490154,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.254026303876494e-09,4.22386000579964e-09,baseline__matched_linear,1.0000000000345897,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,5,k_hip_nm_per_rad,992.4099487446158,0.001046295296192703,8.912355114969529e-11,0.0,0.2566102640768745,False,5,30.287899938897176,38.82420275975961,0.2666998166490154,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.254026303876494e-09,4.22386000579964e-09,baseline__matched_linear,14.99999999980913,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,5,k_knee_nm_per_rad,1135.8830424855869,0.0009157761667382083,1.0969307891468101e-10,0.0,0.26669981664901526,False,5,30.287899938897176,38.82420275975961,0.2666998166490154,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.254026303876494e-09,4.22386000579964e-09,baseline__matched_linear,12.000000000127748,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,5,b_hip_nm_s_per_rad,30.437294983738745,0.03301633165986682,4.216593783013011e-10,0.0,0.06824335222426965,False,5,30.287899938897176,38.82420275975961,0.2666998166490154,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.254026303876494e-09,4.22386000579964e-09,baseline__matched_linear,2.0000000236898585,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,5,b_knee_nm_s_per_rad,40.72813122763068,0.024616070361206315,4.5045627305087805e-10,0.0,0.06650497414380645,False,5,30.287899938897176,38.82420275975961,0.2666998166490154,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.254026303876494e-09,4.22386000579964e-09,baseline__matched_linear,1.4999999999917641,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,1,mass_scale,363.81628308918516,0.0029576828571098363,1.1846191706357397e-15,1.1102230246251565e-16,0.2667203431678539,False,5,14.824261389890687,35.48085602747075,0.2667203431678541,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.2967877981505464e-12,1.2880453292605154e-12,hip_stiff__matched_linear,0.9999999999999999,-1.1102230246251565e-16,1.1102230246251565e-16,1.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,1,k_hip_nm_per_rad,441.8293923784264,0.0023552168436862153,1.8645756069253675e-14,1.0,0.2642450793575608,False,5,14.824261389890687,35.48085602747075,0.2667203431678541,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.2967877981505464e-12,1.2880453292605154e-12,hip_stiff__matched_linear,30.0,20.0,1.0,1.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,1,k_knee_nm_per_rad,508.04002202682403,0.002047582805458356,5.1589493917908383e-14,0.09999999999999468,0.2667203431678541,False,5,14.824261389890687,35.48085602747075,0.2667203431678541,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.2967877981505464e-12,1.2880453292605154e-12,hip_stiff__matched_linear,11.999999999999893,1.9999999999998934,0.09999999999999468,1.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,1,b_hip_nm_s_per_rad,14.897119614894624,0.06745661667187156,8.003701646076134e-14,0.33333333333333326,0.0682952923987195,False,5,14.824261389890687,35.48085602747075,0.2667203431678541,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.2967877981505464e-12,1.2880453292605154e-12,hip_stiff__matched_linear,1.9999999999999998,0.9999999999999998,0.33333333333333326,1.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,1,b_knee_nm_s_per_rad,19.945250331669346,0.05026729075472332,1.9640150231127403e-13,0.16666666666501762,0.06711461022025286,False,5,14.824261389890687,35.48085602747075,0.2667203431678541,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.2967877981505464e-12,1.2880453292605154e-12,hip_stiff__matched_linear,1.4999999999950528,0.49999999999505285,0.16666666666501762,1.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
