case_id,subject_id,scenario_name,trial_id,temporary_parameter_name,validation_trajectory_count,validation_sample_count,validation_hip_rmse_nm,validation_knee_rmse_nm,validation_combined_rmse_nm,validation_combined_nrmse_percent,validation_nrmse_unreliable_small_range,validation_j_actual,validation_j_predicted,validation_e_j,validation_relative_e_j_percent,mechanical_objective_interpretation,gate,training_residual_used_by_gate,heldout_final_test_used,truth_parameters_used_by_decision,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,theta_hat_ID_2,2,3002,0.6756502619449021,1.1607432984479145,0.9496916029316989,2.30665996295766,False,1.0,1.0593583869872985,0.05935838698729845,5.935838698729845,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,theta_hat_ID_3,2,3002,0.6727767172162121,1.157002142989873,0.946383238997654,2.298624437945122,False,1.0,1.0590528259117848,0.059052825911784845,5.9052825911784845,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,4,theta_hat_ID_4,2,3002,0.6746013865772108,1.1648707295137009,0.951843171759318,2.3118858043327926,False,1.0,1.059671960332202,0.05967196033220201,5.967196033220201,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,5,theta_hat_ID_5,2,3002,0.6714857669317836,1.1650334125684476,0.9508406773989131,2.3094508943082137,False,1.0,1.0596885503358888,0.059688550335888824,5.968855033588882,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,theta_hat_ID_1,2,3002,0.39609647790424957,0.3217917740225969,0.36086172257303883,0.8687796562928864,False,1.0,1.0201738838969172,0.02017388389691721,2.017388389691721,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,theta_hat_ID_2,2,3002,0.39669453063173166,0.3212730520724431,0.3609590867543527,0.8690140619244229,False,1.0,1.020170373582698,0.02017037358269791,2.017037358269791,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,theta_hat_ID_3,2,3002,0.39376538266585487,0.3206588119623831,0.359077463978954,0.8644840287127323,False,1.0,1.0200467562079514,0.020046756207951377,2.0046756207951377,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4,theta_hat_ID_4,2,3002,0.3965929926647013,0.3213630298221572,0.3609433465013731,0.8689761670446998,False,1.0,1.0201641253663016,0.020164125366301633,2.0164125366301633,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5,theta_hat_ID_5,2,3002,0.39407010227256367,0.320854134955614,0.3593317557795471,0.8650962397877727,False,1.0,1.0200614250824367,0.02006142508243669,2.006142508243669,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,theta_hat_ID_1,2,3002,0.006113718476461203,0.014424143509807691,0.01107775856391875,0.02693738641935464,False,1.0,0.9998779513325778,0.00012204866742215881,0.01220486674221588,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
