case_id,subject_id,scenario_name,from_trial,to_trial,minimum_singular_value_improvement,condition_number_improvement,correlation_improvement,maximum_uncertainty_reduction,minimum_parameter_sensitivity_improvement,maximum_normalized_parameter_change,validation_rmse_improvement_nm,validation_e_j_improvement,selected_candidate_incremental_log_information_gain,plateau_threshold_applied,formal_stop_decision_from_this_row,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,3,3.7694991674927394,-1.309335914716165,-0.00018982435754255622,0.007269967019902221,3.788041456261322,0.0011100471977679345,0.0018816227753986614,0.0001236173747465319,1.872766179129286,False,False,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,4,3.159703965902395,-0.949069044821826,0.0002120242891017199,0.004580043372202448,3.174979852829079,0.001780616742668754,-0.0018658825224190934,-0.00011736915835025563,1.3503969583610385,False,False,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4,5,2.395006737900953,-1.1086081561842889,3.527205440723158e-06,0.0028349179465585114,2.4065650804436416,0.0009116830100663146,0.001611590721825984,0.00010270028386494268,1.000552892984814,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,2,6.139428684247537,0.02366639576197116,-5.200644706659929e-06,0.019755356693875625,6.170588985940752,0.0002073432597168671,9.240372871091238e-05,2.700491000262595e-06,3.4688352941158698,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,3,3.7694991635440154,-1.3093359203491133,-0.0001898243289660262,0.007269967012638795,3.78804145215242,0.0008885715965070892,-0.0002742943343435212,7.590621182052004e-06,1.8727661791003811,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,4,3.159703967807239,-0.9490690419857515,0.00021202428052052857,0.0045800433755898914,3.174979854741899,0.0004630503426377904,-0.00014250988888710008,2.9983734992633515e-06,1.3503969584004736,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,4,5,2.395006736931954,-1.108608157652668,3.5272255152207777e-06,0.0028349179456551923,2.4065650795630447,0.0006089547975993703,-0.0002171177996578271,5.15277575785511e-06,1.000552893004496,False,False,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,1,2,6.139428683848191,0.023666395400290696,-5.200626468304659e-06,0.019755356692532713,6.170588985180498,0.0020740022153882265,1.5473519146547154e-06,-2.3340054944309685e-07,3.468835293868601,False,False,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,2,3,3.769499163457347,-1.3093359206210735,-0.00018982433624925577,0.007269967012631766,3.788041452349777,0.0007748559626199469,0.0003701591477066335,-1.0548726108172701e-06,1.872766179137443,False,False,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,3,4,3.15970396820304,-0.9490690414446306,0.00021202429841099546,0.0045800433762017145,3.1749798550555575,0.0004905151017859192,-0.00043997822505043027,-1.854999565920057e-05,1.3503969583787523,False,False,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,4,5,2.3950067406710325,-1.1086081526956804,3.5272222805304843e-06,0.0028349179497116905,2.406565083395744,0.0006235242041053487,0.0002335884427088486,-1.5081559809115852e-05,1.0005528929882388,False,False,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,1,2,6.139428683818016,0.023666394843175453,-5.200657028747724e-06,0.01975535669268943,6.17058898520478,0.007236113183382169,8.531962541691307e-06,-2.1802456321884378e-05,3.4688352939928464,False,False,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,2,3,3.7694991626484438,-1.3093359216696427,-0.0001898243254639942,0.0072699670113921325,3.788041451422064,0.001836970308140895,0.004892527197704277,0.0003200641650829006,1.8727661790215606,False,False,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,3,4,3.1597039714019317,-0.9490690369772707,0.00021202429333971873,0.0045800433806420585,3.1749798588181335,0.0018952040679683553,-0.005328058319118423,-0.0005225469524403614,1.350396958418841,False,False,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,4,5,2.3950067359571,-1.1086081585837846,3.52722625790447e-06,0.0028349179441309255,2.406565078144851,0.0016921784062421767,0.0035903166617229365,9.33579933013462e-05,1.0005528929310685,False,False,MILD_MODEL_MISMATCH,True,False
