subject_id,scenario_name,case_id,trial_id,temporary_parameter_name,parameter,estimate,previous_estimate,previous_state,delta_theta,absolute_delta_theta,parameter_scale,normalized_parameter_change,parameter_interpretation,is_tissue_material_change,maximum_normalized_parameter_change_in_trial,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
knee_stiff,matched_linear,knee_stiff__matched_linear,1,theta_hat_ID_1,b_knee_nm_s_per_rad,1.5,1.0,initial_guess,0.5,0.5,3.0,0.16666666666666666,local_equivalent_dynamics_parameter,False,1.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,2,theta_hat_ID_2,mass_scale,0.9999999999999999,0.9999999999999999,theta_hat_ID_1,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,2,theta_hat_ID_2,k_hip_nm_per_rad,15.0,15.0,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,2,theta_hat_ID_2,k_knee_nm_per_rad,30.0,30.0,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,2,theta_hat_ID_2,b_hip_nm_s_per_rad,2.000000000000028,2.000000000000028,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,2,theta_hat_ID_2,b_knee_nm_s_per_rad,1.5,1.5,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,3,theta_hat_ID_3,mass_scale,0.9999999999999999,0.9999999999999999,theta_hat_ID_2,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,3,theta_hat_ID_3,k_hip_nm_per_rad,15.0,15.0,theta_hat_ID_2,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,3,theta_hat_ID_3,k_knee_nm_per_rad,30.0,30.0,theta_hat_ID_2,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,3,theta_hat_ID_3,b_hip_nm_s_per_rad,2.000000000000028,2.000000000000028,theta_hat_ID_2,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,3,theta_hat_ID_3,b_knee_nm_s_per_rad,1.5,1.5,theta_hat_ID_2,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
