record_type,joint,subject_id,candidate_id,pointwise_difference_rms_to_reference,rms_summary_difference_to_reference,pointwise_difference_sign_changes,absolute_tau_peak_time_s,time_resolved_interaction_rms,rms_summary_interaction_rms,time_resolved_to_rms_heterogeneity_ratio,time_common_effect_rms,sign_changing_difference_fraction,median_peak_timing_subject_spread_s
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20825,0.03276217244278605,-0.007891609626553775,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20825,0.03298240771953287,-0.008051139192478574,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20825,0.033464814537169166,-0.007267912183155034,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20825,0.03229081129149442,-0.00796719788123157,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20825,0.033520652545367874,-0.007679018866218801,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20850,0.03280892010319983,-0.008146339164951333,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20850,0.03292627596918702,-0.007962617192904586,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20850,0.033153454270166284,-0.008125935019642094,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20850,0.033638074467022244,-0.00733616211256205,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20850,0.032468437765454036,-0.008044520753638262,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20850,0.033692647597495004,-0.007750743316333408,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20851,0.03277911327764636,-0.008119402021223965,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20851,0.03289689756491752,-0.007934322544354222,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20851,0.03312559203850095,-0.00810224660626302,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20851,0.03360959917113751,-0.007310840211996572,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20851,0.03243771201797228,-0.008019035245751205,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20851,0.03366604742120709,-0.007729302458836185,True,1.428,,,,,,
JOINT_SUMMARY,hip,ALL_REPLAY_DEVELOPMENT,ALL_NONREFERENCE_REPLAY_CANDIDATES,,,,,0.00037775110911339845,0.00020173219266925367,1.8725375663404076,0.026165200915299603,1.0,0.0
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P00512,0.015919091585516413,-0.007198736981668286,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P00512,0.01531444930150563,-0.007020280805665746,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P00512,0.01593760901384642,-0.007096833448227535,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P00512,0.016525606199171088,-0.0068558422522099205,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P00512,0.01586151725471573,-0.006950503961770993,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P00512,0.016476096004455012,-0.006620211710174906,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P09042,0.04732355916478813,0.01457292044226488,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P09042,0.0466927182093948,0.014704482206102654,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P09042,0.048339953951695436,0.014419000055546194,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P09042,0.05179413569520243,0.014007463276832333,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P09042,0.049209052501407384,0.014365160285115586,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P09042,0.053514380591284695,0.01359495507213282,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P10437,0.06104120417270103,0.01967560701040383,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P10437,0.06013221138764792,0.01976701666749614,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P10437,0.0623270589482995,0.01950571796750622,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P10437,0.06674897148399864,0.018994136755223323,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P10437,0.0634021869530746,0.019417623173225484,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P10437,0.06891539351978507,0.01850134857796748,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P11791,0.08808767561738594,0.030371719894149773,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P11791,0.08665184641227468,0.030394022212214322,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P11791,0.08991370633202694,0.030177615118197387,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P11791,0.0962036416341168,0.029636658647083758,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P11791,0.09137949437713778,0.030064290187842735,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P11791,0.09924600025131204,0.029008698803093758,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P14287,0.0007077496101867466,-0.00032570464924264186,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P14287,0.0006782706382443184,-0.0003148746992023277,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P14287,0.0007108486563511387,-0.00032259004563250926,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P14287,0.0007368254605696883,-0.0003142140203106214,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P14287,0.0007064904395658969,-0.0003158414420435518,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P14287,0.0007374715025689685,-0.00030553916542497284,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P14512,0.1295570783786628,0.04783492176510307,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P14512,0.1272071378686423,0.04763709658764048,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P14512,0.1322935353323302,0.047715030808722414,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P14512,0.14148042272118505,0.047281830598625785,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P14512,0.13434130549071716,0.04757882533077451,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P14512,0.14598477232808743,0.04662155073486929,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P14987,0.007684588569734426,0.002382002996668575,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P14987,0.007556917200525389,0.0023919584183305087,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P14987,0.007839383159126129,0.002350836091804309,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P14987,0.008386803158003974,0.0022528361099791727,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P14987,0.007965184264082145,0.002328385306694436,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P14987,0.008644422218483064,0.002171400669876533,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15000,0.01848808204201333,-0.0009896555316207811,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15000,0.018098160270504607,-0.0010411066781710332,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P15000,0.018772558538647333,-0.0009274351907470058,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P15000,0.019790314762325213,-0.0009711302935835331,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P15000,0.018912509040416803,-0.0009452594700217753,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P15000,0.020189695666900556,-0.0008750280230742646,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15011,0.0015029883408515313,-8.592953526120883e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15011,0.0014727989989550179,-8.814359689923723e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P15011,0.0015267387854879812,-8.262187717056335e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P15011,0.0016057192320796116,-8.679727169569329e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P15011,0.0015375507383861456,-8.37254250019015e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P15011,0.0016388629259113322,-8.150073807966507e-05,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15012,0.0,0.0,False,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15012,0.0,0.0,False,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P15012,0.0,0.0,False,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P15012,0.0,0.0,False,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P15012,0.0,0.0,False,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P15012,0.0,0.0,False,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15013,0.001509902532659223,8.885965210891911e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15013,0.0014800855985171622,9.070254021814605e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P15013,0.0015332407475795074,8.596983402187064e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P15013,0.0016122209755883496,9.015444175086706e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P15013,0.0015444364527724406,8.688976415704985e-05,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P15013,0.0016452073526480953,8.531364033381728e-05,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15024,0.017149462463438493,0.0011677421868832027,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15024,0.01676000526994948,0.0011626549266978703,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P15024,0.017434904491168732,0.001160290404918829,True,23.323999999999998,,,,,,
