subject_i,subject_j,all_candidate_kendall_tau_b,all_candidate_rank_inversion_rate,all_candidate_crossover_exists,deterministic_subset_count,subset_kendall_tau_b,subset_rank_inversion_rate,subset_crossover_exists
MYOLEG_VP_002,MYOLEG_VP_003,0.9937050114741119,0.0031474942629440283,True,512,0.9939762720156556,0.0030118639921721813,True
MYOLEG_VP_002,MYOLEG_VP_005,0.9932564124558808,0.0033717937720595947,True,512,0.9936552103718201,0.0031723948140899294,True
MYOLEG_VP_002,MYOLEG_VP_006,0.9946270117909739,0.0026864941045130486,True,512,0.9948783023483367,0.0025608488258316298,True
MYOLEG_VP_002,MYOLEG_VP_007,0.9816078718467324,0.009196064076633814,True,512,0.9817759295499023,0.009112035225048831,True
MYOLEG_VP_002,MYOLEG_VP_009,0.983410885417313,0.008294557291343485,True,512,0.9840233610567516,0.007988319471624206,True
MYOLEG_VP_002,MYOLEG_VP_010,0.998083995066159,0.0009580024669205156,True,512,0.9980736301369864,0.0009631849315068219,True
MYOLEG_VP_002,MYOLEG_VP_011,0.9866311824296561,0.006684408785171958,True,512,0.9867753180039139,0.0066123409980430314,True
MYOLEG_VP_002,MYOLEG_VP_013,0.9878474868359272,0.006076256582036421,True,512,0.9879525440313113,0.0060237279843443625,True
MYOLEG_VP_002,MYOLEG_VP_014,0.9898720377127018,0.005063981143649088,True,512,0.9904140166340509,0.0047929916829745345,True
MYOLEG_VP_002,MYOLEG_VP_015,0.9893751145298167,0.005312442735091627,True,512,0.9896037181996088,0.0051981409001956025,True
MYOLEG_VP_002,MYOLEG_VP_017,0.9876773380132533,0.0061613309933733484,True,512,0.9883500489236792,0.005824975538160415,True
MYOLEG_VP_002,MYOLEG_VP_018,0.9907386213334499,0.00463068933327504,True,512,0.9908420988258319,0.004578950587084074,True
MYOLEG_VP_002,MYOLEG_VP_019,0.997247450402183,0.0013762747989085056,True,512,0.9974009295499022,0.0012995352250488867,True
MYOLEG_VP_002,MYOLEG_VP_021,0.9958850369705395,0.0020574815147302306,True,512,0.9962084148727985,0.001895792563600729,True
MYOLEG_VP_002,MYOLEG_VP_022,0.9940053722688854,0.002997313865557294,True,512,0.9944502201565559,0.0027748899217220346,True
MYOLEG_VP_002,MYOLEG_VP_023,0.986160917382259,0.006919541308870514,True,512,0.9868364726027399,0.006581763698630061,True
MYOLEG_VP_002,MYOLEG_VP_025,0.9874113321173167,0.006294333941341657,True,512,0.9876161937377693,0.006191903131115339,True
MYOLEG_VP_002,MYOLEG_VP_026,0.983260359744561,0.008369820127719474,True,512,0.9834729696673192,0.008263515166340385,True
MYOLEG_VP_002,MYOLEG_VP_027,0.9970451909705458,0.0014774045147271098,True,512,0.9975691046966733,0.0012154476516633705,True
MYOLEG_VP_002,MYOLEG_VP_029,0.9896753458463283,0.005162327076835838,True,512,0.9902917074363993,0.0048541462818003644,True
MYOLEG_VP_002,MYOLEG_VP_030,0.9779579371882969,0.011021031405851534,True,512,0.9782289628180041,0.010885518590997956,True
MYOLEG_VP_002,MYOLEG_VP_031,0.985879776916148,0.007060111541925984,True,512,0.9862096379647751,0.0068951810176124395,True
MYOLEG_VP_003,MYOLEG_VP_005,0.9916193036982769,0.004190348150861556,True,512,0.9920957681017614,0.003952115949119317,True
MYOLEG_VP_003,MYOLEG_VP_006,0.998260502710142,0.0008697486449290026,True,512,0.9985781555772997,0.0007109222113501623,True
