record_type,metric,dimension,inward_step_count,subject_id,boundary_candidate_id,inward_candidate_id,inward_delta_from_boundary,slope_toward_boundary_per_unit,improves_toward_boundary,improvement_support_fraction
SUBJECT,J,hip,3,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008793799128792301,-0.0011725065505056402,True,
SUBJECT,J,hip,3,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008981317701470815,-0.0011975090268627753,True,
SUBJECT,J,hip,3,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008557299640234994,-0.001140973285364666,True,
SUBJECT,J,hip,3,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0007832520455232084,-0.001044336060697611,True,
SUBJECT,J,hip,3,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009564193289132161,-0.001275225771884288,True,
SUBJECT,J,hip,3,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0009284414631322013,-0.001237921950842935,True,
SUMMARY,J,hip,3,ALL_DEVELOPMENT,MYOLEG_V2_P20850,MYOLEG_V2_P18675,0.0008835581121491853,-0.0011780774828655804,,1.0
SUBJECT,J,knee,1,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001094173433792478,-0.004376693735169912,True,
SUBJECT,J,knee,1,MYOLEG_VP_002,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012669484782094065,-0.005067793912837626,True,
SUBJECT,J,knee,1,MYOLEG_VP_003,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001209300096017385,-0.00483720038406954,True,
SUBJECT,J,knee,1,MYOLEG_VP_005,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012311634036885621,-0.0049246536147542486,True,
SUBJECT,J,knee,1,MYOLEG_VP_006,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012238594355549193,-0.004895437742219677,True,
