matrix,component,singular_value,variance_explained,cumulative_variance_explained
SUBJECT_ROW_CENTERED_J,2,0.07619870470108452,0.00018806323540402654,0.9999417566608064
SUBJECT_ROW_CENTERED_J,3,0.04204175301030884,5.724932343246407e-05,0.9999990059842389
SUBJECT_ROW_CENTERED_J,4,0.004927516261753313,7.864386664233708e-07,0.9999997924229053
SUBJECT_ROW_CENTERED_J,5,0.0023175746865461604,1.7397073689818896e-07,0.9999999663936422
SUBJECT_ROW_CENTERED_J,6,0.0009043171349107517,2.6488065729572426e-08,0.9999999928817079
SUBJECT_ROW_CENTERED_J,7,0.00046836128773181015,7.105108404487271e-09,0.9999999999868163
SUBJECT_ROW_CENTERED_J,8,1.705444563259327e-05,9.420716604608378e-12,0.999999999996237
SUBJECT_ROW_CENTERED_J,9,9.869744840305037e-06,3.1551541040400304e-12,0.9999999999993922
SUBJECT_ROW_CENTERED_J,10,3.4562678845768915e-06,3.869220833365186e-13,0.9999999999997791
SUBJECT_ROW_CENTERED_J,11,2.3650930867692488e-06,1.8117789224542563e-13,0.9999999999999603
SUBJECT_ROW_CENTERED_J,12,8.172011243925274e-07,2.1630503894281985e-14,0.9999999999999819
SUBJECT_ROW_CENTERED_J,13,5.168475978939222e-07,8.65234304834255e-15,0.9999999999999906
SUBJECT_ROW_CENTERED_J,14,3.767015153715051e-07,4.5962480664935835e-15,0.9999999999999951
SUBJECT_ROW_CENTERED_J,15,3.190592772645082e-07,3.2972469852810765e-15,0.9999999999999984
SUBJECT_ROW_CENTERED_J,16,1.7097386171742407e-07,9.468216234052317e-16,0.9999999999999994
SUBJECT_ROW_CENTERED_J,17,1.110631586626023e-07,3.9952942216543833e-16,0.9999999999999999
SUBJECT_ROW_CENTERED_J,18,7.081446595652716e-08,1.6242493223431e-16,1.0
SUBJECT_ROW_CENTERED_J,19,4.1006714045490526e-08,5.446514512391016e-17,1.0
SUBJECT_ROW_CENTERED_J,20,2.394109484912218e-08,1.856507637077513e-17,1.0
SUBJECT_ROW_CENTERED_J,21,1.3962917084431808e-08,6.3148209891495205e-18,1.0
SUBJECT_ROW_CENTERED_J,22,1.1650484607621476e-08,4.396395012633295e-18,1.0
SUBJECT_ROW_CENTERED_J,23,4.3207661452545246e-09,6.046864661794202e-19,1.0
SUBJECT_ROW_CENTERED_J,24,1.8297552361229418e-09,1.0844130190801243e-19,1.0
CANDIDATE_MAIN_REMOVED_J,1,0.11155322641991075,0.6614063712987454,0.6614063712987454
CANDIDATE_MAIN_REMOVED_J,2,0.07613301593886786,0.30807054098407566,0.9694769122828211
CANDIDATE_MAIN_REMOVED_J,3,0.023298743717594175,0.028851547424225132,0.9983284597070462
CANDIDATE_MAIN_REMOVED_J,4,0.004997161133980993,0.001327244119045189,0.9996557038260914
CANDIDATE_MAIN_REMOVED_J,5,0.002372030285689372,0.0002990505200966679,0.9999547543461881
CANDIDATE_MAIN_REMOVED_J,6,0.000921747889419129,4.515734566438159e-05,0.9999999116918524
CANDIDATE_MAIN_REMOVED_J,7,3.708535664161097e-05,7.30985937768085e-08,0.9999999847904462
CANDIDATE_MAIN_REMOVED_J,8,1.5489700381966118e-05,1.2752347454055946e-08,0.9999999975427936
CANDIDATE_MAIN_REMOVED_J,9,6.037163302634349e-06,1.9371798793932548e-09,0.9999999994799734
CANDIDATE_MAIN_REMOVED_J,10,2.4111171829969234e-06,3.089873778096524e-10,0.9999999997889608
CANDIDATE_MAIN_REMOVED_J,11,1.6958190490774649e-06,1.528491828731428e-10,0.99999999994181
CANDIDATE_MAIN_REMOVED_J,12,7.726154073936028e-07,3.1727133183961675e-11,0.9999999999735372
CANDIDATE_MAIN_REMOVED_J,13,4.56941335117582e-07,1.1097495950256647e-11,0.9999999999846346
CANDIDATE_MAIN_REMOVED_J,14,3.7776382052938e-07,7.584812103983156e-12,0.9999999999922194
CANDIDATE_MAIN_REMOVED_J,15,3.236873463756735e-07,5.5687221201369354e-12,0.9999999999977882
CANDIDATE_MAIN_REMOVED_J,16,1.6973839920191926e-07,1.5313141890523824e-12,0.9999999999993195
CANDIDATE_MAIN_REMOVED_J,17,8.327552445365527e-08,3.6858601711323915e-13,0.9999999999996881
CANDIDATE_MAIN_REMOVED_J,18,6.494136628573038e-08,2.241542333985901e-13,0.9999999999999123
CANDIDATE_MAIN_REMOVED_J,19,2.9435160046952234e-08,4.6050770993921735e-14,0.9999999999999584
