subject_id,joint,anchor_subject_id,affine_slope,affine_intercept,affine_r2,affine_nrmse,proportional_slope,proportional_r2,proportional_nrmse,residual_candidate_dependence,max_abs_residual_alpha_spearman
MYOLEG_VP_009,hip,MYOLEG_VP_031,0.9363530604380601,-0.13453402832052855,0.9999951877563116,2.0067864016527056e-05,0.9327032808729471,0.9999799932017825,4.091816409951514e-05,2.0068465778645927e-05,0.7301179128281831
MYOLEG_VP_009,knee,MYOLEG_VP_031,0.9072207291800297,0.044000463850855646,0.9999876532892157,5.561971943266376e-05,0.9109987256214014,0.9999703072027967,8.625389430507067e-05,5.562138726538323e-05,0.33132468189730524
MYOLEG_VP_010,hip,MYOLEG_VP_031,0.9829222467966907,1.7945724543961392,0.999989339894857,2.834759050650628e-05,1.0316072817572637,0.997535851130977,0.00043099167088850424,2.8348440547453037e-05,0.5274918634715986
MYOLEG_VP_010,knee,MYOLEG_VP_031,1.05406846467648,-0.00881229584616053,0.999923416598904,0.0001392039736205269,1.0533118175997582,0.9999229012213218,0.00013967158351096504,0.0001392081478404664,0.36917488489361006
MYOLEG_VP_011,hip,MYOLEG_VP_031,1.0166686990937326,0.6973343586352743,0.9999865921871681,3.275700845740698e-05,1.0355867135468149,0.999640316151178,0.0001696624491190483,3.275799072073111e-05,0.8494228226086734
MYOLEG_VP_011,knee,MYOLEG_VP_031,1.0283370645665393,0.04212798036828952,0.9999446653802332,0.0001178259261480186,1.0319542846134244,0.9999322898289066,0.0001303374898465719,0.00011782945931821142,0.8992583795628636
MYOLEG_VP_013,hip,MYOLEG_VP_031,0.9837081883214196,-0.04597147097112652,0.9999985311354187,1.1057889027555613e-05,0.982461026265671,0.9999969236441316,1.6002934737037423e-05,1.1058220613354975e-05,0.39530033727779634
MYOLEG_VP_013,knee,MYOLEG_VP_031,1.0066054578630312,-0.021913298329430175,0.999935422704234,0.00012797420136334144,1.0047239239912993,0.9999319281870334,0.00013139116378452779,0.00012797803884332978,0.4340316488151208
MYOLEG_VP_014,hip,MYOLEG_VP_031,1.0225190013178798,0.22495332567545426,0.9999987792983968,1.0008074094372905e-05,1.0286217699735454,0.9999631549795225,5.498385120190498e-05,1.0008374200047721e-05,0.9083296807100182
MYOLEG_VP_014,knee,MYOLEG_VP_031,1.0467235161464716,-0.03235995114896938,0.9999782176851462,7.438187694647597e-05,1.0439450049767232,0.9999711697714074,8.557347343778163e-05,7.4384107387934e-05,0.5688187095158799
MYOLEG_VP_015,hip,MYOLEG_VP_031,0.9116478079715691,2.7918877417618253,0.9999220836254268,7.42672484529684e-05,0.9873890531805317,0.9930194802813317,0.0007029538998708476,7.426947545713558e-05,0.15112503588477422
MYOLEG_VP_015,knee,MYOLEG_VP_031,0.9109167195891804,0.18001426946996357,0.9998407037231837,0.0001972804232427431,0.9263732218605837,0.9995527613241089,0.00033056042244060884,0.00019728633896378862,0.16092034079493184
MYOLEG_VP_017,hip,MYOLEG_VP_031,0.9790596767197373,0.4671703464832045,0.9999837154184837,3.630241840592914e-05,0.9917335615747982,0.9998161323363426,0.0001219831757031236,3.6303506983178916e-05,0.5768769613891592
MYOLEG_VP_017,knee,MYOLEG_VP_031,0.9426403833347082,0.04998214564998211,0.9999789834966359,7.253828577100078e-05,0.9469319828286996,0.9999582512259974,0.00010223719380543099,7.25404609298771e-05,0.1071420625169981
MYOLEG_VP_018,hip,MYOLEG_VP_031,0.9673043640026027,0.8101471706653919,0.9999932211187296,2.3198097266004272e-05,0.9892828821897253,0.9994769193190787,0.00020377818581070853,2.3198792892412392e-05,0.21023931785803313
MYOLEG_VP_018,knee,MYOLEG_VP_031,0.9621885002148622,0.047603401694614945,0.9999690090466361,8.811269874876547e-05,0.9662758544484231,0.9999509597417615,0.00011084022766659282,8.811534092753721e-05,0.17495392789087202
MYOLEG_VP_019,hip,MYOLEG_VP_031,1.0083797233428704,1.0023913927464894,0.999992159468897,2.48454370072452e-05,1.0355736434771592,0.9992648351951874,0.00024058372936406372,2.4846182031369615e-05,0.30342993468248486
