t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
7.3407,rehab,safe_midrange_fast,0.0,85.49468697990228,30.88691653050817,86.4156924657946,-29.401216367341675,-89.12581827978828,0.0,-3.8512,-3.3357,0.0,-3.379,1.8757,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315766e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7757573676220862,24.35,0.2687,0.2843,0.0202,0.02097,-0.00307,-0.00306,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.3608,rehab,safe_midrange_fast,0.0,85.39931989657804,30.80542838296356,86.36516493497551,-29.26657969052399,-89.12291594055021,0.0,-3.7753,-3.1928,0.0,-2.9569,2.3455,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315778e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7892594534364546,24.35,0.471,0.2221,0.6533,0.02685,-0.01255,-0.00639,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.3809,rehab,safe_midrange_fast,0.0,85.33405053403119,30.751210607989574,86.33177001466585,-29.177169344014487,-89.12091889625368,0.0,-3.8989,-3.2088,0.0,-3.4094,2.0604,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315786e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7958592623173634,24.35,0.2831,0.2836,0.6532,0.01777,-0.00582,-0.01136,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.4008,rehab,safe_midrange_fast,0.0,85.23401304035751,30.670410920239128,86.28232746625497,-29.04416588434288,-89.11784266659386,0.0,-4.0895,-3.263,0.0,-4.6725,1.1091,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315798e-312,0.0,3.512700564088504e-303,0.0,5.0,0.8021562157784063,24.35,0.284,0.2032,0.3378,0.02794,-0.01033,-0.00509,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.4205,rehab,safe_midrange_fast,0.0,85.16613456217993,30.61710514847993,86.24993056417094,-28.956585535916837,-89.11574537472416,0.0,-4.2057,-3.2569,0.0,-6.5983,-0.3531,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833158057e-312,0.0,3.512700564088504e-303,0.0,5.0,0.803955220518745,24.35,0.2584,0.2817,0.3389,0.03324,-0.01424,0.00204,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.4406,rehab,safe_midrange_fast,0.0,85.11471746471288,30.577520640858776,86.22599620616703,-28.891642157020613,-89.11415155663406,0.0,-4.2803,-3.2173,0.0,-7.2241,-0.7938,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833158136e-312,0.0,3.512700564088504e-303,0.0,5.0,0.8038395836541611,24.35,0.3173,0.1678,0.836,0.01686,-0.01937,-0.00632,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.4607,rehab,safe_midrange_fast,0.0,84.99346251381579,30.486826683557158,86.1716114611815,-28.7431965903419,-89.11037583512694,0.0,-4.419,-3.226,0.0,-4.7842,1.0582,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833158255e-312,0.0,3.512700564088504e-303,0.0,5.0,0.8000895551625485,24.35,0.237,0.1285,-0.3059,0.0187,-0.00146,0.00279,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.4805,rehab,safe_midrange_fast,0.0,84.90613208383887,30.423795672515485,86.13425868220673,-28.640381394158258,-89.10764179278425,0.0,-4.5184,-3.2102,0.0,-0.9825,3.6076,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833158354e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7937041880043527,24.35,0.1293,0.1757,0.6238,0.02288,-0.0095,0.00159,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.5005,rehab,safe_midrange_fast,0.0,84.80103962442801,30.35043205756042,86.09132482234787,-28.521150768341734,-89.10433585077335,0.0,-4.6041,-3.182,0.0,1.6931,5.0695,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315847e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7832782207207528,24.35,-0.0116,-0.0218,0.1627,-0.00512,-0.01353,-0.00234,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.5209,rehab,safe_midrange_fast,0.0,84.73096176027724,30.30284705622186,86.06371863601925,-28.443999397465063,-89.10212352385912,0.0,-4.5848,-3.1019,0.0,2.7234,5.3844,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315855e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7769663076975112,24.35,-0.1694,0.0127,-0.3716,0.00469,-0.00699,0.00179,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
