Frame,Nose_X,Nose_Y,Nose_Z,LEye_X,LEye_Y,LEye_Z,REye_X,REye_Y,REye_Z,LEar_X,LEar_Y,LEar_Z,REar_X,REar_Y,REar_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,RElbow_X,RElbow_Y,RElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RWrist_X,RWrist_Y,RWrist_Z,LHip_X,LHip_Y,LHip_Z,RHip_X,RHip_Y,RHip_Z,LKnee_X,LKnee_Y,LKnee_Z,RKnee_X,RKnee_Y,RKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,RAnkle_X,RAnkle_Y,RAnkle_Z
36,-37.68,1655.55,279.50,1.19,1656.88,273.14,-93.42,1710.95,302.06,60.98,1624.60,227.03,-153.22,1737.52,282.71,164.36,1465.17,144.74,-182.73,1613.92,220.37,311.96,1284.69,29.68,-318.21,1589.55,458.04,290.04,1097.45,-102.09,-402.30,1590.30,746.01,134.63,1089.95,-6.78,-73.69,1083.36,27.37,170.10,830.59,-144.42,-125.09,739.65,-125.68,189.72,602.60,-268.09,-106.03,468.48,-244.19
37,-38.88,1658.48,279.71,0.78,1658.64,273.05,-93.19,1712.33,302.22,61.46,1625.41,225.74,-151.69,1738.20,281.89,168.84,1463.11,143.59,-181.33,1616.46,220.72,314.79,1282.27,26.99,-319.28,1607.24,460.64,289.05,1094.69,-103.59,-408.81,1613.91,746.89,135.97,1090.56,-8.26,-73.36,1082.42,26.14,170.25,828.45,-147.00,-125.68,738.17,-127.17,192.22,598.52,-268.37,-103.26,467.05,-246.38
38,-40.98,1661.30,278.72,-0.21,1660.47,272.29,-95.76,1715.38,301.35,61.56,1626.03,224.12,-151.60,1738.84,280.04,169.69,1462.76,143.35,-180.18,1616.90,221.61,315.94,1282.60,26.08,-323.19,1623.24,464.68,291.06,1093.56,-102.55,-415.99,1633.37,749.79,136.75,1092.36,-8.86,-72.73,1083.23,26.16,170.71,830.01,-147.29,-126.18,738.73,-127.02,193.00,597.29,-268.65,-102.33,467.97,-248.12
39,-41.18,1662.45,276.97,-0.23,1661.34,270.71,-93.16,1714.29,298.60,59.87,1628.04,222.10,-147.93,1736.69,278.21,173.51,1460.39,141.89,-177.77,1616.12,222.53,319.08,1280.18,23.84,-322.25,1631.03,464.97,292.51,1089.87,-102.55,-417.15,1642.38,749.34,137.55,1093.32,-9.83,-71.90,1083.69,26.39,170.57,830.47,-148.48,-126.45,739.16,-127.40,193.91,596.68,-268.20,-101.60,469.05,-248.89
40,-41.56,1661.94,276.84,0.67,1659.29,270.92,-93.63,1713.62,298.58,63.25,1625.35,221.26,-145.72,1734.93,276.92,174.84,1458.44,141.73,-175.65,1615.15,221.76,319.91,1278.68,22.39,-325.34,1640.20,462.48,293.93,1086.62,-101.45,-421.67,1665.82,745.44,136.74,1094.45,-9.63,-70.82,1084.63,26.99,170.30,829.09,-147.90,-127.13,741.66,-124.83,195.92,596.64,-269.66,-103.58,474.24,-250.33
41,-41.93,1661.34,278.00,0.47,1657.87,272.73,-92.83,1710.95,299.27,64.23,1623.88,221.24,-142.14,1731.88,276.34,179.78,1454.91,142.62,-174.46,1614.86,222.64,323.11,1275.89,20.11,-328.37,1653.57,462.57,293.74,1083.10,-101.84,-425.74,1686.96,744.36,137.24,1094.76,-9.63,-69.47,1082.80,27.34,170.84,826.48,-149.47,-125.18,738.80,-126.49,197.08,594.31,-269.52,-101.77,471.58,-250.03
42,-43.80,1663.27,279.13,-1.72,1659.40,274.24,-93.23,1710.79,300.52,62.90,1624.89,222.04,-139.06,1728.81,275.79,181.01,1454.37,143.29,-175.12,1615.80,222.58,323.10,1275.43,19.24,-332.31,1669.46,463.56,296.55,1080.14,-99.33,-429.70,1708.41,744.63,138.44,1094.61,-11.73,-68.08,1079.79,26.35,172.19,827.45,-150.38,-124.71,735.18,-128.12,196.98,594.87,-269.54,-100.45,469.96,-250.34
43,-44.36,1663.85,279.48,-1.68,1659.53,274.76,-92.99,1710.07,300.70,63.68,1624.35,221.88,-136.54,1724.60,274.70,180.53,1455.82,143.76,-177.44,1617.91,222.71,322.78,1276.46,20.49,-336.74,1683.67,463.51,298.28,1080.36,-97.16,-436.18,1741.63,740.55,138.17,1095.90,-11.74,-67.82,1079.87,26.78,172.68,827.63,-149.81,-124.24,733.10,-127.87,196.81,593.60,-269.89,-99.10,466.56,-249.40
44,-45.23,1662.34,277.68,-3.10,1658.68,274.23,-89.94,1703.98,297.72,64.31,1622.11,221.20,-133.18,1718.18,272.67,184.63,1452.70,142.85,-177.03,1616.76,221.12,325.19,1273.78,17.04,-338.96,1695.04,460.91,297.07,1076.84,-98.40,-440.31,1770.94,732.88,139.62,1096.53,-13.55,-66.53,1080.25,25.81,174.13,828.49,-149.81,-126.23,735.15,-126.65,197.57,595.37,-270.68,-99.71,467.16,-249.65
45,-43.15,1659.05,275.92,-1.67,1656.03,272.90,-84.76,1697.74,295.22,67.18,1618.70,219.50,-129.26,1712.70,271.27,186.84,1451.06,142.50,-174.41,1614.69,219.62,326.72,1272.70,15.14,-337.31,1700.37,456.02,298.07,1073.87,-96.88,-441.13,1790.86,722.54,139.19,1097.28,-14.86,-66.47,1080.81,24.61,174.46,829.18,-149.15,-127.05,736.89,-125.51,197.22,596.20,-271.73,-99.54,467.90,-250.23
