trial_id,candidate_id,hip_amplitude_delta_deg,knee_amplitude_delta_deg,knee_phase_shift,excitation_duration_s,duration_design_status,global_constraints_valid,patient_envelope_valid,not_previously_executed,design_duplicate,candidate_valid,invalid_reason,resulting_rank,resulting_minimum_singular_value,resulting_condition_number,resulting_maximum_abs_correlation,resulting_weakest_parameter,resulting_weakest_parameter_sensitivity,incremental_log_information_gain,incremental_state_regressor_coverage,excursion_norm,trajectory_sha256,deterministic_candidate_rank,selected,diagnosed_weakest_parameter_before_trial,diagnosed_highest_correlation_pair_before_trial
1,ID-H-hip-d22,-2.0,0.0,0.0,22.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,10.420786655777299,56.763167338453385,0.28255110170508846,b_hip_nm_s_per_rad,10.472057548095698,46.97417539848523,1.0,2.0,6365a95aed8cb828184b20522711429514f90056577181aaf04bbac43770894e,11,False,NOT_YET_OBSERVED,NOT_YET_OBSERVED
1,ID-L-slow-phase-d28,-0.5,-0.5,0.02,28.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,8.333455648070238,70.67130415907856,0.2663907688742714,b_hip_nm_s_per_rad,8.375321379515126,46.083737382228094,1.0,2.1213203435596424,7e43e15a5a88083f7daa2662c2ef6307e53ed5bc47ac4acd033678595875778c,12,False,NOT_YET_OBSERVED,NOT_YET_OBSERVED
2,ID-F-coupled-pos-d14,-1.0,-1.0,0.015,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,23.433411329695577,35.47343710489262,0.2659805515078689,b_hip_nm_s_per_rad,23.54968293241974,3.4688352938553493,0.23724375918807308,2.0615528128088303,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,1,True,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-C-knee-d16,0.0,-1.5,0.0,16.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,22.131777344269356,37.51039771032281,0.26627290378810786,b_hip_nm_s_per_rad,22.240906114304327,3.230002813598574,0.34361308385103834,1.5,7e436b1be7ae0404c71932f12f25e3c9b0160bcf35e1cf59f4842d279d04578c,2,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-B-hip-d16,-1.5,0.0,0.0,16.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.962748164475013,37.98262401689344,0.2685844382253369,b_hip_nm_s_per_rad,22.070355964450144,3.2185643644471895,0.34573938063026666,1.5,63f2b9ed595edbfda55694f87ee9adae0e78f43bc0d2c8177facd698abb2d759,3,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-J-opposed-d18,1.0,-1.0,0.0,18.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.182815748306396,39.24899013059572,0.26598946512760174,b_hip_nm_s_per_rad,21.28636739780141,3.0670203008019996,0.48864348994660206,1.4142135623730951,34e9c262204e81d933c21e6f914d3a1aa4853bbe367ea76c1f3410ec711b648b,4,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-E-phase-neg-d18,0.0,0.0,-0.018,18.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.088438272044563,39.5698118148165,0.2656333212525113,b_hip_nm_s_per_rad,21.190523219621543,3.0578502032424097,0.4824611494361089,1.7999999999999998,fe4156e942b3e78632a32c25a37cb5e36052cea128706a1a8d060cfbd1cedcd0,5,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-D-phase-pos-d18,0.0,0.0,0.018,18.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,21.087382333389936,39.53720941840572,0.26563022191226127,b_hip_nm_s_per_rad,21.190523220582502,3.062678876930221,0.48911836711176154,1.7999999999999998,0619393cf93ceefeaa57006ab86aa75dac533be33856db8cc21f4869fbe4b1bb,6,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-A-neutral-d20,0.0,0.0,0.0,20.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,20.308706687113702,41.0710816926934,0.26574658745582974,b_hip_nm_s_per_rad,20.4060656759011,2.908402724070335,0.5367705020310448,0.0,c63455d3fd1dd83699162cdac4399204a7b17f34fd4fe02ff06198a97731dcc9,7,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-K-opposed-d20,-1.0,1.0,0.0,20.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,20.230039664627068,41.3645648149311,0.265270814530414,b_hip_nm_s_per_rad,20.32652790746163,2.901496755681528,0.5436741374723952,1.4142135623730951,56564a07f87c81e2a9d5f1f72c34beade20a9ce972030007eebb0591c07fdb4c,8,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-I-knee-d22,0.0,-2.0,0.0,22.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,19.712542138428315,42.045972958716455,0.266817029378881,b_hip_nm_s_per_rad,19.80563646789422,2.762552479121169,0.5986181644763438,2.0,fadea032b6ae3d9479faebb0ae16a3d316c7f13d9d190171427bd617d26f040f,9,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-H-hip-d22,-2.0,0.0,0.0,22.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,19.57977990261405,42.604870833836905,0.27362979475149624,b_hip_nm_s_per_rad,19.671242270079386,2.749248864049889,0.6030189450046369,2.0,6365a95aed8cb828184b20522711429514f90056577181aaf04bbac43770894e,10,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-L-slow-phase-d28,-0.5,-0.5,0.02,28.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,True,False,True,,5,18.55698358633351,44.85475805345099,0.2662702910708939,b_hip_nm_s_per_rad,18.639736889661368,2.5380340372297923,0.672931177614526,2.1213203435596424,7e43e15a5a88083f7daa2662c2ef6307e53ed5bc47ac4acd033678595875778c,11,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
2,ID-G-coupled-neg-d14,-1.0,-1.0,-0.015,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,True,True,False,True,False,previously_executed,5,23.434513051391942,35.4971801460066,0.2659848973210142,b_hip_nm_s_per_rad,23.549682933328548,3.462903192620786,0.0,2.0615528128088303,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,12,False,b_hip_nm_s_per_rad,mass_scale|k_knee_nm_per_rad
