subject_id,truth_scenario,trial_id,parameter,sensitivity,uncertainty_proxy,optimizer_standard_error,recovery_stability_relative_change,maximum_abs_correlation_with_other_parameter,parameter_supported_by_research_rule
baseline,combined_mild,2,b_hip_nm_s_per_rad,21.06770859676488,0.047701259994432026,0.0425932753033334,0.007236113183382169,0.06804817231032571,True
baseline,combined_mild,2,b_knee_nm_s_per_rad,28.310072606303923,0.03541457724394929,0.06395458130494806,0.004093847982566364,0.0668182035761694,True
baseline,combined_mild,3,mass_scale,630.1077115182472,0.0017056766598336208,0.0005144032834720276,0.000220577705368874,0.2669153681243188,True
baseline,combined_mild,3,k_hip_nm_per_rad,767.5581007118171,0.0013538098635388826,0.00809155764014251,0.0004989599045606141,0.2592415854862894,True
baseline,combined_mild,3,k_knee_nm_per_rad,878.0017167443212,0.0011848395613436005,0.013886472855111222,0.0003394709376640215,0.266915368124319,True
baseline,combined_mild,3,b_hip_nm_s_per_rad,24.855750048186945,0.04043129298303989,0.03629689985351706,0.001836970308140895,0.06822992508067838,True
baseline,combined_mild,3,b_knee_nm_s_per_rad,33.24263810272171,0.030159414332958975,0.054607848073733506,0.0005282297599867499,0.06664742260468771,True
baseline,combined_mild,4,mass_scale,727.4376248987406,0.0014786675827117043,0.0004445255466283079,0.0001313761316535933,0.26670334383097843,True
baseline,combined_mild,4,k_hip_nm_per_rad,884.6573071537505,0.0011757084887623547,0.007004272218605339,0.0003425330083302924,0.26258747438406754,True
baseline,combined_mild,4,k_knee_nm_per_rad,1016.1651645195772,0.0010236794518790346,0.012037599597420505,0.0004650984001383307,0.26670334383097927,True
baseline,combined_mild,4,b_hip_nm_s_per_rad,28.030729907005078,0.035851249602397835,0.03207897090184832,0.0018952040679683553,0.0680095298492538,True
baseline,combined_mild,4,b_knee_nm_s_per_rad,37.64005130157557,0.026635925690088453,0.048392776300986894,0.00040708774954811844,0.06666506193956392,True
baseline,combined_mild,5,mass_scale,813.0441119947578,0.0013208922059978086,0.00040046097736786296,0.0002411410518045054,0.26669981660472136,True
baseline,combined_mild,5,k_hip_nm_per_rad,992.4099487481564,0.0010462952961739793,0.006286546747446119,0.0005264165385145958,0.25661026403471315,True
baseline,combined_mild,5,k_knee_nm_per_rad,1135.8830424857433,0.0009157761667262654,0.010835145891284401,0.00016995595911994954,0.2666998166047209,True
baseline,combined_mild,5,b_hip_nm_s_per_rad,30.43729498514993,0.03301633165826691,0.029795890912132774,0.0016921784062421767,0.06824335219295008,True
baseline,combined_mild,5,b_knee_nm_s_per_rad,40.72813122804948,0.024616070360948636,0.044996780809232986,0.0006129341568201033,0.06650497414245611,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,mass_scale,363.81628310819536,0.002957682856926067,1.3914127478633873e-11,3.458966446601153e-11,0.2667203431591236,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,k_hip_nm_per_rad,441.8293923791432,0.002355216843684345,2.201323246716438e-10,0.24999999999045652,0.2642450793427108,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,k_knee_nm_per_rad,508.0400220261918,0.0020475828054577687,2.695797497431299e-10,0.10000000000638742,0.2667203431591236,True
