subject_id,truth_scenario,trial_id,temporary_parameter_name,parameter,estimate,parameter_interpretation,is_tissue_material_constant,frozen_as_theta_hat_0
baseline,combined_mild,4,theta_hat_ID_4,b_knee_nm_s_per_rad,1.627768419693064,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,5,theta_hat_ID_5,mass_scale,0.9886432330535775,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,5,theta_hat_ID_5,k_hip_nm_per_rad,16.76028757125857,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,5,theta_hat_ID_5,k_knee_nm_per_rad,13.230992603172872,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,5,theta_hat_ID_5,b_hip_nm_s_per_rad,2.2458516935474777,local_equivalent_dynamics_parameter,False,False
baseline,combined_mild,5,theta_hat_ID_5,b_knee_nm_s_per_rad,1.6296072221635243,local_equivalent_dynamics_parameter,False,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,theta_hat_ID_1,mass_scale,1.0000000000345897,local_equivalent_dynamics_parameter,False,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,theta_hat_ID_1,k_hip_nm_per_rad,14.99999999980913,local_equivalent_dynamics_parameter,False,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,theta_hat_ID_1,k_knee_nm_per_rad,12.000000000127748,local_equivalent_dynamics_parameter,False,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,theta_hat_ID_1,b_hip_nm_s_per_rad,2.0000000236898585,local_equivalent_dynamics_parameter,False,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,theta_hat_ID_1,b_knee_nm_s_per_rad,1.4999999999917641,local_equivalent_dynamics_parameter,False,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,2,theta_hat_ID_2,mass_scale,1.0000000000345897,local_equivalent_dynamics_parameter,False,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,2,theta_hat_ID_2,k_hip_nm_per_rad,14.99999999980913,local_equivalent_dynamics_parameter,False,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,2,theta_hat_ID_2,k_knee_nm_per_rad,12.000000000127748,local_equivalent_dynamics_parameter,False,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,2,theta_hat_ID_2,b_hip_nm_s_per_rad,2.0000000236898585,local_equivalent_dynamics_parameter,False,True
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,2,theta_hat_ID_2,b_knee_nm_s_per_rad,1.4999999999917641,local_equivalent_dynamics_parameter,False,True
