baseline_oracle_index,baseline_relative_regret_of_perturbed_oracle,endpoint_id,exact_oracle_stable,leg_id,maximum_absolute_relative_endpoint_change,median_absolute_relative_endpoint_change,p95_absolute_relative_endpoint_change,perturbed_oracle_index,ranking_spearman_vs_baseline,scenario
312,1.621725936384877e-05,E3,False,LEG_2_KNEE_DOMINANT,1.801990666177738e-05,1.9795837936154622e-06,1.7933352105699333e-05,24,-0.5551345831975321,HALF_RATE_ODD_OFFSET_SAMPLES
312,1.744583532481414e-05,E4,False,LEG_2_KNEE_DOMINANT,1.801990666177738e-05,1.9795837936154622e-06,1.7933352105699333e-05,19,-0.5710545005941868,HALF_RATE_ODD_OFFSET_SAMPLES
24,0.0,E0,True,LEG_3_NONLINEAR_COUPLED,1.6919473715386584e-05,1.39354908622912e-05,1.6631200587863343e-05,24,0.9999984271319735,DETERMINISTIC_TORQUE_WAVE_A
599,0.0,E1,True,LEG_3_NONLINEAR_COUPLED,5.948579839522743e-06,5.779787598016404e-07,5.04204497283308e-06,599,0.9999943475055296,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E2,True,LEG_3_NONLINEAR_COUPLED,1.3785400534234812e-05,3.455741341812439e-06,1.264009568734754e-05,312,1.0,DETERMINISTIC_TORQUE_WAVE_A
611,1.5981658231911666e-05,E3,False,LEG_3_NONLINEAR_COUPLED,1.6990587468622944e-05,1.430164239703098e-06,1.690167195726139e-05,24,-0.5003533569662907,DETERMINISTIC_TORQUE_WAVE_A
311,3.6176617257410726e-11,E4,False,LEG_3_NONLINEAR_COUPLED,1.6990587364485793e-05,1.430164239703098e-06,1.6901671748765028e-05,12,-0.5685946714772343,DETERMINISTIC_TORQUE_WAVE_A
24,0.0,E0,True,LEG_3_NONLINEAR_COUPLED,5.5480935557689144e-05,4.593536007720427e-05,5.386608063478123e-05,24,0.9999931678545099,DETERMINISTIC_TORQUE_WAVE_B
599,0.0,E1,True,LEG_3_NONLINEAR_COUPLED,1.683810431639256e-05,9.036924920221213e-07,1.2805172105635897e-05,599,0.9999696239862375,DETERMINISTIC_TORQUE_WAVE_B
312,0.0,E2,True,LEG_3_NONLINEAR_COUPLED,2.9194425707578684e-05,1.1554615630256352e-06,2.6694715412055113e-05,312,1.0,DETERMINISTIC_TORQUE_WAVE_B
611,1.5981658231911666e-05,E3,False,LEG_3_NONLINEAR_COUPLED,1.690167684182707e-05,8.454451733166968e-06,1.681219573647712e-05,24,-0.49962939203132417,DETERMINISTIC_TORQUE_WAVE_B
311,1.6901957420101255e-05,E4,False,LEG_3_NONLINEAR_COUPLED,1.6901671748765028e-05,8.454451733166968e-06,1.6812188095162554e-05,14,-0.5822426466351669,DETERMINISTIC_TORQUE_WAVE_B
24,0.0,E0,True,LEG_3_NONLINEAR_COUPLED,9.451756340239825e-07,7.478140978991135e-07,9.253145091907285e-07,24,1.0,HALF_RATE_EVEN_SAMPLES
599,0.0,E1,True,LEG_3_NONLINEAR_COUPLED,5.83804637226142e-07,1.6983038621597813e-07,5.199143890834109e-07,599,0.9999987711968543,HALF_RATE_EVEN_SAMPLES
312,0.0,E2,True,LEG_3_NONLINEAR_COUPLED,0.00017907211592962084,7.750675409059326e-06,0.00016368244957281142,312,0.9992499163003041,HALF_RATE_EVEN_SAMPLES
611,3.6450620299888215e-11,E3,False,LEG_3_NONLINEAR_COUPLED,2.062158318627223e-05,1.2615990209380532e-06,2.0621583186154395e-05,312,0.999547109246322,HALF_RATE_EVEN_SAMPLES
311,0.0,E4,False,LEG_3_NONLINEAR_COUPLED,2.062158318627223e-05,1.2615990209380532e-06,2.0621583186154395e-05,312,0.9995912378013551,HALF_RATE_EVEN_SAMPLES
24,0.0,E0,True,LEG_3_NONLINEAR_COUPLED,9.46250386109018e-07,7.488944538577424e-07,9.263780756220856e-07,24,0.9999998525436227,HALF_RATE_ODD_OFFSET_SAMPLES
599,0.0,E1,True,LEG_3_NONLINEAR_COUPLED,5.837989077807186e-07,1.6978908088208432e-07,5.199095582566589e-07,599,0.9999978864585893,HALF_RATE_ODD_OFFSET_SAMPLES
312,0.0,E2,True,LEG_3_NONLINEAR_COUPLED,0.00012812210399309497,1.1030949170649548e-07,0.00011784032520794085,312,0.9995842770852489,HALF_RATE_ODD_OFFSET_SAMPLES
611,0.0,E3,True,LEG_3_NONLINEAR_COUPLED,1.6990623814486776e-05,0.0,1.6901689436938972e-05,611,-0.4406152610486666,HALF_RATE_ODD_OFFSET_SAMPLES
311,0.0,E4,True,LEG_3_NONLINEAR_COUPLED,1.6990587364485793e-05,0.0,1.6901671748765028e-05,311,-0.446520302140425,HALF_RATE_ODD_OFFSET_SAMPLES
24,0.0,E0,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,5.176760577966305e-05,5.067730949949232e-05,5.1473343401121836e-05,24,0.9999961661341853,DETERMINISTIC_TORQUE_WAVE_A
24,0.0,E1,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,4.586911256869853e-06,5.749780186680966e-07,3.3010296730348827e-06,24,0.9999982796755961,DETERMINISTIC_TORQUE_WAVE_A
21,0.0,E2,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,7.800494841469521e-06,1.6273901022006108e-06,7.165477852405739e-06,21,0.9999878494394655,DETERMINISTIC_TORQUE_WAVE_A
600,3.885780586188048e-14,E3,False,LEG_4_STRONG_STRUCTURAL_MISMATCH,9.385602901701039e-10,1.0085153593325238e-10,8.690254113825265e-10,312,0.9141538652845996,DETERMINISTIC_TORQUE_WAVE_A
300,0.0,E4,False,LEG_4_STRONG_STRUCTURAL_MISMATCH,9.385602901701039e-10,1.0085153593325238e-10,8.690254113825265e-10,312,0.9202574050430667,DETERMINISTIC_TORQUE_WAVE_A
24,0.0,E0,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.830368412103436e-05,1.702338669007469e-05,1.790735925655669e-05,24,0.9999956746129272,DETERMINISTIC_TORQUE_WAVE_B
