case_id,subject_id,scenario_name,policy_id,iteration,trial_purpose,trajectory_id,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,executed_false_improvement,false_improvement_executed_as_exploit,best_updated
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00543144199902,-0.00700806334476,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.00537041370914,-0.00688182977607,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00530999054425,-0.00675682029575,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00524996905166,-0.00663306782708,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,6,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,-0.00134684544369,-0.000975806672537,NEUTRAL,NEUTRAL,False,False,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.00597583051053,-0.00613527390359,IMPROVE,IMPROVE,False,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00589538625237,-0.00604593560597,IMPROVE,IMPROVE,False,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.00581577112449,-0.00596180327359,IMPROVE,IMPROVE,False,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00573652110029,-0.00587797064288,IMPROVE,IMPROVE,False,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00565764284131,-0.00579446769953,IMPROVE,IMPROVE,False,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,6,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,-0.00170381399201,-0.00187824044412,NEUTRAL,NEUTRAL,False,False,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.0059080698603,-0.00591179376796,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00583014704818,-0.00582929634889,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.0057529101987,-0.00575209259893,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00567600132816,-0.00567521002104,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00559944415833,-0.00559867513412,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,6,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,-0.0017844828931,-0.00178002549302,NEUTRAL,NEUTRAL,False,False,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.0059080698603,-0.00591179376796,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00583014704818,-0.00582929634889,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.0057529101987,-0.00575209259893,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00567600132816,-0.00567521002104,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00559944415833,-0.00559867513412,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.0059080698603,-0.00591179376796,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00583014704818,-0.00582929634889,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.0057529101987,-0.00575209259893,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00567600132816,-0.00567521002104,IMPROVE,IMPROVE,False,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00559944415833,-0.00559867513412,IMPROVE,IMPROVE,False,False,True
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.00590321930374,-0.00586040879542,IMPROVE,IMPROVE,False,False,True
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00582552696211,-0.00577523854089,IMPROVE,IMPROVE,False,False,True
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.00574845691293,-0.00569553867002,IMPROVE,IMPROVE,False,False,True
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00567168340886,-0.00561627539421,IMPROVE,IMPROVE,False,False,True
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00559524514182,-0.00553747590443,IMPROVE,IMPROVE,False,False,True
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,6,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,-0.0017659424677,-0.00178047206508,NEUTRAL,NEUTRAL,False,False,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.00564564520518,-0.00685301672549,IMPROVE,IMPROVE,False,False,True
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,2,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00557791355752,-0.00673359121706,IMPROVE,IMPROVE,False,False,True
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,3,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.00551136359254,-0.00661968160586,IMPROVE,IMPROVE,False,False,True
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,4,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.0054453547116,-0.00650668451481,IMPROVE,IMPROVE,False,False,True
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.00537973678607,-0.0063946313282,IMPROVE,IMPROVE,False,False,True
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,6,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,-0.00148361161879,-0.00141131298255,NEUTRAL,NEUTRAL,False,False,False
