case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.986781706663,0.986776387938,0.993329429486,0.986776387938,-0.00655300359635,-0.00655304154774,IMPROVE,IMPROVE,1.7763568394e-15,0.00155300359635,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.980339882189,0.980334524906,0.986776387938,0.980334524906,-0.00644182447333,-0.00644186303234,IMPROVE,IMPROVE,1.7763568394e-15,0.00144182447333,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.974008665898,0.974003269453,0.980334524906,0.974003269453,-0.00633121629165,-0.00633125545255,IMPROVE,IMPROVE,1.7763568394e-15,0.00133121629164,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.967787438536,0.967782002335,0.974003269453,0.967782002335,-0.00622122736161,-0.00622126711817,IMPROVE,IMPROVE,1.7763568394e-15,0.0012212273616,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,1,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.994506234427,0.99285996785,1,0.99285996785,-0.00549376557307,-0.00714003214998,IMPROVE,IMPROVE,0.177732797422,-0.177239031849,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,2,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.989074810134,0.985851904505,0.99285996785,0.985851904505,-0.00543144199902,-0.00700806334476,IMPROVE,IMPROVE,0.17770350635,-0.177272064351,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,3,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.983702659805,0.978970074729,0.985851904505,0.978970074729,-0.00537041370914,-0.00688182977607,IMPROVE,IMPROVE,0.177487241151,-0.177116827442,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,4,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.978388671661,0.972213254433,0.978970074729,0.972213254433,-0.00530999054425,-0.00675682029575,IMPROVE,IMPROVE,0.177169907236,-0.176859916692,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,5,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.97313233704,0.965580186606,0.972213254433,0.965580186606,-0.00524996905166,-0.00663306782708,IMPROVE,IMPROVE,0.176793121688,-0.176543152636,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,6,1,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,1,-5,0,0,-5,0,0,-5,0,0.971776798507,0.964604379934,0.965580186606,0.965580186606,-0.00134684544369,-0.000975806672537,NEUTRAL,NEUTRAL,0.176379407773,-0.180032562329,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
