case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,6,6,True,True,1,1.00000985442,14.9990483936,11.9992529258,2.05426675852,1.55946082015,1.00000935468,14.9990861051,11.9992889841,2.05333102518,1.55837983214,-4.99742540461e-07,3.7711519262e-05,3.60582994023e-05,-0.000935733348674,-0.00108098800931,0.00112301192853,0.0010515545934
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,0,True,True,0,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,0,0,0,0,0,0.00169970721234,0.00169970721234
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,1,1,True,True,1,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,-1.11312521534e-06,0.000184823888526,0.000160121137137,-0.00208423835418,-0.00230895916949,0.00169970721234,0.00153938386827
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,2,2,True,True,1,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,-8.27265699499e-07,0.000120707413037,0.000105859337124,-0.00173291316404,-0.00192272859662,0.00153938386827,0.0014075879191
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,3,3,True,True,1,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,1.00001084236,14.9989379416,11.999149206,2.05659641492,1.56209413099,-6.52559592362e-07,8.46828774606e-05,7.59125807441e-05,-0.00146212551973,-0.00163103312835,0.0014075879191,0.00129728182915
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,4,4,True,True,1,1.00001084236,14.9989379416,11.999149206,2.05659641492,1.56209413099,1.00001030676,14.9990004532,11.9992069577,2.05534679193,1.56068855338,-5.35594566031e-07,6.25116445292e-05,5.77516462883e-05,-0.00124962298598,-0.00140557760743,0.00129728182915,0.00120358866435
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,5,5,True,True,1,1.00001030676,14.9990004532,11.9992069577,2.05534679193,1.56068855338,1.00000985442,14.9990483936,11.9992529258,2.05426675852,1.55946082015,-4.52345362723e-07,4.79403644125e-05,4.59680892106e-05,-0.001080033406,-0.00122773322498,0.00120358866435,0.00112301192853
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,0,0,0,0,0,0.00169970721234,0.00169970721234
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,-1.11312521534e-06,0.000184823888526,0.000160121137137,-0.00208423835418,-0.00230895916949,0.00169970721234,0.00153938386827
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,-8.27265699499e-07,0.000120707413037,0.000105859337124,-0.00173291316404,-0.00192272859662,0.00153938386827,0.0014075879191
