subject_id,family,method,seed,noise_std,budget,prefix_size,heldout_count,fit_success,fit_status,fit_cost,train_torque_rmse_nm,train_samples,boundary_hits,mismatch_flag,heldout_torque_rmse_mean_nm,heldout_E3_abs_error_mean,heldout_E2_abs_error_mean,heldout_peak_abs_error_mean,rank_spearman,predicted_best_candidate,predicted_best_true_E3,true_oracle_candidate,true_oracle_E3,top_regret,predicted_best_true_feasible,predicted_best_pred_feasible,optimizer_message
MYOLEG_VP_002,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,8,8,316,True,OK,1190.0934265005399,4.060262527151601,3208,mass_scale,BOUNDARY_LIMITED,4.1664801466747745,0.17206607780557018,0.07388734298172643,0.0302400810373917,0.9636564157268547,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,PHYSICS_GREEDY,0,0.0,1,1,323,True,OK,157.9945124602205,4.134793029250603,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,4.15968919091157,0.16580891042397694,0.07008987134756198,0.030312714831173822,0.7932690492927403,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,PHYSICS_GREEDY,0,0.0,2,2,322,True,OK,302.46684432211214,4.076280614596512,802,mass_scale,BOUNDARY_LIMITED,4.161267878953131,0.1703480945840744,0.0728170706348387,0.03027482354090425,0.9581641677394241,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,PHYSICS_GREEDY,0,0.0,4,4,320,True,OK,592.1302712243685,4.045664805250918,1604,mass_scale,BOUNDARY_LIMITED,4.1681968981977775,0.17259900524553273,0.0743812320217064,0.03025638643280048,0.9675511967890312,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,PHYSICS_GREEDY,0,0.0,8,8,316,True,OK,1174.2169508348302,4.034752048876579,3208,mass_scale,BOUNDARY_LIMITED,4.167654709672466,0.1733958179964148,0.07371404505635647,0.03034902496785822,0.9607680503819147,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,1,1,323,True,OK,157.9945124602205,4.134793029250603,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,4.15968919091157,0.16580891042397694,0.07008987134756198,0.030312714831173822,0.7932690492927403,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,2,2,322,True,OK,302.46684432211214,4.076280614596512,802,mass_scale,BOUNDARY_LIMITED,4.161267878953131,0.1703480945840744,0.0728170706348387,0.03027482354090425,0.9581641677394241,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,4,4,320,True,OK,592.1302712243685,4.045664805250918,1604,mass_scale,BOUNDARY_LIMITED,4.1681968981977775,0.17259900524553273,0.0743812320217064,0.03025638643280048,0.9675511967890312,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,8,8,316,True,OK,1174.7688468310857,4.033829463885068,3208,mass_scale,BOUNDARY_LIMITED,4.16745974503353,0.1733733576339846,0.07363697740057355,0.030359532096705267,0.9596047179803121,BETA_TIMING:288,0.9771056436529957,BETA_TIMING:288,0.9771056436529957,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,1,1,386,True,OK,157.9945124602205,4.134793029250603,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,4.153992029691569,0.16453588209101602,0.07202675407869708,0.030103104905310017,0.7849974101088693,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,2,2,385,True,OK,294.00708017662544,4.087795753168276,802,mass_scale,BOUNDARY_LIMITED,4.166721500916121,0.17594407767593884,0.07481154896362152,0.03016353993723093,0.9481831639862727,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,4,4,383,True,OK,574.1014913994495,4.064509085657184,1604,mass_scale,BOUNDARY_LIMITED,4.172316611315789,0.17880603851122795,0.07530314273975001,0.030223985723923177,0.9507090447418426,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,8,8,379,True,OK,1149.5293707419517,4.063646431150434,3208,mass_scale,BOUNDARY_LIMITED,4.1732712541726436,0.17877700373054697,0.07551632558486626,0.03021857611093633,0.9495989313653527,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,1,1,386,True,OK,157.9945124602205,4.134793029250603,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,4.153992029691569,0.16453588209101602,0.07202675407869708,0.030103104905310017,0.7849974101088693,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,2,2,385,True,OK,294.00708017662544,4.087795753168276,802,mass_scale,BOUNDARY_LIMITED,4.166721500916121,0.17594407767593884,0.07481154896362152,0.03016353993723093,0.9481831639862727,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,4,4,383,True,OK,565.7976523326518,4.058578933578255,1604,mass_scale,BOUNDARY_LIMITED,4.172607178623137,0.18081490001545034,0.07412427236108143,0.030325938515832082,0.9207346246907169,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,0.0,8,8,379,True,OK,1121.7385778103385,4.046710443460158,3208,mass_scale,BOUNDARY_LIMITED,4.177318528180091,0.18192419535164703,0.07498622005178797,0.030318743667071185,0.9359046252394398,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,1,1,386,True,OK,157.9945124602205,4.134793029250603,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,4.153992029691569,0.16453588209101602,0.07202675407869708,0.030103104905310017,0.7849974101088693,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,2,2,385,True,OK,294.00708017662544,4.087795753168276,802,mass_scale,BOUNDARY_LIMITED,4.166721500916121,0.17594407767593884,0.07481154896362152,0.03016353993723093,0.9481831639862727,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,4,4,383,True,OK,570.5474252881393,4.059550710946229,1604,mass_scale,BOUNDARY_LIMITED,4.179052806223554,0.17998001048422807,0.07647073391472277,0.030188619680678642,0.9650238626577176,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_002,KEY_POSTURE_TIMING,RESIDUAL_GP_GREEDY,0,0.0,8,8,379,True,OK,1124.735276940878,4.047494069792357,3208,mass_scale,BOUNDARY_LIMITED,4.181210457167635,0.18188240895707683,0.07616436249365664,0.030253286034712463,0.9591075313613849,KEY_POSTURE_TIMING:383,0.9712195166169009,KEY_POSTURE_TIMING:383,0.9712195166169009,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,1,1,323,True,OK,114.96652124834648,3.2687415017875527,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,3.2935072706236355,0.14685374887876454,0.036211598165647355,0.017591946282789574,0.8976590381893922,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,2,2,322,True,OK,220.66894165508566,3.2252063577220187,802,mass_scale,BOUNDARY_LIMITED,3.2943493416048795,0.15046505054616524,0.03888200509593467,0.017662038583701797,0.971711193513099,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,4,4,320,True,OK,433.57498942035875,3.2062911356505572,1604,mass_scale,BOUNDARY_LIMITED,3.296345677052126,0.15201347747585034,0.03923028906637497,0.017621793934107167,0.9722332493481382,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,MODEL_INFORMED_BO_EI,0,0.0,8,8,316,True,OK,868.6400695453149,3.2094234622680657,3208,mass_scale,BOUNDARY_LIMITED,3.297576653921441,0.15195699108747415,0.03956950502050385,0.017649825116697975,0.9717803473264083,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,PHYSICS_GREEDY,0,0.0,1,1,323,True,OK,114.96652124834648,3.2687415017875527,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,3.2935072706236355,0.14685374887876454,0.036211598165647355,0.017591946282789574,0.8976590381893922,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,PHYSICS_GREEDY,0,0.0,2,2,322,True,OK,220.66894165508566,3.2252063577220187,802,mass_scale,BOUNDARY_LIMITED,3.2943493416048795,0.15046505054616524,0.03888200509593467,0.017662038583701797,0.971711193513099,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,PHYSICS_GREEDY,0,0.0,4,4,320,True,OK,432.7258061611274,3.202675278418845,1604,mass_scale,BOUNDARY_LIMITED,3.29885483816449,0.15227981829981316,0.04007112225900371,0.01767047300469019,0.9759895116163244,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,PHYSICS_GREEDY,0,0.0,8,8,316,True,OK,858.7824114868681,3.1950821229682274,3208,mass_scale,BOUNDARY_LIMITED,3.2985582778806366,0.15295174105057127,0.0395379968086483,0.01759865501038007,0.9714639391674891,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,1,1,323,True,OK,114.96652124834648,3.2687415017875527,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,3.2935072706236355,0.14685374887876454,0.036211598165647355,0.017591946282789574,0.8976590381893922,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,2,2,322,True,OK,220.66894165508566,3.2252063577220187,802,mass_scale,BOUNDARY_LIMITED,3.2943493416048795,0.15046505054616524,0.03888200509593467,0.017662038583701797,0.971711193513099,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,4,4,320,True,OK,432.7258061611274,3.202675278418845,1604,mass_scale,BOUNDARY_LIMITED,3.29885483816449,0.15227981829981316,0.04007112225900371,0.01767047300469019,0.9759895116163244,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,BETA_TIMING,RESIDUAL_GP_GREEDY,0,0.0,8,8,316,True,OK,858.9494660485427,3.1937687017788554,3208,mass_scale,BOUNDARY_LIMITED,3.298472878484732,0.15295097011648637,0.03948540431120048,0.017588654066799242,0.9712608598924137,BETA_TIMING:288,0.9760630891464315,BETA_TIMING:288,0.9760630891464315,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,1,1,386,True,OK,114.96652124834648,3.2687415017875527,401,mass_scale;b_hip_nm_s_per_rad,BOUNDARY_LIMITED,3.2871177639801736,0.14559731671673976,0.03828080031121312,0.01782877961516658,0.8837331363659836,KEY_POSTURE_TIMING:383,0.9700454236545675,KEY_POSTURE_TIMING:383,0.9700454236545675,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,2,2,385,True,OK,213.55846248623376,3.22872580521052,802,mass_scale,BOUNDARY_LIMITED,3.2965089776769165,0.15569841512367616,0.04107846103861497,0.01781575560812884,0.962981545656416,KEY_POSTURE_TIMING:383,0.9700454236545675,KEY_POSTURE_TIMING:383,0.9700454236545675,0.0,True,True,`ftol` termination condition is satisfied.
MYOLEG_VP_003,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,0.0,4,4,383,True,OK,417.1084496853457,3.2102464837990228,1604,mass_scale,BOUNDARY_LIMITED,3.3005935257780745,0.15820716248562472,0.041427456890336334,0.017766409708214328,0.9633819699807254,KEY_POSTURE_TIMING:383,0.9700454236545675,KEY_POSTURE_TIMING:383,0.9700454236545675,0.0,True,True,`ftol` termination condition is satisfied.
