record_type,metric,dimension,subject_id,minus_delta_from_reference,plus_delta_from_reference,central_derivative_per_unit,central_derivative_sign,preferred_local_direction,sign_agreement_fraction,minus_improvement_fraction,plus_improvement_fraction
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_013,0.0010124056224818379,-0.0010163002207779215,-0.004057411686519519,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_014,0.0010038582654490202,-0.0010076645388824579,-0.004023045608662956,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_015,0.0009180356681171009,-0.000920804430107891,-0.003677680196449984,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_017,0.0009920711275392957,-0.0009950462805368154,-0.003974234816152222,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_018,0.000982822945137185,-0.0009862292509792425,-0.003938104392232855,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_019,0.0009783910449752131,-0.000981838225493581,-0.003920458540937588,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_021,0.0009775483993148537,-0.0009812757238206737,-0.003917648246271055,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_022,0.0009711888372727628,-0.0009743873460120733,-0.0038911523665696723,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_023,0.0009970791496862752,-0.001000903047941204,-0.003995964395254958,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_025,0.000980920336082436,-0.0009836887968246444,-0.0039292182658141606,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_026,0.0009851531485667309,-0.000988215261120362,-0.003946736819374186,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_027,0.0009686682867529051,-0.0009724848658170249,-0.00388230630513986,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_029,0.0009197751083631633,-0.0009231048857193391,-0.003685759988165005,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_030,0.0010213194695820604,-0.0010247124308940814,-0.004092063800952284,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,hip,MYOLEG_VP_031,0.0010097796472177123,-0.0010134185630298331,-0.004046396420495091,-1,PLUS,,,
SUMMARY,HIP_NORMALIZED_RMS,hip,ALL_DEVELOPMENT,,,,,,1.0,0.0,1.0
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_001,7.060539492931284e-05,-8.72662705944105e-05,-0.0003157433310474467,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_002,7.422254002997786e-05,-9.110683508228856e-05,-0.00033065875022453284,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_003,6.92473147199113e-05,-8.614186284894298e-05,-0.0003107783551377086,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_005,7.05944720251761e-05,-8.736210179494108e-05,-0.00031591314764023437,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_006,6.862405576790742e-05,-8.555732437831587e-05,-0.0003083627602924466,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_007,7.237509732527236e-05,-8.894881766419171e-05,-0.00032264782997892816,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_009,7.40686062661311e-05,-9.058252924520893e-05,-0.00032930227102268006,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_010,7.175280032245546e-05,-8.861863624431976e-05,-0.00032074287313355043,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_011,6.988667351126576e-05,-8.659203993066633e-05,-0.0003129574268838642,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_013,7.623680186519266e-05,-9.29216997955784e-05,-0.00033831700332154213,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_014,7.612240562582251e-05,-9.281861305299177e-05,-0.00033788203735762856,-1,PLUS,,,
