case_id,trajectory_role,alpha_hip,alpha_knee,alpha_phase,trajectory_id,hip_rms_ratio,knee_rms_ratio,mechanical_cost_j_rms,hip_rms_torque_nm,knee_rms_torque_nm,hip_peak_abs_torque_nm,knee_peak_abs_torque_nm,hip_rms_torque_rate_nm_s,knee_rms_torque_rate_nm_s,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,reference_hip_peak_abs_torque_nm,reference_knee_peak_abs_torque_nm,reference_hip_rms_torque_rate_nm_s,reference_knee_rms_torque_rate_nm_s,hip_squared_ratio_reduction_vs_reference,knee_squared_ratio_reduction_vs_reference,knee_component_reduction_exceeds_hip,truth_role,used_for_policy_selection,hip_peak_ratio,knee_peak_ratio,combined_peak_ratio,hip_torque_rate_ratio,knee_torque_rate_ratio,combined_torque_rate_ratio,reference_deviation,reference_deviation_definition
baseline__nonlinear_stiffness_mild,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,31.6654983164,15.2568056841,36.7983710887,22.7582853482,1.43202284619,3.16459293505,31.6654983164,15.2568056841,36.7983710887,22.7582853482,1.43202284619,3.16459293505,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
baseline__nonlinear_stiffness_mild,TRUTH_GLOBAL_OPTIMUM,2,-5,0.0075,asym_h+2.000_k-5.000_p+0.00750,0.999186723749,0.926809366361,0.963677775631,31.6397455186,14.1401504088,36.7989677329,20.9763020332,1.45974508167,2.97742965966,31.6654983164,15.2568056841,36.7983710887,22.7582853482,1.43202284619,3.16459293505,0.00162589108446,0.141024398426,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00001621387,0.921699579394,0.961655484742,1.01935879413,0.940857077282,0.980893569927,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__nonlinear_stiffness_mild,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00156509829,0.928201242959,0.965580186606,31.7150579335,14.1613859995,36.7989196594,21.005616307,1.42711410177,2.97320822814,31.6654983164,15.2568056841,36.7983710887,22.7582853482,1.43202284619,3.16459293505,-0.00313264610302,0.138442452569,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00001490747,0.922987649797,0.962272315107,0.996572160542,0.939523120087,0.968467801309,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__hip_knee_coupling_mild,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,30.8751787159,11.9803621396,37.2221456407,17.3589827651,1.79579814182,2.59564611781,30.8751787159,11.9803621396,37.2221456407,17.3589827651,1.79579814182,2.59564611781,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
baseline__hip_knee_coupling_mild,TRUTH_GLOBAL_OPTIMUM,2,-5,0.0275,asym_h+2.000_k-5.000_p+0.02750,0.99787020609,0.933906229641,0.966417558296,30.8094209483,11.1885348355,37.2212404286,16.1369343939,1.8525072251,2.48841119076,30.8751787159,11.9803621396,37.2221456407,17.3589827651,1.79579814182,2.59564611781,0.00425505179875,0.127819154237,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.99997568082,0.92960138346,0.965429980465,1.03157876264,0.958686615131,0.995799871854,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__hip_knee_coupling_mild,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00223818138,0.937035082338,0.970184548874,30.944282966,11.2260196239,37.2227351134,16.1872719358,1.78511967972,2.46865715214,30.8751787159,11.9803621396,37.2221456407,17.3589827651,1.79579814182,2.59564611781,-0.0044813722176,0.121965254468,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00001583661,0.932501181372,0.966848004274,0.994053640075,0.951076163735,0.972802268853,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__nonlinear_damping_mild,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,30.0313250978,12.3584342672,36.7240436685,17.9359607388,1.91240056734,2.63455927371,30.0313250978,12.3584342672,36.7240436685,17.9359607388,1.91240056734,2.63455927371,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
baseline__nonlinear_damping_mild,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,0.996427367582,0.937964078395,0.967637357491,29.9240342122,11.5917674078,36.7234688082,16.7566253917,1.97645685956,2.53505594777,30.0313250978,12.3584342672,36.7240436685,17.9359607388,1.91240056734,2.63455927371,0.00713250113372,0.120223387641,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.999984346486,0.934247439302,0.967674266233,1.03349522758,0.962231509865,0.99849934001,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__nonlinear_damping_mild,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00154337714,0.939945573216,0.971232932129,30.0776747585,11.6162555813,36.7241445521,16.7860473495,1.90729014849,2.5093191308,30.0313250978,12.3584342672,36.7240436685,17.9359607388,1.91240056734,2.63455927371,-0.00308913629492,0.116502319391,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00000274707,0.935887828591,0.968475999149,0.997327746633,0.95246258296,0.975153220305,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__structured_residual,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,29.6536462185,12.1204702574,36.1931145578,17.569035653,1.86683109645,2.53393984572,29.6536462185,12.1204702574,36.1931145578,17.569035653,1.86683109645,2.53393984572,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
baseline__structured_residual,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,0.996879826878,0.937988525021,0.967882188675,29.5611217086,11.3688620193,36.1917488738,16.4136105571,1.92722212205,2.43618781098,29.6536462185,12.1204702574,36.1931145578,17.569035653,1.86683109645,2.53393984572,0.00623061076444,0.120177526929,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.999962266745,0.934235144218,0.967656922573,1.03234948556,0.961422906348,0.997516783115,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__structured_residual,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00179336691,0.940262242199,0.971515062695,29.7068260863,11.3964205408,36.1930828319,16.4459723963,1.85964161779,2.41252445721,29.6536462185,12.1204702574,36.1931145578,17.569035653,1.86683109645,2.53393984572,-0.00358994998087,0.115906915894,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.999999123427,0.936077125749,0.968565597212,0.996148832813,0.952084344576,0.974365715813,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__combined_mild,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,31.6293995083,14.2488113478,37.3357044424,21.0325963962,1.58229155742,3.00002246045,31.6293995083,14.2488113478,37.3357044424,21.0325963962,1.58229155742,3.00002246045,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
baseline__combined_mild,TRUTH_GLOBAL_OPTIMUM,2,-5,0.0125,asym_h+2.000_k-5.000_p+0.01250,0.999119332685,0.927774801976,0.96410723577,31.60154453,13.2196881266,37.3359033453,19.4053819812,1.61828493533,2.83675207322,31.6293995083,14.2488113478,37.3357044424,21.0325963962,1.58229155742,3.00002246045,0.00176055905461,0.139233916818,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00000532742,0.922633687998,0.962097598244,1.02274762685,0.945576945047,0.984918389315,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__combined_mild,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00215958834,0.93028918353,0.966892394609,31.6977059908,13.2555150751,37.3362926519,19.4563596041,1.57217276765,2.8296594294,31.6293995083,14.2488113478,37.3357044424,21.0325963962,1.58229155742,3.00002246045,-0.00432384051155,0.134562035008,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00001575461,0.92505743169,0.963265996855,0.993604977713,0.94321274814,0.968736584421,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_001__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,24.3081135889,8.72685386579,31.4649140895,12.6587642552,2.01471431322,1.9829959147,24.3081135889,8.72685386579,31.4649140895,12.6587642552,2.01471431322,1.9829959147,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
prospective_subject_001__matched_linear,TRUTH_GLOBAL_OPTIMUM,2,-5,0.0125,asym_h+2.000_k-5.000_p+0.01250,0.99528039988,0.933600110232,0.964933220542,24.1933890131,8.14739173108,31.4659389563,11.7570693212,2.0708045214,1.89018247226,24.3081135889,8.72685386579,31.4649140895,12.6587642552,2.01471431322,1.9829959147,0.00941692561392,0.128390834175,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00003257173,0.928769118705,0.965058863591,1.0278402788,0.953195343594,0.991220712498,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_001__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00154318028,0.935745356905,0.969202794811,24.3456253905,8.16611298531,31.4659563834,11.7828799268,2.00903873167,1.88679669203,24.3081135889,8.72685386579,31.4649140895,12.6587642552,2.01471431322,1.9829959147,-0.0030887419688,0.12438062703,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00003312559,0.930808070143,0.966040867594,0.997182934815,0.951487937038,0.974603278215,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_001__nonlinear_stiffness_strong,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,33.3176912295,25.7830028404,38.050505683,40.7936897507,1.35736907688,5.39007666151,33.3176912295,25.7830028404,38.050505683,40.7936897507,1.35736907688,5.39007666151,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
prospective_subject_001__nonlinear_stiffness_strong,TRUTH_GLOBAL_OPTIMUM,-5,-5,-0.025,asym_h-5.000_k-5.000_p-0.02500,0.976707829726,0.899759585325,0.939022229778,32.5416498922,23.1985039441,36.0170778255,36.4921283809,1.12014199755,4.81145319091,33.3176912295,25.7830028404,38.050505683,40.7936897507,1.35736907688,5.39007666151,0.0460418153515,0.190432688615,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.946559767841,0.894553265564,0.920923704501,0.825230231503,0.892650233579,0.859601470012,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_001__nonlinear_stiffness_strong,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00152362205,0.897336252527,0.950858011384,33.3684547985,23.1360231477,38.133339904,36.4021553141,1.3574603535,4.86554251606,33.3176912295,25.7830028404,38.050505683,40.7936897507,1.35736907688,5.39007666151,-0.00304956552706,0.194787649901,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00217695454,0.892347702219,0.948852746707,1.00006724525,0.902685216112,0.952621408119,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_002__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,44.4412943008,24.5014580504,47.3150907346,35.2317327187,0.867974763085,4.57688399225,44.4412943008,24.5014580504,47.3150907346,35.2317327187,0.867974763085,4.57688399225,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
prospective_subject_002__matched_linear,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,1.00056707782,0.947045028657,0.974173691782,44.466495973,23.2039840415,47.3153130032,33.2516193017,0.938562932854,4.41668159088,44.4412943008,24.5014580504,47.3150907346,35.2317327187,0.867974763085,4.57688399225,-0.0011344772137,0.103105713695,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00000469763,0.943797444401,0.972307310302,1.08132514074,0.964997495754,1.02481320903,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_002__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00138076225,0.948538139335,0.975317392642,44.5026571623,23.2405674301,47.3183535585,33.2846002573,0.880505681573,4.36881378151,44.4412943008,24.5014580504,47.3150907346,35.2317327187,0.867974763085,4.57688399225,-0.00276343100622,0.100275398226,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00006895948,0.944733559461,0.9727947939,1.01443696179,0.954538893472,0.984943360959,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_002__hip_knee_coupling_strong,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,47.0695215093,22.9471619729,49.286695478,32.8789021757,0.73995423127,4.49230336344,47.0695215093,22.9471619729,49.286695478,32.8789021757,0.73995423127,4.49230336344,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
prospective_subject_002__hip_knee_coupling_strong,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,1.00719009957,0.933197258541,0.970898815538,47.4079560559,21.4142286444,49.2266701735,30.5295947126,0.793757172262,4.29526278858,47.0695215093,22.9471619729,49.286695478,32.8789021757,0.73995423127,4.49230336344,-0.0144318966793,0.129142876652,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.998782119518,0.928546657351,0.964304054006,1.07271117418,0.956138185933,1.01609780381,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_002__hip_knee_coupling_strong,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00520658578,0.938979791163,0.972657012595,47.3145930106,21.5469213571,49.3128681676,30.7100680837,0.737194798081,4.26501975047,47.0695215093,22.9471619729,49.286695478,32.8789021757,0.73995423127,4.49230336344,-0.0104402800893,0.118316951787,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00053102951,0.93403569011,0.967854589131,0.996270805583,0.949405996305,0.973120563927,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_003__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,43.4246532042,17.7900424273,45.5592528647,25.7046612488,0.730694086625,3.49600303494,43.4246532042,17.7900424273,45.5592528647,25.7046612488,0.730694086625,3.49600303494,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
prospective_subject_003__matched_linear,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,1.00131786417,0.943570054195,0.972872528207,43.4818809988,16.7861512973,45.5610254219,24.1711284366,0.799519974242,3.36953482346,43.4246532042,17.7900424273,45.5592528647,25.7046612488,0.730694086625,3.49600303494,-0.00263746510535,0.109675552827,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00003890663,0.940340283136,0.970648665293,1.09419247928,0.963824913702,1.03107120171,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_003__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00133883895,0.945266364822,0.973706313745,43.4827918214,16.8163287353,45.5720322366,24.2017415873,0.749486419067,3.33414358799,43.4246532042,17.7900424273,45.5592528647,25.7046612488,0.730694086625,3.49600303494,-0.00267947039267,0.106471499537,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00028050003,0.941531240307,0.971350131317,1.02571846794,0.953701571384,0.990364847603,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_003__combined_strong,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,53.0373893322,31.8585308499,64.1771079883,49.0605943228,2.65681708413,6.21231685996,53.0373893322,31.8585308499,64.1771079883,49.0605943228,2.65681708413,6.21231685996,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
prospective_subject_003__combined_strong,TRUTH_GLOBAL_OPTIMUM,-5,-5,0,asym_h-5.000_k-5.000_p+0.00000,0.97570653611,0.915813367867,0.946233948178,51.7489274296,29.1764684329,61.386121371,44.5994170871,2.33326111394,5.71214552204,53.0373893322,31.8585308499,64.1771079883,49.0605943228,2.65681708413,6.21231685996,0.0479967553932,0.161285875236,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.956511181248,0.909068014823,0.933091178671,0.878216693155,0.91948714961,0.899088754916,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
prospective_subject_003__combined_strong,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.0066232827,0.904078247449,0.956725642694,53.3886709553,28.802604737,64.780014586,44.035491534,2.70326765097,5.64339042546,53.0373893322,31.8585308499,64.1771079883,49.0605943228,2.65681708413,6.21231685996,-0.0132904332681,0.18264252249,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.0093944183,0.897573544346,0.955121814012,1.01748353965,0.908419604581,0.96449440938,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
