case_id,subject_id,scenario_name,iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,actual_J,best_actual_J_before,best_actual_J_after,actual_best_J_improvement,changed_best_alpha,accepted_meaningful_improvement,J_pred_at_execution,best_executed_J_pred_so_far,map_best_supported_J_pred_after,eligible_endpoint_ids_before,eligible_endpoint_ids_after,changed_future_exploit_eligibility,future_eligibility_added,future_eligibility_removed,parameter_delta_json,parameter_changed_exactly,prediction_map_change_rms,prediction_map_change_max_abs,prediction_map_changed_exactly,supported_point_count_before,supported_point_count_after,support_point_increase,model_refit_after_execution,full_map_recomputed_after_execution,frozen_history_row_verified,truth_used_to_select_or_stop,trial_value_classification,classification_is_posthoc_only,classification_used_to_stop_policy
hip_stiff__matched_linear,hip_stiff,matched_linear,9,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.999696149472,0.971075819116,0.971075819116,0,False,False,0.999697007011,0.971078595998,0.970905205669,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,13750,14300,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,10,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.999645024248,0.971075819116,0.971075819116,0,False,False,0.999645881139,0.971078595998,0.970905205669,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,14300,14850,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,11,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.999596900981,0.971075819116,0.971075819116,0,False,False,0.999597757228,0.971078595998,0.970905205669,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,14850,15400,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,12,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.999551789972,0.971075819116,0.971075819116,0,False,False,0.999552645579,0.971078595998,0.970905205669,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,15400,15950,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999624243777,1,1,0,False,False,0.999623685946,0.999623685946,0.97735884695,,asym_h+0.000_k-1.250_p+0.00000,True,asym_h+0.000_k-1.250_p+0.00000,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,7650,12100,4450,True,True,True,False,MULTIPLE_VALUES,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,2,EXPLOIT,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.994415503528,1,0.994415503528,0.0055844964719,True,True,0.994420509997,0.994420509997,0.97735884695,asym_h+0.000_k-1.250_p+0.00000,asym_h+0.000_k-2.500_p+0.00000,True,asym_h+0.000_k-2.500_p+0.00000,asym_h+0.000_k-1.250_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,EXPLOIT,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.988881719219,0.994415503528,0.988881719219,0.00553378430902,True,True,0.988886768687,0.988886768687,0.97735884695,asym_h+0.000_k-2.500_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,True,asym_h+0.000_k-3.750_p+0.00000,asym_h+0.000_k-2.500_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,4,EXPLOIT,asym_h+0.000_k-3.750_p+0.00000,0,-3.75,0,0,-2.5,0,0,-3.75,0,0.98339413433,0.988881719219,0.98339413433,0.0054875848893,True,True,0.983399227179,0.983399227179,0.97735884695,asym_h+0.000_k-3.750_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,True,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-3.75,0,0,-5,0,0.977952631223,0.98339413433,0.977952631223,0.00544150310704,True,True,0.977957767831,0.977957767831,0.97735884695,asym_h+0.000_k-5.000_p+0.00000,,True,,asym_h+0.000_k-5.000_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,6,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999254254544,0.977952631223,0.977952631223,0,False,False,0.999253696834,0.977957767831,0.976985269268,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12650,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
