case_id,subject_id,scenario_name,executed_trial_index,trial_purpose,best_actual_J_so_far,best_executed_J_pred_so_far,map_best_supported_J_pred_after,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,actual_best_J_improvement,trial_value_classification
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,3,EXPLOIT,0.984299603202,0.984304731038,0.968635488401,0,-2.5,0,0.00777224354304,DIRECT_DECISION_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,4,EXPLOIT,0.976676894985,0.976682068452,0.968635488401,0,-3.75,0,0.00762270821688,DIRECT_DECISION_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,5,EXPLOIT,0.969202794811,0.969208014726,0.968635488401,0,-5,0,0.00747410017385,DIRECT_DECISION_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,6,EXPLORE,0.969202794811,0.969208014726,0.968093995952,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,7,EXPLORE,0.969202794811,0.969208014726,0.967556689682,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,8,EXPLORE,0.969202794811,0.969208014726,0.96702358543,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,9,EXPLORE,0.969202794811,0.969208014726,0.966494698904,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,10,EXPLORE,0.969202794811,0.969208014726,0.965969971642,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,11,EXPLORE,0.969202794811,0.969208014726,0.96544946356,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,12,EXPLORE,0.969202794811,0.969208014726,0.964933220542,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,1,EXPLOIT,0.987080761961,0.99431327353,0.975851303396,0,-1.25,0,0.0129192380388,MULTIPLE_VALUES
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,2,EXPLOIT,0.974590435357,0.988676269312,0.975829857504,0,-2.5,0,0.0124903266039,MULTIPLE_VALUES
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,3,EXPLOIT,0.962518614188,0.983082233434,0.975808365121,0,-3.75,0,0.0120718211693,MULTIPLE_VALUES
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,4,EXPLOIT,0.950858011384,0.977528805059,0.975786904638,0,-5,0,0.0116606028041,MULTIPLE_VALUES
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,1,EXPLORE,1,0.999855563362,0.97497639947,0,0,0,0,MULTIPLE_VALUES
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,2,EXPLOIT,0.993717850529,0.993721361052,0.97497639947,0,-1.25,0,0.00628214947129,DIRECT_DECISION_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,3,EXPLOIT,0.987511992957,0.987515532302,0.97497639947,0,-2.5,0,0.00620585757193,DIRECT_DECISION_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,4,EXPLOIT,0.98137858626,0.98138215486,0.97497639947,0,-3.75,0,0.0061334066969,DIRECT_DECISION_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,5,EXPLOIT,0.975317392642,0.975320990929,0.97497639947,0,-5,0,0.00606119361788,DIRECT_DECISION_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,6,EXPLORE,0.975317392642,0.975320990929,0.974856747862,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,7,EXPLORE,0.975317392642,0.975320990929,0.974738735976,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,8,EXPLORE,0.975317392642,0.975320990929,0.974622375819,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,9,EXPLORE,0.975317392642,0.975320990929,0.974507679375,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,10,EXPLORE,0.975317392642,0.975320990929,0.974394658602,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,11,EXPLORE,0.975317392642,0.975320990929,0.974283325434,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
