case_id,axis,direction,alpha_hip,alpha_knee,alpha_phase,axis_alpha,distance_in_existing_grid_steps,J_truth,delta_J_truth_vs_reference,model_supported_at_initial_state,domain_coverage_at_initial_state,reference_near_local_delta_J,best_axis_direction_alpha,best_axis_direction_J,best_axis_direction_improvement,best_axis_direction_at_generator_boundary,truth_monotonic_improvement_from_reference_to_boundary,truth_used_for_policy_selection
baseline__combined_mild,PHASE,NEGATIVE,0,0,-0.03,-0.03,12,1.00028674619,0.000286746190943,True,100,1.78600933478e-05,-0.0025,1.00001786009,-1.78600933478e-05,False,False,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.0025,0.0025,1,0.999982811888,-1.71881119818e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.005,0.005,2,0.999966922536,-3.30774640633e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.0075,0.0075,3,0.999952106283,-4.78937168751e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.01,0.01,4,0.999938383098,-6.16169024841e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.0125,0.0125,5,0.999925745204,-7.42547963999e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.015,0.015,6,0.999914186101,-8.58138994213e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.0175,0.0175,7,0.999903741497,-9.62585028483e-05,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.02,0.02,8,0.999894568265,-0.000105431735196,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.0225,0.0225,9,0.999886433841,-0.000113566159196,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.025,0.025,10,0.999879221495,-0.00012077850515,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.0275,0.0275,11,0.999873128895,-0.00012687110514,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__combined_mild,PHASE,POSITIVE,0,0,0.03,0.03,12,0.999868417714,-0.000131582286099,True,99.7506234414,-1.71881119818e-05,0.03,0.999868417714,0.000131582286099,True,True,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-0.25,0,0,-0.25,1,1.00051356605,0.000513566046055,True,100,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-0.5,0,0,-0.5,2,1.0010347334,0.00103473340134,True,100,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
