case_id,subject_id,scenario_name,iteration,decision_state,trajectory_id,axis_direction,coordinate,direction,hip_delta,knee_delta,phase_delta,predicted_cumulative_delta_J,calibrated_uncertainty,meaningful_improvement_component,decision_evidence_margin,truth_cumulative_delta_J_posthoc,magnitude_gate_pass,direction_gate_pass,all_nondecision_gates_available,authorized,authorized_prediction_rank,selected,truth_direction_supports_improvement,truth_meaningful_improvement,domain_coverage,model_supported,decision_guard_status,truth_used_for_authorization,truth_attached_posthoc_only
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+1.250_k-3.750_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-3.75,0.0,-0.00226361175295,0.00400496043747,-0.00273638824705,-0.00174134868452,-0.00226361175284,False,False,False,False,,False,True,False,81.79551122194513,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,KNEE_NEGATIVE,knee,NEGATIVE,0.0,-5.0,0.0,-0.00701126570825,0.00400496043747,0.00201126570825,0.00300630527078,-0.00701126570817,True,True,True,True,1,True,True,True,99.75062344139651,True,RESEARCH_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+0.000_k-2.500_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,-2.5,0.0,0.00713100663182,0.00400496043747,-0.0121310066318,-0.0111359670693,0.00713100663173,False,False,True,False,,False,False,False,100.0,True,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+0.000_k-3.750_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,-3.75,-0.0125,8.81009092265e-05,0.00400496043747,-0.00508810090923,-0.0040930613467,8.81009092001e-05,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+0.000_k-3.750_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,-3.75,0.0125,-6.76564288118e-05,0.00400496043747,-0.00493234357119,-0.00393730400866,-6.7656428788e-05,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,6,EXPLORE,asym_h-1.250_k-5.000_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,-5.0,0.0,0.00229104117515,0.00400496043747,-0.00729104117515,-0.00629600161262,0.00229104117503,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,6,EXPLORE,asym_h+1.250_k-5.000_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-5.0,0.0,-0.00222138842023,0.00400496043747,-0.00277861157977,-0.00178357201724,-0.00222138842012,False,False,False,False,,False,True,False,81.79551122194513,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,6,EXPLORE,asym_h+0.000_k-3.750_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,-3.75,0.0,0.00701126570825,0.00400496043747,-0.0120112657082,-0.0110162261457,0.00701126570817,False,False,True,False,,False,False,False,100.0,True,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,6,EXPLORE,asym_h+0.000_k-5.000_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,-5.0,-0.0125,7.51907253358e-05,0.00400496043747,-0.00507519072534,-0.00408015116281,7.51907253105e-05,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,6,EXPLORE,asym_h+0.000_k-5.000_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,-5.0,0.0125,-5.4676757998e-05,0.00400496043747,-0.004945323242,-0.00395028367947,-5.46767579752e-05,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,7,EXPLORE,asym_h-1.250_k-5.000_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,-5.0,0.0,0.00229104117515,0.00400496043747,-0.00729104117515,-0.00629600161262,0.00229104117503,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,7,EXPLORE,asym_h+1.250_k-5.000_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-5.0,0.0,-0.00222138842023,0.00400496043747,-0.00277861157977,-0.00178357201724,-0.00222138842012,False,False,False,False,,False,True,False,82.7930174563591,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,7,EXPLORE,asym_h+0.000_k-3.750_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,-3.75,0.0,0.00701126570825,0.00400496043747,-0.0120112657082,-0.0110162261457,0.00701126570817,False,False,True,False,,False,False,False,100.0,True,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,7,EXPLORE,asym_h+0.000_k-5.000_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,-5.0,-0.0125,7.51907253358e-05,0.00400496043747,-0.00507519072534,-0.00408015116281,7.51907253105e-05,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,7,EXPLORE,asym_h+0.000_k-5.000_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,-5.0,0.0125,-5.4676757998e-05,0.00400496043747,-0.004945323242,-0.00395028367947,-5.46767579752e-05,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,8,EXPLORE,asym_h-1.250_k-5.000_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,-5.0,0.0,0.00229104117515,0.00400496043747,-0.00729104117515,-0.00629600161262,0.00229104117503,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,8,EXPLORE,asym_h+1.250_k-5.000_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-5.0,0.0,-0.00222138842023,0.00400496043747,-0.00277861157977,-0.00178357201724,-0.00222138842012,False,False,False,False,,False,True,False,84.03990024937656,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,8,EXPLORE,asym_h+0.000_k-3.750_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,-3.75,0.0,0.00701126570825,0.00400496043747,-0.0120112657082,-0.0110162261457,0.00701126570817,False,False,True,False,,False,False,False,100.0,True,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,8,EXPLORE,asym_h+0.000_k-5.000_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,-5.0,-0.0125,7.51907253358e-05,0.00400496043747,-0.00507519072534,-0.00408015116281,7.51907253105e-05,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,8,EXPLORE,asym_h+0.000_k-5.000_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,-5.0,0.0125,-5.4676757998e-05,0.00400496043747,-0.004945323242,-0.00395028367947,-5.46767579752e-05,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
