family,subject_a,subject_b,spearman_rank,oracle_a,oracle_b,oracle_same,oracle_distance,transfer_a_to_b_regret_pct,transfer_b_to_a_regret_pct
BETA_TIMING,MYOLEG_VP_013,MYOLEG_VP_027,0.9998803948029955,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_013,MYOLEG_VP_029,0.9999312005503956,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_013,MYOLEG_VP_030,0.9992975399786547,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_013,MYOLEG_VP_031,0.9999093258535985,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_015,0.9997219796600603,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_017,0.9998641651892427,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_018,0.9999012110467219,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_019,0.9999816534801056,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_021,0.9997674931421063,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_022,0.9998620482831012,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_023,0.9998496996639412,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_025,0.999364928157498,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_026,0.9991595882617555,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_027,0.999786192479691,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_029,0.9999710689493974,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_030,0.9994954707029012,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_014,MYOLEG_VP_031,0.9999647182309722,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_017,0.9999269667381124,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_018,0.9999054448590055,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_019,0.9997106894939713,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_021,0.999168761521703,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_022,0.999922732925829,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_023,0.9999428435341751,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_025,0.9998567560177468,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_026,0.9997494994399021,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_027,0.9991888721300487,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_029,0.9997756079489828,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_030,0.9999149709366429,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
