scope,subject_id,family,method,seed,budget,status,executed_count,domain_size,coverage_fraction,recommendation_id,recommendation_E3,recommendation_feasible,full_oracle_id,full_oracle_E3,recommendation_selection_score,pool_oracle_id,pool_oracle_E3,pool_has_full_oracle,pool_has_near_oracle,exploration_regret_relative_pct,recommendation_regret_relative_pct,distance_to_full_oracle,no_feasible_candidate_in_pool
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,4,4,complete,4,324,0.012345679012345678,BETA_TIMING:305,0.9899769016051846,True,BETA_TIMING:288,0.9753692703730039,0.9899769016051846,BETA_TIMING:305,0.9899769016051846,False,False,1.4976513691675333,1.4976513691675333,0.28867513459481287,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RANDOM,4,8,complete,8,324,0.024691358024691357,BETA_TIMING:303,0.988468144129373,True,BETA_TIMING:288,0.9753692703730039,0.988468144129373,BETA_TIMING:303,0.988468144129373,False,False,1.3429655981841395,1.3429655981841395,0.4841229182759272,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,REFERENCE,0,1,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,REFERENCE,0,2,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,REFERENCE,0,4,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,REFERENCE,0,8,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RESIDUAL_GP_GREEDY,0,1,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RESIDUAL_GP_GREEDY,0,2,complete,2,324,0.006172839506172839,BETA_TIMING:288,0.9753692703730039,True,BETA_TIMING:288,0.9753692703730039,0.9753692703730039,BETA_TIMING:288,0.9753692703730039,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RESIDUAL_GP_GREEDY,0,4,complete,4,324,0.012345679012345678,BETA_TIMING:288,0.9753692703730039,True,BETA_TIMING:288,0.9753692703730039,0.9753692703730039,BETA_TIMING:288,0.9753692703730039,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,RESIDUAL_GP_GREEDY,0,8,complete,8,324,0.024691358024691357,BETA_TIMING:288,0.9753692703730039,True,BETA_TIMING:288,0.9753692703730039,0.9753692703730039,BETA_TIMING:288,0.9753692703730039,True,True,0.0,0.0,0.0,False
