case_id,subject_id,scenario_name,policy_id,iteration,policy_decision,true_local_improvement_available,missed_improvement_round,best_local_delta_J_truth,policy_complete_before_truth_audit,truth_fed_back_to_policy
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,7,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,8,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,9,STOP,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,1,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,2,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,3,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,4,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,5,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,6,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,7,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,8,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,9,STOP,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,1,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,2,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,3,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,4,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,5,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,6,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,7,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,8,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,9,STOP,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,1,EXPLORE,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,2,EXPLOIT,False,False,-0.00446718793104,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,3,EXPLOIT,False,False,-0.00446033120882,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,4,EXPLOIT,False,False,-0.0044529164993,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,5,EXPLOIT,False,False,-0.00444550513823,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,6,EXPLOIT,False,False,-0.0044380971777,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,7,EXPLOIT,False,False,-0.00443069266906,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,8,EXPLOIT,False,False,-0.00442329166286,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,9,EXPLOIT,False,False,-0.00441589420887,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,10,EXPLOIT,False,False,-0.00440850035608,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,11,EXPLOIT,False,False,-0.0044011101527,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,12,EXPLOIT,False,False,-0.00439372364613,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,13,EXPLOIT,False,False,-0.00438634088301,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,14,EXPLOIT,False,False,-0.00437896190917,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,15,EXPLOIT,False,False,-0.00437158676962,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,16,EXPLOIT,False,False,-0.00436421550862,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,17,EXPLOIT,False,False,-0.00435684816959,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,18,EXPLORE,False,False,-0.00434948479516,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,19,EXPLORE,False,False,-0.00434948479516,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,20,EXPLORE,False,False,-0.00434948479516,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,1,EXPLORE,True,True,-0.00666528974099,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,2,EXPLOIT,True,False,-0.00666528974099,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,3,EXPLOIT,True,False,-0.00655300359635,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,4,EXPLOIT,True,False,-0.00644182447333,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,5,EXPLOIT,True,False,-0.00633121629165,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,6,EXPLOIT,True,False,-0.00622122736161,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,7,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,8,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,9,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,10,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,11,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,12,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,13,EXPLORE,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,14,STOP,False,False,-0.00233356895633,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,1,EXPLORE,True,True,-0.00666528974099,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,2,EXPLOIT,True,False,-0.00666528974099,True,False
