authorization_id,semantic_id,semantic_rule,iteration,coordinate,direction,bundle_length,start_trajectory_id,first_step_trajectory_id,endpoint_trajectory_id,start_alpha_hip,start_alpha_knee,start_alpha_phase,first_step_alpha_hip,first_step_alpha_knee,first_step_alpha_phase,endpoint_alpha_hip,endpoint_alpha_knee,endpoint_alpha_phase,predicted_cumulative_delta_J,predicted_endpoint_improvement,calibrated_uncertainty,meaningful_improvement_tolerance,magnitude_gate_pass,direction_gate_pass,magnitude_margin,direction_margin,additive_margin,semantic_selection_margin,path_exists,all_intermediate_nodes_admissible,all_nodes_model_supported,patient_envelope_compliant,reference_provenance_valid,bundle_evidence_authorizes_next_step,selected_authorization,authorized_execution_count,queued_later_steps,authorization_lifetime,authorization_invalidated_after_execution,truth_used_for_authorization,case_id,subject_id,scenario_name,start_J_truth_posthoc,endpoint_J_truth_posthoc,truth_cumulative_delta_J_posthoc,truth_bundle_meaningful_improvement,bundle_endpoint_false_improvement,posthoc_truth_fed_back_to_policy
semantic_bundle_9c6fa81e58e014c42f8a8153,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,hip,NEGATIVE,5,asym_h+0.000_k-5.000_p+0.00000,asym_h-0.250_k-5.000_p+0.00000,asym_h-1.250_k-5.000_p+0.00000,0,-5,0,-0.25,-5,0,-1.25,-5,0,0.00229104117515,-0.00229104117515,0.00400496043747,0.005,False,False,-0.00729104117515,-0.00629600161262,-0.0112960016126,-0.0112960016126,True,True,True,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.973524583799,0.00229104117503,False,False,False
semantic_bundle_eb51dca671a3623de114bc52,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,hip,POSITIVE,2,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.250_k-5.000_p+0.00000,asym_h+0.500_k-5.000_p+0.00000,0,-5,0,0.25,-5,0,0.5,-5,0,-0.000901036265229,0.000901036265229,0.00164217053717,0.005,False,False,-0.00409896373477,-0.000741134271941,-0.00574113427194,-0.00574113427194,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.970332506358,-0.000901036265184,False,False,False
semantic_bundle_6d30cfb88f67811df6ed2490,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,hip,POSITIVE,3,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.250_k-5.000_p+0.00000,asym_h+0.750_k-5.000_p+0.00000,0,-5,0,0.25,-5,0,0.75,-5,0,-0.00134437213956,0.00134437213956,0.00244544326845,0.005,False,False,-0.00365562786044,-0.00110107112889,-0.00610107112889,-0.00610107112889,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.969889170484,-0.00134437213949,False,False,False
semantic_bundle_402c63fce0a48e9148a69208,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,hip,POSITIVE,5,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.250_k-5.000_p+0.00000,asym_h+1.250_k-5.000_p+0.00000,0,-5,0,0.25,-5,0,1.25,-5,0,-0.00222138842023,0.00222138842023,0.00400496043747,0.005,False,False,-0.00277861157977,-0.00178357201724,-0.00678357201724,-0.00678357201724,True,True,False,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.969012154204,-0.00222138842012,False,False,False
semantic_bundle_f4200c18e6138d42d16876ba,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,knee,NEGATIVE,2,asym_h+0.000_k-5.000_p+0.00000,,,0,-5,0,0,-5.25,0,0,-5.5,0,,,0.00164217053717,0.005,False,False,,,,,False,False,False,False,False,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,,,False,False,False
semantic_bundle_a22768e19254ebdc9fc07791,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,knee,NEGATIVE,3,asym_h+0.000_k-5.000_p+0.00000,,,0,-5,0,0,-5.25,0,0,-5.75,0,,,0.00244544326845,0.005,False,False,,,,,False,False,False,False,False,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,,,False,False,False
semantic_bundle_9fedfbf31633359cdff5277a,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,knee,NEGATIVE,5,asym_h+0.000_k-5.000_p+0.00000,,,0,-5,0,0,-5.25,0,0,-6.25,0,,,0.00400496043747,0.005,False,False,,,,,False,False,False,False,False,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,,,False,False,False
semantic_bundle_78a63fdac5a05535bf5cc14d,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,knee,POSITIVE,2,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-4.750_p+0.00000,asym_h+0.000_k-4.500_p+0.00000,0,-5,0,0,-4.75,0,0,-4.5,0,0.00279018225159,-0.00279018225159,0.00164217053717,0.005,False,False,-0.00779018225159,-0.00443235278876,-0.00943235278876,-0.00943235278876,True,True,True,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.974023724875,0.00279018225156,False,False,False
semantic_bundle_026db7f2f7e63ce4c426729d,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,knee,POSITIVE,3,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-4.750_p+0.00000,asym_h+0.000_k-4.250_p+0.00000,0,-5,0,0,-4.75,0,0,-4.25,0,0.00419242960521,-0.00419242960521,0.00244544326845,0.005,False,False,-0.00919242960521,-0.00663787287366,-0.0116378728737,-0.0116378728737,True,True,True,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.975425972229,0.00419242960516,False,False,False
semantic_bundle_80dc46ad3833046021628c3b,S0_CURRENT_ADDITIVE_MARGIN,BUNDLE_SCALE_P95_ADDITIVE,7,knee,POSITIVE,5,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-4.750_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,0,-5,0,0,-4.75,0,0,-3.75,0,0.00701126570825,-0.00701126570825,0.00400496043747,0.005,False,False,-0.0120112657082,-0.0110162261457,-0.0160162261457,-0.0160162261457,True,True,True,True,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.978244808332,0.00701126570817,False,False,False
