path,size_bytes,tracked,ignored,producer,consumer_tests,consumer_scripts,sha256_if_present,regenerable,deterministic,required_for_normal_pytest,required_for_formal_reproduction
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/boundary_test_data.csv,1120615,false,true,lower_limb_sim.run_geometry_error_experiment,,,119cdb13e89ed356071c99fc493e89fd5be84b735cbdd85185ebaaf61cdee0f8,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/interpolation_test_data.csv,4518417,false,true,lower_limb_sim.run_geometry_error_experiment,,,98c458bf50d69dd5a4fe13c8bdc0be8acb580245c1e3f5454dfb6b9a5005f794,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/observed_trajectory.csv,4073443,false,true,lower_limb_sim.run_geometry_error_experiment,,,a6c98cb5772cea8ba0f473e1471c09366b295e16875d965447169caf378bec20,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/outside_domain_test_data.csv,1150420,false,true,lower_limb_sim.run_geometry_error_experiment,,,1c9d208042fc010bf30c9412842d846a178a196b5c9eedcf7ede85bf30a4a66a,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/reconstructed_state.csv,59282374,false,true,lower_limb_sim.run_geometry_error_experiment,,,423cf1773ff27797e900624348f8f2e0e9300ac7f486c074a54ea74def00c616,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/training_data.csv,4753555,false,true,lower_limb_sim.run_geometry_error_experiment,,,e03f14e6d999ee6f9c9c602cdf70dcb9a4b8618f1c9e49f1eacdc3378cbef884,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/true_trajectory.csv,6440539,false,true,lower_limb_sim.run_geometry_error_experiment,,,a5332cba702e70a919d3ddc0a2903d8dd8e92dd55754954b41abd0c8609e4291,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm/validation_data.csv,2714683,false,true,lower_limb_sim.run_geometry_error_experiment,,,b75e7b860606028fb61e91987adcb55d088eb4c33a8ca34d273be5ddb9e9f344,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/boundary_test_data.csv,1120637,false,true,lower_limb_sim.run_geometry_error_experiment,,,7fb4f35306944978f95e5b87a89f57a92482a3f7c6c3a299619dbfa9db896ecd,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/interpolation_test_data.csv,4517510,false,true,lower_limb_sim.run_geometry_error_experiment,,,ed90b3316f661f163205b0c6fd57d3fab48acd6aa9f21e8f051e5ba00c9c1e33,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
