subject_id,split,boundary_side,hip_deg,knee_deg,knee_velocity_deg_s,required_knee_drive_nm,subject_reference_knee_rms_nm,joint_limit_knee_contribution_nm,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,source_equality_residual_max,solver_warning_count,finite,artifact_gate_pass
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,0.25,0.0,1.1400499329025252e-12,11.075814287716018,-0.004700337172214022,0.004700337172214022,0.00042437847458557336,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,0.25,1.0,1.0901478105529278e-12,11.075814287716018,-0.004728749666462032,0.004728749666462032,0.00042694374820879776,1,0,1.1384122811097797e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,0.5,-1.0,-1.0294100043026342e-13,11.075814287716018,-6.582837882744628e-05,6.582837882744628e-05,5.943434687276703e-06,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,0.5,0.0,-1.0729510322304998e-13,11.075814287716018,-6.644113780085079e-05,6.644113780085079e-05,5.998758743593186e-06,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,0.5,1.0,-8.991527572861201e-14,11.075814287716018,-6.705389322991702e-05,6.705389322991702e-05,6.054082479902652e-06,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,0.5,-1.0,-7.467097685930699e-14,11.075814287716018,-7.68238558341455e-05,7.68238558341455e-05,6.936181290015799e-06,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,0.5,0.0,-7.850770182503431e-14,11.075814287716018,-7.743669818936487e-05,7.743669818936487e-05,6.991512874610807e-06,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,0.5,1.0,-7.443214661974807e-14,11.075814287716018,-7.804953718440729e-05,7.804953718440729e-05,7.046844155826141e-06,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,0.5,-1.0,-1.2061630261830966e-14,11.075814287716018,-0.00011119195887072888,0.00011119195887072888,1.0039167864528918e-05,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,0.5,0.0,-2.913633982093333e-14,11.075814287716018,-0.00011180484935808156,0.00011180484935808156,1.0094503794820962e-05,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,0.5,1.0,-2.7122218280982366e-14,11.075814287716018,-0.00011241773798945103,0.00011241773798945103,1.0149839557542193e-05,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,0.5,-1.0,2.8896460991850704e-13,11.075814287716018,-0.00014696136920018158,0.00014696136920018158,1.3268674011912039e-05,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,0.5,0.0,2.8843331160132e-13,11.075814287716018,-0.00014757424530618745,0.00014757424530618745,1.332400864375808e-05,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,0.5,1.0,2.3771101138861735e-13,11.075814287716018,-0.00014818712066024014,0.00014818712066024014,1.337934320771266e-05,1,0,2.032879073410321e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,1.0,-1.0,1.002139875625304e-15,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,1.0,0.0,-8.690402358349557e-15,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,1.0,1.0,-1.2576360624811277e-15,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,1.0,-1.0,-1.6877152796989932e-14,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,1.0,0.0,1.0961272459301935e-14,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,1.0,1.0,5.880558067571957e-15,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
