case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after,parameter_interpretation
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,9,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00129792314596,0.00120069958056,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,10,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00120069958056,0.00111673869334,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,11,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00111673869334,0.00104349996201,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,12,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00104349996201,0.000979053047134,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,13,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.000979053047134,0.000921904902209,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00353884789364,0.00353884789364,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00353884789364,0.00290246545596,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00290246545596,0.00245959703942,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00245959703942,0.00213316624957,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0,0.00213316624957,0.00188248843881,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
