case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration,distance_to_hip_lower_bound,distance_to_hip_upper_bound,distance_to_knee_lower_bound,distance_to_knee_upper_bound,distance_to_phase_lower_bound,distance_to_phase_upper_bound,distance_to_parameter_bounds_formal_steps,on_generator_parameter_boundary,distance_to_joint_corridor_boundary_deg,distance_to_pull_corridor_boundary_mm,on_joint_corridor_boundary,on_pull_corridor_boundary,outside_joint_corridor,outside_pull_corridor,J_actual,exploit_monotonic_march_toward_boundary,final_best_on_generator_boundary,final_best_on_joint_corridor_boundary,final_best_on_pull_corridor_boundary,final_optimum_diagnostic_status,boundary_is_error_claim
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,1,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.999808223371,0.999807364527,0.971075819116,0.971075819116,0.0287296273734,0.0287315454107,WORSE,WORSE,2.53130849615e-14,-0.0337296273734,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0575231599886,,5.75,1.25,5,2,0.03,0.03,5,False,-0.75,-4.15303368406,True,True,True,True,0.999807364527,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,1,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.99975112453,0.99975026634,0.971075819116,0.971075819116,0.0286725285328,0.028674447224,WORSE,WORSE,2.53130849615e-14,-0.0336725285328,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0861976072126,,6,1,5,2,0.03,0.03,4,False,-1,-5.64241538859,True,True,True,True,0.99975026634,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,1,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.999697007011,0.999696149472,0.971075819116,0.971075819116,0.0286184110137,0.0286203303555,WORSE,WORSE,2.53130849615e-14,-0.0336184110137,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.114817937568,,6.25,0.75,5,2,0.03,0.03,3,False,-1.25,-7.13548657239,True,True,True,True,0.999696149472,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,1,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.999645881139,0.999645024248,0.971075819116,0.971075819116,0.0285672851418,0.0285692051312,WORSE,WORSE,2.53130849615e-14,-0.0335672851418,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.143387142699,,6.5,0.5,5,2,0.03,0.03,2,False,-1.5,-8.63224360542,True,True,True,True,0.999645024248,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,1,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.999597757228,0.999596900981,0.971075819116,0.971075819116,0.0285191612307,0.0285210818643,WORSE,WORSE,2.53130849615e-14,-0.0335191612307,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.171908224564,,6.75,0.25,5,2,0.03,0.03,1,False,-1.75,-10.1323693705,True,True,True,True,0.999596900981,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,1,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.999552645579,0.999551789972,0.971075819116,0.971075819116,0.0284740495812,0.028475970856,WORSE,WORSE,2.53130849615e-14,-0.0334740495813,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.20038419542,,7,0,5,2,0.03,0.03,0,True,-2,-11.6362071706,True,True,True,True,0.999551789972,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999623685946,0.999624243777,1,1,-0.000376314053928,-0.000375756222738,NEUTRAL,NEUTRAL,0,-0.00462368594607,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5.25,1.75,5,2,0.03,0.03,7,False,-0.25,-1.19321590839,True,True,True,True,0.999624243777,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,0,0,0,0,0,0.999253696834,0.999254254544,1,1,-0.000746303166305,-0.000745745456048,NEUTRAL,NEUTRAL,0,-0.0042536968337,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5.5,1.5,5,2,0.03,0.03,6,False,-0.5,-2.66865353592,True,True,True,True,0.999254254544,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,0,0,0,0,0,0.99888508444,0.998885642027,1,1,-0.00111491555967,-0.00111435797291,NEUTRAL,NEUTRAL,0,-0.00388508444033,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5.75,1.25,5,2,0.03,0.03,5,False,-0.75,-4.15303368406,True,True,True,True,0.998885642027,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,0,0,0,0,0,0.998517860983,0.998518418444,1,1,-0.00148213901663,-0.00148158155591,NEUTRAL,NEUTRAL,0,-0.00351786098337,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,6,1,5,2,0.03,0.03,4,False,-1,-5.64241538859,True,True,True,True,0.998518418444,False,False,True,True,INTERIOR_BEST_DIAGNOSTIC,False
