model,beta_flex,beta_extend,share_shift,step1,step2,valid,invalid_reason,flexion_share,flexion_duration_s,extension_duration_s,min_warp_derivative,ROM_excess_rad,hip_speed_peak_deg_s,knee_speed_peak_deg_s,hip_accel_peak_deg_s2,knee_accel_peak_deg_s2,knee_angle_change_peak_deg,E0,E2,hip_torque_peak_Nm,knee_torque_peak_Nm,decomposition_residual_Nm,warning_count,hip_flex_RMS_Nm,hip_extend_RMS_Nm,knee_flex_RMS_Nm,knee_extend_RMS_Nm,hip_flex_relative,hip_extend_relative,knee_flex_relative,knee_extend_relative,family,parameter_flex,parameter_extend,E3,reverse_motion_deg,flex_midpoint_offset_deg,extend_midpoint_offset_deg
LEG_0_NOMINAL,-0.015,0.03,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.8969619877158422,4.0215965269041476e-07,22.187512350414032,29.0717852167988,14.101230445371916,20.672806004978305,4.666936137391513,32.19049947436003,1.0007454122563846,36.71788987911703,16.727495298800434,,,29.52490902452315,30.867945971602033,11.79838846847188,10.863396269646014,1.000135804342918,1.0007454122563846,0.995519351140657,0.9852546483756784,BETA_ORIGINAL,-0.015,0.03,0.9954138040289094,,,
LEG_0_NOMINAL,0.0,-0.03,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,0.0,22.187512350414032,28.77515435352716,14.101230445371916,15.53489980503135,4.6962585682973,32.22828189196628,1.0159773057335362,36.71744638071611,16.720582995276544,,,29.520970072092528,30.81650234561538,11.851448206520056,11.20214361977037,1.0000023750627736,0.9990775988961,0.9999964029121396,1.0159773057335362,BETA_ORIGINAL,0.0,-0.03,1.0037634206511372,,,
LEG_0_NOMINAL,0.0,-0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579214,0.0,22.187512350414032,28.354220894992107,14.101230445371916,16.194835805016588,2.3487025618309914,32.221053566092394,1.0078408966976482,36.71744638071611,16.720634860621796,,,29.520970072092528,30.83144877167233,11.851448206520056,11.112431751153968,1.0000023750627736,0.9995621652264896,0.9999964029121396,1.0078408966976482,BETA_ORIGINAL,0.0,-0.015,1.0018504599747626,,,
LEG_0_NOMINAL,0.0,0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579212,2.029769827771588e-07,22.187512350414032,28.566208357456784,14.101230445371916,19.099772963855788,2.3458459462204395,32.20667141640047,1.0003967808298175,36.71744638071611,16.72777414868373,,,29.520970072092528,30.85719245136854,11.851448206520056,10.94298736834394,1.0000023750627736,1.0003967808298175,0.9999964029121396,0.9924731551865336,BETA_ORIGINAL,0.0,0.015,0.998217178497816,,,
LEG_0_NOMINAL,0.0,0.03,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.8969619877158422,4.0215965269041476e-07,22.187512350414032,29.0717852167988,14.101230445371916,20.672806004978305,4.666936137391513,32.19949604738714,1.0007454122563846,36.71744638071611,16.727495298800434,,,29.520970072092528,30.867945971602033,11.851448206520056,10.863396269646014,1.0000023750627736,1.0007454122563846,0.9999964029121396,0.9852546483756784,BETA_ORIGINAL,0.0,0.03,0.996499709651744,,,
LEG_0_NOMINAL,0.015,-0.03,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.8969619877158429,0.0,22.187512350414032,28.77515435352716,14.101230445371916,15.53489980503135,4.6962585682973,32.23688482188468,1.0159773057335362,36.717001743533984,16.720582995276544,,,29.516789325922588,30.81650234561538,11.903038834619492,11.20214361977037,0.9998607551875032,0.9990775988961,1.0043494947558045,1.0159773057335362,BETA_ORIGINAL,0.015,-0.03,1.004816288643236,,,
LEG_0_NOMINAL,0.015,-0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579212,0.0,22.187512350414032,28.354220894992107,14.101230445371916,16.194835805016588,2.3487025618309914,32.22965842543808,1.0078408966976482,36.717001743533984,16.720634860621796,,,29.516789325922588,30.83144877167233,11.903038834619492,11.112431751153968,0.9998607551875032,0.9995621652264896,1.0043494947558045,1.0078408966976482,BETA_ORIGINAL,0.015,-0.015,1.0029033279668613,,,
LEG_0_NOMINAL,0.015,0.0,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579212,5.551115123125783e-17,22.187512350414032,28.239978668987725,14.101230445371916,17.795202122007552,1.2306921554186576,32.222450630457786,1.0043494947558045,36.717001743533984,16.720688958152945,,,29.516789325922588,30.84502003247766,11.903038834619492,11.025954325673077,0.9998607551875032,1.0000021484052202,1.0043494947558045,0.9999978351614804,BETA_ORIGINAL,0.015,0.0,1.001052558377502,,,
LEG_0_NOMINAL,0.015,0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.9484809938579212,2.029769827771588e-07,22.187512350414032,28.566208357456784,14.101230445371916,19.099772963855788,2.3458459462204395,32.215280117289126,1.0043494947558045,36.717001743533984,16.72777414868373,,,29.516789325922588,30.85719245136854,11.903038834619492,10.94298736834394,0.9998607551875032,1.0003967808298175,1.0043494947558045,0.9924731551865336,BETA_ORIGINAL,0.015,0.015,0.9992700464899147,,,
LEG_0_NOMINAL,0.015,0.03,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.8969619877158422,4.0215965269041476e-07,22.187512350414032,29.0717852167988,14.101230445371916,20.672806004978305,4.666936137391513,32.2081066661348,1.0043494947558045,36.717001743533984,16.727495298800434,,,29.516789325922588,30.867945971602033,11.903038834619492,10.863396269646014,0.9998607551875032,1.0007454122563846,1.0043494947558045,0.9852546483756784,BETA_ORIGINAL,0.015,0.03,0.9975525776438426,,,
