model,beta_flex,beta_extend,E0,E2,E3
LEG_0_NOMINAL,-0.0275,0.0225,32.18627395768682,1.0005768252197094,0.995333245335439
LEG_0_NOMINAL,-0.0275,0.025,32.1850721307248,1.0006338599693343,0.9950478343217297
LEG_0_NOMINAL,-0.0275,0.0275,32.183874486072256,1.0006899658437316,0.9947643218618216
LEG_0_NOMINAL,-0.0275,0.03,32.182684790768874,1.0007454122563846,0.9944828347408579
LEG_0_NOMINAL,-0.025,-0.03,32.21307155406011,1.0159773057335362,1.0019348177603038
LEG_0_NOMINAL,-0.025,-0.0275,32.2118766912786,1.0146011551181835,1.0016119755469124
LEG_0_NOMINAL,-0.025,-0.025,32.21066789540761,1.0132330897182888,1.0012905575513775
LEG_0_NOMINAL,-0.025,-0.0225,32.20946415516561,1.011873213547599,1.0009709606431765
LEG_0_NOMINAL,-0.025,-0.02,32.20824483245764,1.010521935741288,1.0006528696610775
LEG_0_NOMINAL,-0.025,-0.0175,32.207043580471215,1.0091770823832436,1.0003364734354658
LEG_0_NOMINAL,-0.025,-0.015,32.205839814355876,1.0078408966976482,1.0000218570839292
LEG_0_NOMINAL,-0.025,-0.0125,32.204638097987036,1.0065128759880575,0.9997090019134184
LEG_0_NOMINAL,-0.025,-0.01,32.2034330558551,1.005193418552114,0.9993978902750362
LEG_0_NOMINAL,-0.025,-0.0075,32.20223193080319,1.0038817726982328,0.9990885017089413
LEG_0_NOMINAL,-0.025,-0.005,32.20103031003661,1.0025786655612576,0.9987809091212816
LEG_0_NOMINAL,-0.025,-0.0025,32.199828568318004,1.0012839976118535,0.9984750993096522
LEG_0_NOMINAL,-0.025,0.0,32.19862668748199,1.0002191913123064,0.9981710874945701
LEG_0_NOMINAL,-0.025,0.0025,32.19744568439194,1.0002191913123064,0.9978716772367711
LEG_0_NOMINAL,-0.025,0.005,32.196246666946706,1.0002191913123064,0.997571363493833
LEG_0_NOMINAL,-0.025,0.0075,32.19504735284722,1.0002191913123064,0.9972728849412289
LEG_0_NOMINAL,-0.025,0.01,32.193847960803026,1.0002704032668157,0.9969762583504878
LEG_0_NOMINAL,-0.025,0.0125,32.1926508867885,1.0003343825627784,0.9966814786533067
LEG_0_NOMINAL,-0.025,0.015,32.19145086762853,1.0003967808298175,0.9963885756069826
LEG_0_NOMINAL,-0.025,0.0175,32.190251653537345,1.0004579224561794,0.9960975797178702
LEG_0_NOMINAL,-0.025,0.02,32.1890602669223,1.0005183953159156,0.9958085732443429
LEG_0_NOMINAL,-0.025,0.0225,32.18786109516968,1.0005768252197094,0.9955215173554919
LEG_0_NOMINAL,-0.025,0.025,32.186659327470245,1.0006338599693343,0.9952361063417824
LEG_0_NOMINAL,-0.025,0.0275,32.18546174187845,1.0006899658437316,0.9949525938818744
LEG_0_NOMINAL,-0.025,0.03,32.18427210524816,1.0007454122563846,0.9946711067609105
LEG_0_NOMINAL,-0.0225,-0.03,32.21464143253698,1.0159773057335362,1.0021219570184754
LEG_0_NOMINAL,-0.0225,-0.0275,32.21344662798548,1.0146011551181835,1.0017991148050842
LEG_0_NOMINAL,-0.0225,-0.025,32.21223789102791,1.0132330897182888,1.0014776968095491
LEG_0_NOMINAL,-0.0225,-0.0225,32.211034209457324,1.011873213547599,1.001158099901348
LEG_0_NOMINAL,-0.0225,-0.02,32.20981494618474,1.010521935741288,1.000840008919249
LEG_0_NOMINAL,-0.0225,-0.0175,32.20861375275726,1.0091770823832436,1.0005236126936374
LEG_0_NOMINAL,-0.0225,-0.015,32.2074100453278,1.0078408966976482,1.000208996342101
LEG_0_NOMINAL,-0.0225,-0.0125,32.20620838754928,1.0065128759880575,0.99989614117159
LEG_0_NOMINAL,-0.0225,-0.01,32.205003404174214,1.005193418552114,0.9995850295332078
LEG_0_NOMINAL,-0.0225,-0.0075,32.20380233769255,1.0038817726982328,0.999275640967113
LEG_0_NOMINAL,-0.0225,-0.005,32.20260077552476,1.0025786655612576,0.9989680483794532
LEG_0_NOMINAL,-0.0225,-0.0025,32.20139909241522,1.0012839976118535,0.9986622385678239
LEG_0_NOMINAL,-0.0225,0.0,32.20019727019944,1.0001985080962292,0.9983582267527417
LEG_0_NOMINAL,-0.0225,0.0025,32.199016324715586,1.0001985080962292,0.9980588164949427
LEG_0_NOMINAL,-0.0225,0.005,32.19781736575957,1.0001985080962292,0.9977585027520046
LEG_0_NOMINAL,-0.0225,0.0075,32.19661811016813,1.0002053281719585,0.9974600241994005
LEG_0_NOMINAL,-0.0225,0.01,32.195418776640146,1.0002704032668157,0.9971633976086596
LEG_0_NOMINAL,-0.0225,0.0125,32.194221761033084,1.0003343825627784,0.9968686179114784
LEG_0_NOMINAL,-0.0225,0.015,32.19302180042864,1.0003967808298175,0.9965757148651542
LEG_0_NOMINAL,-0.0225,0.0175,32.19182264485805,1.0004579224561794,0.9962847189760418
LEG_0_NOMINAL,-0.0225,0.02,32.19063131638595,1.0005183953159156,0.9959957125025146
LEG_0_NOMINAL,-0.0225,0.0225,32.18943220316055,1.0005768252197094,0.9957086566136635
LEG_0_NOMINAL,-0.0225,0.025,32.188230494119416,1.0006338599693343,0.9954232455999542
LEG_0_NOMINAL,-0.0225,0.0275,32.187032966986145,1.0006899658437316,0.9951397331400462
LEG_0_NOMINAL,-0.0225,0.03,32.185843388430676,1.0007454122563846,0.9948582460190823
LEG_0_NOMINAL,-0.02,-0.03,32.216203181918296,1.0159773057335362,1.0023080972686713
LEG_0_NOMINAL,-0.02,-0.0275,32.21500843528965,1.0146011551181835,1.00198525505528
LEG_0_NOMINAL,-0.02,-0.025,32.21379975693474,1.0132330897182888,1.0016638370597448
LEG_0_NOMINAL,-0.02,-0.0225,32.21259613372607,1.011873213547599,1.0013442401515438
LEG_0_NOMINAL,-0.02,-0.02,32.211376929575366,1.010521935741288,1.001026149169445
LEG_0_NOMINAL,-0.02,-0.0175,32.210175794397934,1.0091770823832436,1.0007097529438331
LEG_0_NOMINAL,-0.02,-0.015,32.20897214534478,1.0078408966976482,1.0003951365922967
LEG_0_NOMINAL,-0.02,-0.0125,32.20777054584754,1.0065128759880575,1.0000822814217858
LEG_0_NOMINAL,-0.02,-0.01,32.20656562091939,1.005193418552114,0.9997711697834036
LEG_0_NOMINAL,-0.02,-0.0075,32.20536461269902,1.0038817726982328,0.9994617812173087
LEG_0_NOMINAL,-0.02,-0.005,32.20416310882092,1.0025786655612576,0.9991541886296489
LEG_0_NOMINAL,-0.02,-0.0025,32.20296148401129,1.0012839976118535,0.9988483788180196
LEG_0_NOMINAL,-0.02,0.0,32.2017597201065,1.000177847576167,0.9985443670029375
LEG_0_NOMINAL,-0.02,0.0025,32.20057883192497,1.000177847576167,0.9982449567451385
LEG_0_NOMINAL,-0.02,0.005,32.19937993114965,1.000177847576167,0.9979446430022003
LEG_0_NOMINAL,-0.02,0.0075,32.198180733757624,1.0002053281719585,0.9976461644495962
LEG_0_NOMINAL,-0.02,0.01,32.19698145843717,1.0002704032668157,0.9973495378588552
LEG_0_NOMINAL,-0.02,0.0125,32.19578450092947,1.0003343825627784,0.9970547581616741
LEG_0_NOMINAL,-0.02,0.015,32.194584598571666,1.0003967808298175,0.9967618551153501
LEG_0_NOMINAL,-0.02,0.0175,32.19338550121298,1.0004579224561794,0.9964708592262375
LEG_0_NOMINAL,-0.02,0.02,32.19219423057711,1.0005183953159156,0.9961818527527103
LEG_0_NOMINAL,-0.02,0.0225,32.1909951755702,1.0005768252197094,0.9958947968638593
LEG_0_NOMINAL,-0.02,0.025,32.189793524877935,1.0006338599693343,0.9956093858501498
LEG_0_NOMINAL,-0.02,0.0275,32.18859605589481,1.0006899658437316,0.9953258733902419
LEG_0_NOMINAL,-0.02,0.03,32.18740653510781,1.0007454122563846,0.9950443862692779
LEG_0_NOMINAL,-0.0175,-0.03,32.21775374946625,1.0159773057335362,1.002493296624873
LEG_0_NOMINAL,-0.0175,-0.0275,32.21655906034018,1.0146011551181835,1.0021704544114816
LEG_0_NOMINAL,-0.0175,-0.025,32.21535044016272,1.0132330897182888,1.0018490364159467
LEG_0_NOMINAL,-0.0175,-0.0225,32.21414687489253,1.011873213547599,1.0015294395077454
LEG_0_NOMINAL,-0.0175,-0.02,32.21292772943472,1.010521935741288,1.0012113485256466
LEG_0_NOMINAL,-0.0175,-0.0175,32.21172665208468,1.0091770823832436,1.000894952300035
LEG_0_NOMINAL,-0.0175,-0.015,32.21052306098428,1.0078408966976482,1.0005803359484984
LEG_0_NOMINAL,-0.0175,-0.0125,32.209321519345416,1.0065128759880575,1.0002674807779874
LEG_0_NOMINAL,-0.0175,-0.01,32.208116652440125,1.005193418552114,0.9999563691396054
