model,family,policy,selected_by,candidate_count,valid_count,feasible_count,selected_flex,selected_extend,share_shift,E2,E3,E3_improvement_pct,E0_improvement_pct,max_component_worsening_pct,knee_speed_ratio,knee_accel_ratio,hip_peak_ratio,knee_peak_ratio
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_WIDE,unrestricted,E2,289,289,289,-0.12,0.105,0.0,0.9967000196638984,0.9829557305053672,1.704426949463278,0.9095119238972881,-0.3299980336101571,1.2186947887589745,1.6295249491585384,1.0000000000001552,1.0000039545618817
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_WIDE,unrestricted,E3,289,289,289,-0.12,0.12,0.0,0.9967000196638984,0.9818514687311912,1.8148531268808776,0.9567969540346871,-0.3299980336101571,1.2646204346137,1.795756998283431,1.0000000000001552,1.0000044910900348
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_WIDE,common_limits,E2,289,289,289,-0.12,0.105,0.0,0.9967000196638984,0.9829557305053672,1.704426949463278,0.9095119238972881,-0.3299980336101571,1.2186947887589745,1.6295249491585384,1.0000000000001552,1.0000039545618817
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_WIDE,common_limits,E3,289,289,289,-0.12,0.12,0.0,0.9967000196638984,0.9818514687311912,1.8148531268808776,0.9567969540346871,-0.3299980336101571,1.2646204346137,1.795756998283431,1.0000000000001552,1.0000044910900348
MYOLEG_NATIVE_P0,BETA_WIDE,unrestricted,E2,289,289,289,0.12,-0.12,0.0,0.9959795584708024,0.9773033718986432,2.2696628101356753,0.8963042961302661,-0.40204415291975604,1.2402817897996243,1.6306330818032677,0.9999642236234707,0.9999989749320216
MYOLEG_NATIVE_P0,BETA_WIDE,unrestricted,E3,289,289,289,0.12,-0.12,0.0,0.9959795584708024,0.9773033718986432,2.2696628101356753,0.8963042961302661,-0.40204415291975604,1.2402817897996243,1.6306330818032677,0.9999642236234707,0.9999989749320216
MYOLEG_NATIVE_P0,BETA_WIDE,common_limits,E2,289,289,289,0.12,-0.12,0.0,0.9959795584708024,0.9773033718986432,2.2696628101356753,0.8963042961302661,-0.40204415291975604,1.2402817897996243,1.6306330818032677,0.9999642236234707,0.9999989749320216
MYOLEG_NATIVE_P0,BETA_WIDE,common_limits,E3,289,289,289,0.12,-0.12,0.0,0.9959795584708024,0.9773033718986432,2.2696628101356753,0.8963042961302661,-0.40204415291975604,1.2402817897996243,1.6306330818032677,0.9999642236234707,0.9999989749320216
LEG_0_NOMINAL,BETA_TIMING,unrestricted,E2,405,405,405,0.0,0.0,0.1,0.9987919137653803,0.9978737675986832,0.21262324013168188,0.4532429075961515,-0.12080862346196541,1.2999999999999998,1.6900000000000002,0.998246332455227,1.0000808630428408
LEG_0_NOMINAL,BETA_TIMING,unrestricted,E3,405,405,405,-0.12,0.12,0.1,0.999491343567762,0.9758304217578356,2.416957824216437,0.9052828187596157,-0.050865643223796386,1.6440065649978282,3.0348293270981777,0.9983094985355522,1.0000995562152295
