stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,rt_stale,operation_state,rt_worker_pid,rt_worker_start_time_ns,rt_worker_alive,rt_worker_exitcode,rt_worker_state,rt_heartbeat_age_ms,rt_worker_hung,rt_last_error_code,rt_last_error,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_pid,wrench_worker_start_time_ns,wrench_worker_alive,wrench_worker_exitcode,wrench_worker_state,wrench_heartbeat_age_ms,wrench_worker_hung,last_error_code,last_error
rt_startup,3119251414926700,10.0389,0,,,False,True,,17880,3119250997530500,True,,connecting,416.8175,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251424752900,9.8262,0,,,False,True,,17880,3119250997530500,True,,connecting,426.6437,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251434882000,10.1291,0,,,False,True,,17880,3119250997530500,True,,connecting,436.7728,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251444843600,9.9616,0,,,False,True,,17880,3119250997530500,True,,connecting,446.7344,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251454710500,9.8669,0,,,False,True,,17880,3119250997530500,True,,connecting,456.6013,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251464678600,9.9681,0,,,False,True,,17880,3119250997530500,True,,connecting,466.5694,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251474845400,,0,,,False,True,,17880,3119250997530500,True,,connecting,476.7362,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251485787400,10.942,0,,,False,True,,17880,3119250997530500,True,,connecting,487.6782,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251495677100,9.8897,0,,,False,True,,17880,3119250997530500,True,,connecting,497.5679,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251505555600,9.8785,0,,,False,True,,17880,3119250997530500,True,,connecting,507.4464,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251515583100,10.0275,0,,,False,True,,17880,3119250997530500,True,,ready,5.0432,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251525521900,9.9388,0,,,False,True,,17880,3119250997530500,True,,ready,14.982,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251535565600,10.0437,0,,,False,True,,17880,3119250997530500,True,,ready,25.0257,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251545549000,9.9834,0,,,False,True,,17880,3119250997530500,True,,ready,35.0091,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251555419600,9.8706,0,,,False,True,,17880,3119250997530500,True,,streaming,16.4405,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251565482900,10.0633,0,,,False,True,,17880,3119250997530500,True,,streaming,26.5038,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251575570100,,0,,,False,True,,17880,3119250997530500,True,,streaming,4.5679,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251586339200,10.7691,0,,,False,True,,17880,3119250997530500,True,,streaming,15.337,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251596299800,9.9606,0,,,False,True,,17880,3119250997530500,True,,streaming,9.2803,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251606260200,9.9604,0,,,False,True,,17880,3119250997530500,True,,streaming,19.2407,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251616263600,10.0034,0,,,False,True,,17880,3119250997530500,True,,streaming,29.2441,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251626244500,9.9809,0,,,False,True,,17880,3119250997530500,True,,streaming,39.225,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251636335500,10.091,0,,,False,True,,17880,3119250997530500,True,,streaming,9.2729,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251646295000,9.9595,0,,,False,True,,17880,3119250997530500,True,,streaming,19.2324,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251656151500,9.8565,0,,,False,True,,17880,3119250997530500,True,,streaming,29.0889,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251666261300,10.1098,14,3119251595112900,71.1484,False,True,IDLE,17880,3119250997530500,True,,streaming,7.2611,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251676254100,,14,3119251595112900,81.1412,False,True,IDLE,17880,3119250997530500,True,,streaming,17.2539,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251687271900,11.0178,14,3119251595112900,92.159,False,True,IDLE,17880,3119250997530500,True,,streaming,4.1184,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251697245800,9.9739,14,3119251595112900,102.1329,False,True,IDLE,17880,3119250997530500,True,,streaming,14.0923,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251706980100,9.7343,14,3119251595112900,111.8672,False,True,IDLE,17880,3119250997530500,True,,streaming,23.8266,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251717185400,10.2053,14,3119251595112900,122.0725,False,True,IDLE,17880,3119250997530500,True,,streaming,10.1352,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251726954700,9.7693,14,3119251595112900,131.8418,False,True,IDLE,17880,3119250997530500,True,,streaming,19.9045,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251737136500,10.1818,24,3119251674995800,62.1407,False,True,IDLE,17880,3119250997530500,True,,streaming,14.2022,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251746935400,9.7989,24,3119251674995800,71.9396,False,True,IDLE,17880,3119250997530500,True,,streaming,7.8636,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251756861000,9.9256,31,3119251731423800,25.4372,True,False,IDLE,17880,3119250997530500,True,,streaming,9.7909,False,,,0,,False,True,,,False,,not_started,,False,,
rt_startup,3119251766952500,10.0915,31,3119251731423800,35.5287,True,False,IDLE,17880,3119250997530500,True,,streaming,19.8824,False,,,0,,False,True,,,False,,not_started,,False,,
overlap,3119251782462900,,31,3119251731423800,51.0391,False,True,IDLE,17880,3119250997530500,True,,streaming,19.2213,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251792907800,10.4449,36,3119251772077200,20.8306,True,False,IDLE,17880,3119250997530500,True,,streaming,29.6662,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251802829500,9.9217,36,3119251772077200,30.7523,True,False,IDLE,17880,3119250997530500,True,,streaming,39.5879,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251812806100,9.9766,39,3119251794970300,17.8358,True,False,IDLE,17880,3119250997530500,True,,streaming,9.7257,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251822957300,10.1512,39,3119251794970300,27.987,True,False,IDLE,17880,3119250997530500,True,,streaming,3.9083,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251832783100,9.8258,39,3119251794970300,37.8128,True,False,IDLE,17880,3119250997530500,True,,streaming,13.7341,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251842738200,9.9551,39,3119251794970300,47.7679,True,False,IDLE,17880,3119250997530500,True,,streaming,23.6892,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251852721000,9.9828,39,3119251794970300,57.7507,False,True,IDLE,17880,3119250997530500,True,,streaming,33.672,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251862701600,9.9806,39,3119251794970300,67.7313,False,True,IDLE,17880,3119250997530500,True,,streaming,43.6526,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251872900000,10.1984,39,3119251794970300,77.9297,False,True,IDLE,17880,3119250997530500,True,,streaming,53.851,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251882638600,9.7386,39,3119251794970300,87.6683,False,True,IDLE,17880,3119250997530500,True,,streaming,63.5896,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251892643100,10.0045,39,3119251794970300,97.6728,False,True,IDLE,17880,3119250997530500,True,,streaming,17.6609,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251902574800,9.9317,39,3119251794970300,107.6045,False,True,IDLE,17880,3119250997530500,True,,streaming,3.648,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251912569100,9.9943,39,3119251794970300,117.5988,False,True,IDLE,17880,3119250997530500,True,,streaming,13.6423,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251922538300,9.9692,39,3119251794970300,127.568,False,True,IDLE,17880,3119250997530500,True,,streaming,23.6115,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251933492900,10.9546,39,3119251794970300,138.5226,False,True,IDLE,17880,3119250997530500,True,,streaming,10.5501,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251943465800,9.9729,39,3119251794970300,148.4955,False,True,IDLE,17880,3119250997530500,True,,streaming,20.523,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251953437200,9.9714,39,3119251794970300,158.4669,False,True,IDLE,17880,3119250997530500,True,,streaming,30.4944,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251963425200,9.988,39,3119251794970300,168.4549,False,True,IDLE,17880,3119250997530500,True,,streaming,40.4824,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251973420800,9.9956,39,3119251794970300,178.4505,False,True,IDLE,17880,3119250997530500,True,,streaming,50.478,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251983359000,9.9382,39,3119251794970300,188.3887,False,True,IDLE,17880,3119250997530500,True,,streaming,12.2707,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119251993397500,10.0385,39,3119251794970300,198.4272,False,True,IDLE,17880,3119250997530500,True,,streaming,22.3092,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252003298700,9.9012,39,3119251794970300,208.3284,False,True,IDLE,17880,3119250997530500,True,,streaming,32.2104,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252013281000,9.9823,39,3119251794970300,218.3107,False,True,IDLE,17880,3119250997530500,True,,streaming,10.3914,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252023255300,9.9743,39,3119251794970300,228.285,False,True,IDLE,17880,3119250997530500,True,,streaming,20.3657,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252033214800,9.9595,39,3119251794970300,238.2445,False,True,IDLE,17880,3119250997530500,True,,streaming,30.3252,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252043202900,9.9881,39,3119251794970300,248.2326,False,True,IDLE,17880,3119250997530500,True,,streaming,40.3133,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252053159800,9.9569,39,3119251794970300,258.1895,False,True,IDLE,17880,3119250997530500,True,,streaming,50.2702,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252063138000,9.9782,39,3119251794970300,268.1677,False,True,IDLE,17880,3119250997530500,True,,streaming,60.2484,False,,,0,,False,True,21816,,True,,not_started,,False,,
overlap,3119252073133000,9.995,39,3119251794970300,278.1627,False,True,IDLE,17880,3119250997530500,True,,streaming,6.2424,False,,,0,,False,True,21816,3119252072125600,True,,connecting,0.2806,False,,
overlap,3119252083085800,9.9528,39,3119251794970300,288.1155,False,True,IDLE,17880,3119250997530500,True,,streaming,16.1952,False,,,0,,False,True,21816,3119252072125600,True,,connecting,10.2334,False,,
overlap,3119252093080100,9.9943,39,3119251794970300,298.1098,False,True,IDLE,17880,3119250997530500,True,,streaming,26.1895,False,,,0,,False,True,21816,3119252072125600,True,,connecting,20.2277,False,,
