case,sample_index,main_loop_timestamp_ns,supervisor_loop_period_ms,rt_sequence,source_or_receive_timestamp_ns,publish_timestamp_ns,supervisor_receive_timestamp_ns,observed_source_period_per_sequence_ms,observed_publish_interval_per_sequence_ms,rt_age_ms,rt_ipc_age_ms,rt_publish_to_receive_age_ms,new_snapshot_received,publish_count,publish_success_count,receive_count,overwrite_count,publish_drop_count,rt_valid,rt_stale,operation_state,rt_worker_state,rt_worker_alive,rt_worker_hung,rt_heartbeat_age_ms,rt_last_error_code,rt_last_error,wrench_sequence,wrench_last_success_ns,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_state,wrench_worker_alive,wrench_worker_hung,wrench_heartbeat_age_ms,wrench_last_error_code,wrench_last_error
rtonly,33,3129182716838400,9.1728,226,3129182713367100,3129182713381800,3129182716877800,8.0588,8.0529,3.5936,3.5107,3.496,True,226,226,35,191,0,True,False,IDLE,streaming,True,False,91.5353,,,0,,,False,True,not_tested,False,False,,,
rtonly,34,3129182727800900,10.9625,227,3129182721374100,3129182721397200,3129182727846100,8.007,8.0154,6.5573,6.472,6.4489,True,227,227,36,191,0,True,False,IDLE,streaming,True,False,102.506,,,0,,,False,True,not_tested,False,False,,,
rtonly,35,3129182737607700,9.8068,228,3129182729280300,3129182729294600,3129182737677500,7.9062,7.8974,8.711,8.3972,8.3829,True,228,228,37,191,0,True,False,IDLE,streaming,True,False,8.6529,,,0,,,False,True,not_tested,False,False,,,
rtonly,36,3129182747736200,10.1285,230,3129182745412200,3129182745424200,3129182747775100,8.06595,8.0648,2.4463,2.3629,2.3509,True,230,230,38,192,0,True,False,IDLE,streaming,True,False,18.5201,,,0,,,False,True,not_tested,False,False,,,
rtonly,37,3129182757536200,9.8,231,3129182753420300,3129182753434400,3129182757576300,8.0081,8.0102,4.2388,4.156,4.1419,True,231,231,39,192,0,True,False,IDLE,streaming,True,False,28.3207,,,0,,,False,True,not_tested,False,False,,,
rtonly,38,3129182767689600,10.1534,232,3129182761262100,3129182761274200,3129182767728100,7.8418,7.8398,6.5496,6.466,6.4539,True,232,232,40,192,0,True,False,IDLE,streaming,True,False,38.4733,,,0,,,False,True,not_tested,False,False,,,
rtonly,39,3129182777509100,9.8195,234,3129182777283200,3129182777297200,3129182777542100,8.01055,8.0115,0.3352,0.2589,0.2449,True,234,234,41,193,0,True,False,IDLE,streaming,True,False,48.28,,,0,,,False,True,not_tested,False,False,,,
rtonly,40,3129182787473000,9.9639,235,3129182785438900,3129182785452900,3129182787531100,8.1557,8.1557,2.2142,2.0922,2.0782,True,235,235,42,193,0,True,False,IDLE,streaming,True,False,58.3147,,,0,,,False,True,not_tested,False,False,,,
rtonly,41,3129182797610000,10.137,236,3129182793293100,3129182793306800,3129182797647300,7.8542,7.8539,4.4391,4.3542,4.3405,True,236,236,43,193,0,True,False,IDLE,streaming,True,False,68.3938,,,0,,,False,True,not_tested,False,False,,,
rtonly,42,3129182807388500,9.7785,237,3129182801444700,3129182801459400,3129182807467800,8.1516,8.1526,6.1367,6.0231,6.0084,True,237,237,44,193,0,True,False,IDLE,streaming,True,False,78.243,,,0,,,False,True,not_tested,False,False,,,
rtonly,43,3129182817367800,9.9793,238,3129182809293500,3129182809306900,3129182817409900,7.8488,7.8475,8.2029,8.1164,8.103,True,238,238,45,193,0,True,False,IDLE,streaming,True,False,88.158,,,0,,,False,True,not_tested,False,False,,,
rtonly,44,3129182827532000,10.1642,240,3129182825302900,3129182825319300,3129182827571900,8.0047,8.0062,2.3526,2.269,2.2526,True,240,240,46,194,0,True,False,IDLE,streaming,True,False,98.3171,,,0,,,False,True,not_tested,False,False,,,
rtonly,45,3129182837336600,9.8046,241,3129182833442100,3129182833456300,3129182837437800,8.1392,8.137,4.1024,3.9957,3.9815,True,241,241,47,194,0,True,False,IDLE,streaming,True,False,108.2061,,,0,,,False,True,not_tested,False,False,,,
rtonly,46,3129182847357400,10.0208,242,3129182841444900,3129182841456300,3129182847390100,8.0028,8.0,6.0792,5.9452,5.9338,True,242,242,48,194,0,True,False,IDLE,streaming,True,False,14.0227,,,0,,,False,True,not_tested,False,False,,,
rtonly,47,3129182857286000,9.9286,243,3129182849260400,3129182849269600,3129182857325300,7.8155,7.8133,8.1544,8.0649,8.0557,True,243,243,49,194,0,True,False,IDLE,streaming,True,False,23.9134,,,0,,,False,True,not_tested,False,False,,,
rtonly,48,3129182867324700,10.0387,245,3129182865344200,3129182865357800,3129182867358200,8.0419,8.0441,2.0936,2.014,2.0004,True,245,245,50,195,0,True,False,IDLE,streaming,True,False,33.9364,,,0,,,False,True,not_tested,False,False,,,
rtonly,49,3129182877396700,10.072,246,3129182873300800,3129182873317100,3129182877434900,7.9566,7.9593,4.2178,4.1341,4.1178,True,246,246,51,195,0,True,False,IDLE,streaming,True,False,44.0172,,,0,,,False,True,not_tested,False,False,,,
rtonly,50,3129182887273300,9.8766,247,3129182881438900,3129182881452700,3129182887316000,8.1381,8.1356,6.0015,5.8771,5.8633,True,247,247,52,195,0,True,False,IDLE,streaming,True,False,53.939,,,0,,,False,True,not_tested,False,False,,,
rtonly,51,3129182897326400,10.0531,248,3129182889259100,3129182889273600,3129182897369700,7.8202,7.8209,8.1985,8.1106,8.0961,True,248,248,53,195,0,True,False,IDLE,streaming,True,False,63.9562,,,0,,,False,True,not_tested,False,False,,,
rtonly,52,3129182907136500,9.8101,250,3129182905338600,3129182905361500,3129182907190600,8.03975,8.04395,1.9399,1.852,1.8291,True,250,250,54,196,0,True,False,IDLE,streaming,True,False,73.7771,,,0,,,False,True,not_tested,False,False,,,
rtonly,53,3129182917292900,10.1564,251,3129182913452800,3129182913468300,3129182917335000,8.1142,8.1068,3.9726,3.8822,3.8667,True,251,251,55,196,0,True,False,IDLE,streaming,True,False,83.924,,,0,,,False,True,not_tested,False,False,,,
rtonly,54,3129182927249200,9.9563,252,3129182921447900,3129182921474200,3129182927296500,7.9951,8.0059,5.9501,5.8486,5.8223,True,252,252,56,196,0,True,False,IDLE,streaming,True,False,93.8966,,,0,,,False,True,not_tested,False,False,,,
rtonly,55,3129182937199300,9.9501,253,3129182929440200,3129182929457100,3129182937252200,7.9923,7.9829,7.9682,7.812,7.7951,True,253,253,57,196,0,True,False,IDLE,streaming,True,False,103.907,,,0,,,False,True,not_tested,False,False,,,
rtonly,56,3129182947220500,10.0212,255,3129182945588200,3129182945603200,3129182947268400,8.074,8.07305,1.8632,1.6802,1.6652,True,255,255,58,197,0,True,False,IDLE,streaming,True,False,9.7757,,,0,,,False,True,not_tested,False,False,,,
rtonly,57,3129182957010000,9.7895,256,3129182953375700,3129182953391800,3129182957058800,7.7875,7.7886,3.7952,3.6831,3.667,True,256,256,59,197,0,True,False,IDLE,streaming,True,False,19.4952,,,0,,,False,True,not_tested,False,False,,,
