main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_s,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_alive,wrench_query_in_flight,wrench_in_flight_age_ms,last_wrench_error,last_wrench_error_code
3116311947823500,32.0127,113,3116311.939805,8.085200097411871,True,IDLE,18,14.7867,True,False,True,False,,,
3116311947948800,0.1253,113,3116311.939805,8.17199982702732,True,IDLE,18,14.912,True,False,True,False,,,
3116311963945700,15.9969,115,3116311.9557632,8.239600341767073,True,IDLE,18,30.9089,True,False,True,False,,,
3116311979822800,15.8771,117,3116311.971793,8.088499773293734,True,IDLE,18,46.786,True,False,True,False,,,
3116311979936100,0.1133,117,3116311.971793,8.17029969766736,True,IDLE,18,46.8993,True,False,True,False,,,
3116312003766700,23.8306,120,3116311.9959348,8.045100141316652,True,IDLE,19,22.5049,True,False,True,False,,,
3116312011856800,8.0901,121,3116312.0044257,7.502200081944466,True,IDLE,19,30.595,True,False,True,False,,,
3116312037933100,26.0763,124,3116312.0279978,10.024699848145247,True,IDLE,20,0.4487,True,False,True,False,,,
3116312038106700,0.1736,124,3116312.0279978,10.171900037676096,True,IDLE,20,0.6223,True,False,True,False,,,
3116312051916300,13.8096,126,3116312.0440027,7.99109973013401,True,IDLE,20,14.4319,True,False,True,False,,,
3116312067857200,15.9409,128,3116312.0600992,7.830100134015083,True,IDLE,20,30.3728,True,False,True,False,,,
3116312075876300,8.0191,129,3116312.0682389,7.709600031375885,True,IDLE,20,38.3919,True,False,True,False,,,
3116312083855500,7.9792,130,3116312.0762571,7.67190009355545,True,IDLE,20,46.3711,True,False,True,False,,,
3116312099859700,16.0042,132,3116312.0920085,7.924600038677454,True,IDLE,21,14.4945,True,False,True,False,,,
3116312100003500,0.1438,132,3116312.0920085,8.030400145798922,True,IDLE,21,14.6383,True,False,True,False,,,
3116312123829400,23.8259,135,3116312.1159684,7.933799643069506,True,IDLE,21,38.4642,True,False,True,False,,,
3116312123980300,0.1509,135,3116312.1159684,8.048799820244312,True,IDLE,21,38.6151,True,False,True,False,,,
3116312164449100,40.4688,140,3116312.1559347,8.595800027251244,True,IDLE,21,79.0839,True,False,True,False,,,
3116312164600700,0.1516,140,3116312.1559347,8.714500349014997,True,IDLE,21,79.2355,True,False,True,False,,,
3116312179670100,15.0694,142,3116312.1717591,8.025699760764837,True,IDLE,22,12.0182,True,False,True,False,,,
3116312187689700,8.0196,143,3116312.1813666,6.3958000391721725,True,IDLE,23,6.693,True,False,True,False,,,
3116312203843600,16.1539,145,3116312.195702,8.29359982162714,True,IDLE,23,22.8469,True,False,True,False,,,
3116312211772400,7.9288,146,3116312.2043495,7.473799865692854,True,IDLE,23,30.7757,True,False,True,False,,,
3116312227850100,16.0777,148,3116312.2201259,7.7728996984660625,True,IDLE,23,46.8534,True,False,True,False,,,
3116312227942900,0.0928,148,3116312.2201259,7.837099954485893,True,IDLE,23,46.9462,True,False,True,False,,,
3116312243871400,15.9285,150,3116312.2357957,8.127400185912848,True,IDLE,24,14.7906,True,False,True,False,,,
3116312259689600,15.8182,152,3116312.2519399,7.816599681973457,True,IDLE,24,30.6088,True,False,True,False,,,
3116312259817600,0.128,152,3116312.2519399,7.9103996977210045,True,IDLE,24,30.7368,True,False,True,False,,,
3116312275835600,16.018,154,3116312.2679478,7.9610999673604965,True,IDLE,24,46.7548,True,False,True,False,,,
3116312299828500,23.9929,157,3116312.2919395,7.9783000983297825,True,IDLE,25,14.5171,True,False,True,False,,,
3116312323801900,23.9734,160,3116312.3159408,7.957200054079294,True,IDLE,25,38.4905,True,False,True,False,,,
3116312323990500,0.1886,160,3116312.3159408,8.102199994027615,True,IDLE,25,38.6791,True,False,True,False,,,
3116312339759200,15.7687,162,3116312.3319257,7.931599859148264,True,IDLE,25,54.4478,True,False,True,False,,,
3116312355754400,15.9952,164,3116312.3479704,7.879499811679125,True,IDLE,26,14.2164,True,False,True,False,,,
3116312355944000,0.1896,164,3116312.3479704,8.024599868804216,True,IDLE,26,14.406,True,False,True,False,,,
3116312395784500,39.8405,169,3116312.3879814,7.907100021839142,True,IDLE,27,14.3525,True,False,True,False,,,
3116312395982600,0.1981,169,3116312.3879814,8.05089995265007,True,IDLE,27,14.5506,True,False,True,False,,,
3116312411900700,15.9181,171,3116312.404338,7.659099996089935,True,IDLE,27,30.4687,True,False,True,False,,,
3116312429664300,17.7636,173,3116312.4205247,9.22109978273511,True,IDLE,28,0.3817,True,False,True,False,,,
3116312429827000,0.1627,173,3116312.4205247,9.353499859571457,True,IDLE,28,0.5444,True,False,True,False,,,
3116312443914700,14.0877,175,3116312.4358568,8.154099807143211,True,IDLE,28,14.6321,True,False,True,False,,,
3116312459902200,15.9875,177,3116312.4520736,7.9344999976456165,True,IDLE,28,30.6196,True,False,True,False,,,
3116312460098900,0.1967,177,3116312.4520736,8.074699901044369,True,IDLE,28,30.8163,True,False,True,False,,,
3116312499796100,39.6972,182,3116312.4920831,7.816900033503771,True,IDLE,29,14.2658,True,False,True,False,,,
3116312499993600,0.1975,182,3116312.4920831,7.960000075399876,True,IDLE,29,14.4633,True,False,True,False,,,
3116312523726100,23.7325,185,3116312.5159537,7.879800163209438,True,IDLE,29,38.1958,True,False,True,False,,,
3116312523942400,0.2163,185,3116312.5159537,8.041299879550934,True,IDLE,29,38.4121,True,False,True,False,,,
3116312539807900,15.8655,187,3116312.5320685,7.836000062525272,True,IDLE,29,54.2776,True,False,True,False,,,
3116312555715300,15.9074,189,3116312.5480706,7.790300063788891,True,IDLE,30,14.2583,True,False,True,False,,,
3116312556014900,0.2996,189,3116312.5480706,8.030800148844719,True,IDLE,30,14.5579,True,False,True,False,,,
3116312595761700,39.7468,194,3116312.5880179,7.8385998494923115,True,IDLE,31,14.4633,True,False,True,False,,,
3116312595951900,0.1902,194,3116312.5880179,7.985400035977364,True,IDLE,31,14.6535,True,False,True,False,,,
3116312611888200,15.9363,196,3116312.6039797,7.976900320500135,True,IDLE,31,30.5898,True,False,True,False,,,
