stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,worker_pid,worker_start_time_ns,worker_alive,worker_exitcode,worker_state,heartbeat_age_ms,worker_hung,last_error_code,last_error,graceful_disconnect_confirmed
overlap,3118868776236000,40.1754,324,3118868768113500,8.1225,True,IDLE,11,3.079,True,False,7804,3118867145639300,True,,idle,3.0533,False,,,
overlap,3118868808204900,31.9689,328,3118868799999600,8.2053,True,IDLE,11,35.0479,True,False,7804,3118867145639300,True,,idle,35.0222,False,,,
overlap,3118868839965200,31.7603,332,3118868832046600,7.9186,True,IDLE,12,17.5319,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868912014600,72.0494,341,3118868904152200,7.8624,True,IDLE,13,38.7143,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118868983994100,71.9795,350,3118868976301000,7.6931,True,IDLE,15,10.6921,True,False,7804,3118867145639300,True,,idle,10.6636,False,,,
overlap,3118869016194800,32.2007,354,3118869008330700,7.8641,True,IDLE,15,42.8928,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869040332500,24.1377,357,3118869032086000,8.2465,True,IDLE,16,17.1825,True,False,7804,3118867145639300,True,,idle,17.1551,False,,,
overlap,3118869071986100,31.6536,361,3118869064465200,7.5209,True,IDLE,16,48.8361,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869104109000,32.1229,365,3118869096251000,7.858,True,IDLE,18,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869208095000,103.986,378,3118869200143400,7.9516,True,IDLE,19,34.7719,True,False,7804,3118867145639300,True,,idle,34.7528,False,,,
overlap,3118869239951600,31.8566,382,3118869232047500,7.9041,True,IDLE,20,17.3308,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869328205700,88.2541,393,3118869320012700,8.193,True,IDLE,22,5.3416,True,False,7804,3118867145639300,True,,idle,5.1605,False,,,
overlap,3118869360030900,31.8252,397,3118869352211400,7.8195,True,IDLE,22,37.1668,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869384123100,24.0922,400,3118869376085100,8.038,True,IDLE,23,11.1913,True,False,7804,3118867145639300,True,,idle,11.177,False,,,
overlap,3118869408029500,23.9064,403,3118869400206300,7.8232,True,IDLE,23,35.0977,True,False,7804,3118867145639300,True,,idle,35.0834,False,,,
overlap,3118869432048100,24.0186,406,3118869424106800,7.9413,True,IDLE,24,7.9949,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869512042500,79.9944,416,3118869504140900,7.9016,True,IDLE,26,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869592297700,80.2552,426,3118869584090600,8.2071,True,IDLE,27,18.8843,True,False,7804,3118867145639300,True,,idle,18.8665,False,,,
overlap,3118869624065200,31.7675,430,3118869616110900,7.9543,True,IDLE,28,1.527,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869720196700,96.1315,442,3118869712308500,7.8882,True,IDLE,29,47.0896,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869760066300,39.8696,447,3118869752151700,7.9146,True,IDLE,29,86.9592,True,False,7804,3118867145639300,True,,idle,37.875,False,,,
overlap,3118869791926300,31.86,451,3118869784136000,7.7903,True,IDLE,31,18.9644,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869832186300,40.26,456,3118869824085000,8.1013,True,IDLE,32,9.1862,True,False,7804,3118867145639300,True,,idle,9.1564,False,,,
overlap,3118869872029700,39.8434,461,3118869864498900,7.5308,True,IDLE,33,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869912065600,40.0359,466,3118869904313400,7.7522,True,IDLE,33,38.9183,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118869936209800,24.1442,469,3118869928438800,7.771,True,IDLE,34,13.2083,True,False,7804,3118867145639300,True,,idle,13.1792,False,,,
overlap,3118869967966800,31.757,473,3118869960183100,7.7837,True,IDLE,34,44.9653,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870000126600,32.1598,477,3118869992137900,7.9887,True,IDLE,35,27.4795,True,False,7804,3118867145639300,True,,idle,27.4498,False,,,
overlap,3118870031944200,31.8176,481,3118870023955200,7.989,True,IDLE,36,8.8958,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870104089200,72.145,490,3118870096245500,7.8437,True,IDLE,37,31.9222,True,False,7804,3118867145639300,True,,idle,31.8986,False,,,
overlap,3118870136002400,31.9132,494,3118870128003900,7.9985,True,IDLE,38,13.07,True,False,7804,3118867145639300,True,,idle,13.0549,False,,,
overlap,3118870160216700,24.2143,497,3118870152100200,8.1165,True,IDLE,38,37.2843,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870192075300,31.8586,501,3118870184288900,7.7864,True,IDLE,39,18.1505,True,False,7804,3118867145639300,True,,idle,18.1327,False,,,
overlap,3118870224008000,31.9327,505,3118870216137800,7.8702,True,IDLE,40,1.0016,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870312068800,88.0608,516,3118870304230400,7.8384,True,IDLE,41,39.1331,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870344303300,32.2345,520,3118870336234800,8.0685,True,IDLE,42,21.7816,True,False,7804,3118867145639300,True,,idle,21.7531,False,,,
overlap,3118870376095300,31.792,524,3118870368085100,8.0102,True,IDLE,43,3.4874,True,False,7804,3118867145639300,True,,idle,3.4645,False,,,
overlap,3118870424053700,47.9584,530,3118870416194200,7.8595,True,IDLE,44,0.6407,True,False,7804,3118867145639300,True,,idle,0.6164,False,,,
