case_id,bo_variant,budget,posterior_recommended_trajectory_id,posterior_recommended_J_mean,posterior_recommended_std,fitted_kernel,recommendation_is_primary_physical_decision,unqueried_truth_used
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.00000,0.970187526086,2.05803626246e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,1,asym_h+1.500_k-5.000_p+0.03000,0.964427129521,0.00245275080574,"0.00701**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-08)",False,False
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.963870934551,0.00106736550784,"0.00506**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1.96e-12)",False,False
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02500,0.963668502978,6.0325424198e-05,"0.00417**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=3.64e-12)",False,False
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p-0.01500,0.963676992095,0.000108346571648,"0.00374**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.02750,0.96480838832,0.00148445184389,"0.00701**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-08)",False,False
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02250,0.964560921932,0.000105920399691,"0.00504**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1.74e-12)",False,False
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p+0.02250,0.964556078157,8.95455780478e-05,"0.00428**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1.65e-12)",False,False
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02250,0.964594569701,6.04105338841e-05,"0.0039**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1.2e-12)",False,False
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.03000,0.966794750945,0.000559864182719,"0.000885**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=9.1e-09)",False,False
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.966446465501,0.000206540382583,"0.000979**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02500,0.966411815002,1.03214089927e-05,"0.00071**2 * Matern(length_scale=[1.45, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02750,0.966416014865,4.50906527951e-06,"0.000587**2 * Matern(length_scale=[1.2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.02750,0.968272603054,0.000229139864589,"0.000885**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=9.1e-09)",False,False
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02500,0.968236217214,9.28553205705e-06,"0.000637**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p+0.02750,0.96823926681,5.6606531912e-06,"0.000591**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02500,0.96824083344,1.83887758732e-06,"0.000468**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.03000,0.96763683688,6.17876516407e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.967639730546,2.11315545434e-05,"0.0001**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02750,0.967639892343,2.13392411374e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02250,0.967648062166,1.48129509728e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.02750,0.96936467982,2.11338424719e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02750,0.969364855644,2.13399692918e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p+0.02500,0.96936877983,1.77118509643e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02250,0.969373553055,1.44570118666e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__structured_residual,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.00750,0.967795053106,0.000206288939097,"0.00021**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1.08e-09)",False,False
baseline__structured_residual,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,0.967899782826,2.71518385201e-05,"0.000158**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__structured_residual,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02750,0.967889566469,3.70637826401e-06,"0.000142**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__structured_residual,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02500,0.967894474395,2.1171141987e-06,"0.000135**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__structured_residual,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.00500,0.969511278268,0.000207274598177,"0.00021**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1.08e-09)",False,False
baseline__structured_residual,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02750,0.969614105965,4.70192800579e-06,"0.00017**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__structured_residual,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p+0.02500,0.969619431773,2.25539824022e-06,"0.000148**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__structured_residual,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02250,0.969626773945,1.89592977668e-06,"0.000147**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__combined_mild,BO_A_FULL_FEASIBLE,1,asym_h+1.500_k-5.000_p+0.03000,0.965108136661,0.00186825627265,"0.00533**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-08)",False,False
