model,family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,RANDOM,0,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,RANDOM,1,0.0,0.0089326602186248,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,RANDOM,2,0.022486309098926897,0.00870779712763553,0.9748268617090771,1.9
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,RANDOM,3,0.022486309098926897,0.00870779712763553,0.9748268617090771,2.9
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,ADAPTIVE_GREEDY,1,0.0,0.0089326602186248,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,ADAPTIVE_GREEDY,2,0.0,0.0089326602186248,1.0,2.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,ADAPTIVE_GREEDY,3,0.0,0.0089326602186248,1.0,3.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,PURE_BO_EI,0,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,PURE_BO_EI,1,0.0,0.0089326602186248,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,PURE_BO_EI,2,0.0,0.0089326602186248,1.0,2.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,PURE_BO_EI,3,0.0,0.0089326602186248,1.0,3.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,0.0,0.0089326602186248,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,1,0.0,0.0089326602186248,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,2,0.0,0.0089326602186248,1.0,2.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,3,0.0,0.0089326602186248,1.0,3.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,REFERENCE,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,REFERENCE,1,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,REFERENCE,2,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,REFERENCE,3,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,RANDOM,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,RANDOM,1,0.3316268407919626,0.01761931544211017,0.8415965644103636,0.75
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,RANDOM,2,0.46252857354887267,0.016310298114541065,0.779070611614104,1.5
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,RANDOM,3,0.5366237105714322,0.015569346744315465,0.7436786504663597,2.35
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,ADAPTIVE_GREEDY,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,ADAPTIVE_GREEDY,1,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,ADAPTIVE_GREEDY,2,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,ADAPTIVE_GREEDY,3,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,PURE_BO_EI,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,PURE_BO_EI,1,0.0,0.0209355838500298,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,PURE_BO_EI,2,2.01977739546898,0.00073780989534,0.0352419068235802,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,PURE_BO_EI,3,2.01977739546898,0.00073780989534,0.0352419068235802,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,1,2.0935583850029804,0.0,0.0,0.0
