model,family,tier,method,seed,trial_index,candidate_id,parameter_flex,parameter_extend,share_shift,E3,E2,peak_ratio,feasible,best_E3,best_candidate_id,next_selection
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:307', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,1,BETA_TIMING:307,0.12,0.0,0.0,1.0076975707751803,1.0320496300515314,1.000044656378462,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:315', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,2,BETA_TIMING:315,0.12,0.06,-0.05,1.0019094686904584,1.032904077364609,1.0010746419187448,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:227', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,3,BETA_TIMING:227,0.06,-0.06,0.1,1.009688126295699,1.0295342201706212,1.0001304604359202,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:248', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,1,BETA_TIMING:248,0.06,0.09,0.0,0.9943567633843241,1.0167290314664719,1.0003823667073806,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:218', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,2,BETA_TIMING:218,0.06,-0.12,0.0,1.0203003258500623,1.0696737903128073,1.0000224224659369,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:53', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,3,BETA_TIMING:53,-0.09,0.0,-0.1,0.9948628797145049,1.0023474655174078,1.002992592502348,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:254', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,1,BETA_TIMING:254,0.09,-0.12,0.0,1.0221653267218775,1.0696737903128073,1.0000224224659369,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:130', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,2,BETA_TIMING:130,-0.03,0.03,-0.1,0.9961786570568046,1.0022675457059134,1.0028256424136985,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:248', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,3,BETA_TIMING:248,0.06,0.09,0.0,0.9943567633843241,1.0167290314664719,1.0003823667073806,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:33', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,1,BETA_TIMING:33,-0.12,0.12,-0.1,0.979938736379956,1.0033768473880706,1.003075495604442,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:71', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,2,BETA_TIMING:71,-0.09,0.12,0.0,0.9806179254147671,1.0018539002898708,1.0003461138286633,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:108', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,3,BETA_TIMING:108,-0.03,-0.12,-0.1,1.0159246139142317,1.0718861768612882,1.0028256424136985,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:254', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,1,BETA_TIMING:254,0.09,-0.12,0.0,1.0221653267218775,1.0696737903128073,1.0000224224659369,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:52', 'acquisition_value': None, 'metadata': {}}"
