family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
BETA_TIMING,0.02,RANDOM,1,0.38662233488610936,0.014880024601128555,0.8045668137797649,0.5750000000000001
BETA_TIMING,0.02,RANDOM,2,0.585130457035518,0.012894943379634469,0.7078088595619748,1.1583333333333332
BETA_TIMING,0.02,RANDOM,3,0.6669765886083362,0.012076482063906288,0.663520698169223,1.8083333333333333
BETA_TIMING,0.02,ADAPTIVE_GREEDY,0,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,ADAPTIVE_GREEDY,1,1.7293765996987915,0.0014524819530018019,0.16666666666666743,0.16666666666666666
BETA_TIMING,0.02,ADAPTIVE_GREEDY,2,1.7293765996987915,0.0014524819530018019,0.16666666666666743,0.3333333333333333
BETA_TIMING,0.02,ADAPTIVE_GREEDY,3,1.7293765996987915,0.0014524819530018019,0.16666666666666743,0.5
BETA_TIMING,0.02,PURE_BO_EI,0,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,PURE_BO_EI,1,0.0,0.01874624794998965,1.0,1.0
BETA_TIMING,0.02,PURE_BO_EI,2,1.274661607864567,0.005999631871343984,0.3611341090880728,1.3333333333333333
BETA_TIMING,0.02,PURE_BO_EI,3,1.6716070838374322,0.0020301771116153352,0.19446744242140687,1.5
BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,0,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,1,1.7293765996987915,0.0014524819530018019,0.16666666666666743,0.16666666666666666
BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,2,1.7293765996987915,0.0014524819530018019,0.16666666666666743,0.3333333333333333
BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,3,1.7293765996987915,0.0014524819530018019,0.16666666666666743,0.5
KEY_POSTURE_TIMING,0.0,REFERENCE,0,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,REFERENCE,1,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,REFERENCE,2,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,REFERENCE,3,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,RANDOM,0,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,RANDOM,1,0.1256674532576574,0.014638199469897528,0.9512444545067043,0.9083333333333333
KEY_POSTURE_TIMING,0.0,RANDOM,2,0.1993195467133644,0.013901678535340458,0.9222372194251225,1.8583333333333334
KEY_POSTURE_TIMING,0.0,RANDOM,3,0.3128783024827791,0.012766090977646314,0.8758623417327979,2.75
KEY_POSTURE_TIMING,0.0,ADAPTIVE_GREEDY,0,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,ADAPTIVE_GREEDY,1,0.8612348324897656,0.007282525677576483,0.6666666666666666,0.6666666666666666
KEY_POSTURE_TIMING,0.0,ADAPTIVE_GREEDY,2,0.8612348324897656,0.007282525677576483,0.6666666666666666,1.3333333333333333
KEY_POSTURE_TIMING,0.0,ADAPTIVE_GREEDY,3,1.2673698651468908,0.00322117535100525,0.5,1.8333333333333333
KEY_POSTURE_TIMING,0.0,PURE_BO_EI,0,0.0,0.0158948740024741,1.0,0.0
