model,family,tier,method,seed,K_additional,executed_trials,best_E3,improvement_pct,oracle_E3,headroom,regret,normalized_regret,constraint_violations
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,PURE_BO_EI,0,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,PURE_BO_EI,0,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,PURE_BO_EI,0,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,PURE_BO_EI,0,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,REFERENCE,0,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
