case_id,subject_id,scenario_name,framework_id,horizon_steps,final_alpha_hip,final_alpha_knee,final_alpha_phase,truth_optimum_alpha_hip_posthoc,truth_optimum_alpha_knee_posthoc,truth_optimum_alpha_phase_posthoc,hip_grid_steps_from_truth_optimum,knee_grid_steps_from_truth_optimum,phase_grid_steps_from_truth_optimum,generator_grid_L1_steps_from_truth_optimum,final_alpha_is_neutral,final_J,global_regret,truth_used_for_selection,truth_attached_posthoc_only,distance_is_physical,distance_definition,unique_final_alpha_count_within_framework,source_framework_id,prototype_variant_id
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,H1_SINGLE_STEP_ONLY,1,0,0,0,-5,-5,0,20,20,0,40,True,1,0.0537660518215,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,H2_FIXED_BUNDLE_5,5,0,-5,0,-5,-5,0,20,0,0,20,False,0.956725642694,0.0104944198993,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.971228759614,0.00360046728743,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-5,0,1.25,-5,0.03,-5,0,-12,17,False,0.971075819116,0.000173390328566,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.977952631223,0.00318389473674,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-4.5,0,2,-5,0.0025,-8,2,-1,11,False,0.970878927922,0.00768122700309,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.0075,-8,0,-3,11,False,0.965580186606,0.00190701518787,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.0275,-8,0,-11,19,False,0.970184548874,0.00377163704275,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.971232932129,0.00360035812028,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
baseline__structured_residual,baseline,structured_residual,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.971515062695,0.00363767488693,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
baseline__combined_mild,baseline,combined_mild,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.0125,-8,0,-5,13,False,0.966892394609,0.0027897543916,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.0125,-8,0,-5,13,False,0.969202794811,0.00427479418365,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,H3_ADAPTIVE_HORIZON,-1,0,-5,0,-5,-5,-0.025,20,0,10,30,False,0.950858011384,0.011839598975,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.975317392642,0.0011472991471,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.972657012595,0.00176155816821,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,H3_ADAPTIVE_HORIZON,-1,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.973706313745,0.000837074344438,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,H3_ADAPTIVE_HORIZON,-1,0,-5,0,-5,-5,0,20,0,0,20,False,0.956725642694,0.0104944198993,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,,H3_ADAPTIVE_HORIZON
