row_scope,prototype_variant_id,case_id,subject_id,scenario_name,horizon_steps,endpoint_authorization_count,intermediate_trajectory_execution_count
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,2,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,3,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,5,4,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,3,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,5,4,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,1,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,2,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,3,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,5,4,0
ALL_CASES,H3_ADAPTIVE_HORIZON,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,1,0,0
ALL_CASES,H3_ADAPTIVE_HORIZON,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,2,0,0
ALL_CASES,H3_ADAPTIVE_HORIZON,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,3,1,0
ALL_CASES,H3_ADAPTIVE_HORIZON,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,5,59,0
