case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_endpoint,delta_J_actual_vs_operating,accepted_meaningful_improvement,executed_false_improvement,evaluated_horizon_sequence,adaptive_escalation_stop_reason,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count,model_refit_after_execution,full_map_recomputed_after_execution,authorization_invalidated_after_execution,truth_accessed_before_selection,manifest_sha_verified_before_truth,execution_status,cumulative_regret_vs_best_before,stop_reason_after_iteration
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,10,EXPLORE,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.999645881139,0.999645024248,0.971075819116,0.971075819116,0.971075819116,0.0285672851418,0.0285692051312,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.143387142699,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,11,EXPLORE,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.999597757228,0.999596900981,0.971075819116,0.971075819116,0.971075819116,0.0285191612307,0.0285210818643,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.171908224564,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,12,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.999552645579,0.999551789972,0.971075819116,0.971075819116,0.971075819116,0.0284740495812,0.028475970856,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.20038419542,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999623685946,0.999624243777,1,1,1,-0.000376314053928,-0.000375756222738,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,2,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.994420509997,0.994415503528,1,1,0.994415503528,-0.00557949000293,-0.0055844964719,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,3,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.988886768687,0.988881719219,0.994415503528,0.994415503528,0.988881719219,-0.00553374130985,-0.00553378430902,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,4,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-3.750_p+0.00000,0,-3.75,0,0,-2.5,0,0,-3.75,0,0.983399227179,0.98339413433,0.988881719219,0.988881719219,0.98339413433,-0.00548754150781,-0.0054875848893,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,5,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-3.75,0,0,-5,0,0.977957767831,0.977952631223,0.98339413433,0.98339413433,0.977952631223,-0.00544145934855,-0.00544150310704,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,6,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999253696834,0.999254254544,0.977952631223,0.977952631223,0.977952631223,0.0212959290028,0.0213016233212,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0213016233212,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,7,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.99888508444,0.998885642027,0.977952631223,0.977952631223,0.977952631223,0.0209273166095,0.0209330108044,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0422346341256,
