bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_001a5cb6f9e08d5935d5bdfa,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,hip,POSITIVE,5,INTERIOR,asym_h-0.500_k-0.250_p+0.01250,asym_h+0.750_k-0.250_p+0.01250,asym_h-0.250_k-0.250_p+0.01250;asym_h+0.000_k-0.250_p+0.01250;asym_h+0.250_k-0.250_p+0.01250;asym_h+0.500_k-0.250_p+0.01250,0.000312920624806,0.000312920624796,1.02140518266e-14,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001b05df9d17bdeb0cd172ba,calibration_subject_001__nonlinear_stiffness_strong,calibration_subject_001,nonlinear_stiffness_strong,MISMATCH,knee,POSITIVE,5,INTERIOR,asym_h-0.750_k-4.500_p+0.01250,asym_h-0.750_k-3.250_p+0.01250,asym_h-0.750_k-4.250_p+0.01250;asym_h-0.750_k-4.000_p+0.01250;asym_h-0.750_k-3.750_p+0.01250;asym_h-0.750_k-3.500_p+0.01250,0.00514584159632,0.00846101975728,0.00331517816096,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001b3ab65631c75732366b1e,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,knee,POSITIVE,5,INTERIOR,asym_h-2.250_k-2.250_p+0.03000,asym_h-2.250_k-1.000_p+0.03000,asym_h-2.250_k-2.000_p+0.03000;asym_h-2.250_k-1.750_p+0.03000;asym_h-2.250_k-1.500_p+0.03000;asym_h-2.250_k-1.250_p+0.03000,0.00621086803404,0.00668226579776,0.000471397763721,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001b7bdddbc35854406d329a,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,knee,POSITIVE,5,INTERIOR,asym_h-2.250_k-1.500_p-0.02750,asym_h-2.250_k-0.250_p-0.02750,asym_h-2.250_k-1.250_p-0.02750;asym_h-2.250_k-1.000_p-0.02750;asym_h-2.250_k-0.750_p-0.02750;asym_h-2.250_k-0.500_p-0.02750,0.00580119296781,0.00580119296781,8.881784197e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001b7fb66d7ccf5dfeb4d60f,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,hip,POSITIVE,5,INTERIOR,asym_h-4.750_k+0.250_p+0.02000,asym_h-3.500_k+0.250_p+0.02000,asym_h-4.500_k+0.250_p+0.02000;asym_h-4.250_k+0.250_p+0.02000;asym_h-4.000_k+0.250_p+0.02000;asym_h-3.750_k+0.250_p+0.02000,0.00112182444691,0.00166281358787,0.000540989140961,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001bdf09c53ed9e67905bab8,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,phase,POSITIVE,5,UPPER_BOUNDARY,asym_h-0.250_k-5.000_p+0.01750,asym_h-0.250_k-5.000_p+0.03000,asym_h-0.250_k-5.000_p+0.02000;asym_h-0.250_k-5.000_p+0.02250;asym_h-0.250_k-5.000_p+0.02500;asym_h-0.250_k-5.000_p+0.02750,-0.000109124044297,3.66699133652e-05,0.000145793957662,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001d4c5fac50da8d8bf38d2f,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,phase,NEGATIVE,5,INTERIOR,asym_h-4.250_k-1.500_p+0.01000,asym_h-4.250_k-1.500_p-0.00250,asym_h-4.250_k-1.500_p+0.00750;asym_h-4.250_k-1.500_p+0.00500;asym_h-4.250_k-1.500_p+0.00250;asym_h-4.250_k-1.500_p+0.00000,0.000125137269085,0.000125137269091,5.66213742559e-15,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001d565db71708f27f0e11b6,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,hip,NEGATIVE,5,INTERIOR,asym_h-3.250_k+1.500_p-0.00250,asym_h-4.500_k+1.500_p-0.00250,asym_h-3.500_k+1.500_p-0.00250;asym_h-3.750_k+1.500_p-0.00250;asym_h-4.000_k+1.500_p-0.00250;asym_h-4.250_k+1.500_p-0.00250,0.00028664326046,-0.00168064226271,0.00196728552317,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_002289b75112c38903e27c1c,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,knee,POSITIVE,5,INTERIOR,asym_h-1.250_k-4.500_p+0.02250,asym_h-1.250_k-3.250_p+0.02250,asym_h-1.250_k-4.250_p+0.02250;asym_h-1.250_k-4.000_p+0.02250;asym_h-1.250_k-3.750_p+0.02250;asym_h-1.250_k-3.500_p+0.02250,0.0058817845197,0.012925727243,0.00704394272326,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0022e8cafd31ef4b685263a8,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,phase,POSITIVE,5,INTERIOR,asym_h-0.500_k-3.750_p+0.00750,asym_h-0.500_k-3.750_p+0.02000,asym_h-0.500_k-3.750_p+0.01000;asym_h-0.500_k-3.750_p+0.01250;asym_h-0.500_k-3.750_p+0.01500;asym_h-0.500_k-3.750_p+0.01750,-8.65098994685e-05,-8.65098994691e-05,6.66133814775e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00237de8c35ff948d9d42d9b,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,knee,POSITIVE,5,INTERIOR,asym_h-2.500_k-4.250_p-0.00750,asym_h-2.500_k-3.000_p-0.00750,asym_h-2.500_k-4.000_p-0.00750;asym_h-2.500_k-3.750_p-0.00750;asym_h-2.500_k-3.500_p-0.00750;asym_h-2.500_k-3.250_p-0.00750,0.00599388629082,0.00599388629082,8.881784197e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0024d36a3b69f7393aff8e01,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,phase,POSITIVE,5,INTERIOR,asym_h-2.500_k+2.000_p-0.02750,asym_h-2.500_k+2.000_p-0.01500,asym_h-2.500_k+2.000_p-0.02500;asym_h-2.500_k+2.000_p-0.02250;asym_h-2.500_k+2.000_p-0.02000;asym_h-2.500_k+2.000_p-0.01750,-0.000128114175522,-0.000128114175522,0,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
