bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_009aff56d18c5bb0ae990a15,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,phase,NEGATIVE,3,UPPER_BOUNDARY,asym_h-4.250_k-4.500_p+0.03000,asym_h-4.250_k-4.500_p+0.02250,asym_h-4.250_k-4.500_p+0.02750;asym_h-4.250_k-4.500_p+0.02500,5.36460965949e-05,3.52177776357e-05,1.84283189592e-05,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00ac2d2fac59b811f9c156fe,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,phase,NEGATIVE,3,UPPER_BOUNDARY,asym_h-3.250_k-0.250_p+0.03000,asym_h-3.250_k-0.250_p+0.02250,asym_h-3.250_k-0.250_p+0.02750;asym_h-3.250_k-0.250_p+0.02500,7.98812728885e-05,7.98812728918e-05,3.33066907388e-15,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00af63284d4863cf5317661a,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,phase,POSITIVE,3,LOWER_BOUNDARY,asym_h+0.000_k+0.500_p-0.03000,asym_h+0.000_k+0.500_p-0.02250,asym_h+0.000_k+0.500_p-0.02750;asym_h+0.000_k+0.500_p-0.02500,-6.93505914389e-05,-6.93505914389e-05,0,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00b1f5eadc748d7dbe4165d3,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,phase,POSITIVE,3,UPPER_BOUNDARY,asym_h-4.500_k-1.500_p+0.02250,asym_h-4.500_k-1.500_p+0.03000,asym_h-4.500_k-1.500_p+0.02500;asym_h-4.500_k-1.500_p+0.02750,-7.12141352468e-05,-7.12141352468e-05,0,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00bf563846e89b8635170d3d,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,phase,NEGATIVE,3,UPPER_BOUNDARY,asym_h-3.750_k-4.250_p+0.03000,asym_h-3.750_k-4.250_p+0.02250,asym_h-3.750_k-4.250_p+0.02750;asym_h-3.750_k-4.250_p+0.02500,4.91141673973e-05,4.91141673976e-05,3.33066907388e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00dd3880d76382413cbd6c8d,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,hip,POSITIVE,3,UPPER_BOUNDARY,asym_h+1.250_k-2.750_p+0.00750,asym_h+2.000_k-2.750_p+0.00750,asym_h+1.500_k-2.750_p+0.00750;asym_h+1.750_k-2.750_p+0.00750,0.000825980128655,0.00166028831668,0.00083430818803,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00dd73e8391bdfd44f800746,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,phase,NEGATIVE,3,LOWER_BOUNDARY,asym_h-1.500_k-4.000_p-0.02250,asym_h-1.500_k-4.000_p-0.03000,asym_h-1.500_k-4.000_p-0.02500;asym_h-1.500_k-4.000_p-0.02750,5.53265755175e-05,5.53265755181e-05,5.55111512313e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00ede114dc444812a458b563,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,NEGATIVE,3,UPPER_BOUNDARY,asym_h+2.000_k-1.750_p+0.03000,asym_h+1.250_k-1.750_p+0.03000,asym_h+1.750_k-1.750_p+0.03000;asym_h+1.500_k-1.750_p+0.03000,0.000959806777831,0.000959806777831,2.22044604925e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00f7f02d1291c17e45ea5a72,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,knee,POSITIVE,3,LOWER_BOUNDARY,asym_h-0.250_k-5.000_p+0.02250,asym_h-0.250_k-4.250_p+0.02250,asym_h-0.250_k-4.750_p+0.02250;asym_h-0.250_k-4.500_p+0.02250,0.0031027185509,0.00504235447781,0.00193963592691,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_011aedbd1810858374a4ba21,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,phase,POSITIVE,3,LOWER_BOUNDARY,asym_h+1.250_k-3.500_p-0.03000,asym_h+1.250_k-3.500_p-0.02250,asym_h+1.250_k-3.500_p-0.02750;asym_h+1.250_k-3.500_p-0.02500,-3.80417323383e-05,-3.80417323386e-05,2.22044604925e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
