summary_scope,coordinate,direction,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role,location_class,direction_evidence_status,heteroscedasticity_threshold_defined,axis_specific_threshold_created
AXIS_DIRECTION,phase,NEGATIVE,36,1.74617231975e-05,1.68797149003e-06,5.58995982276e-05,6.55754896232e-05,9.18177959862e-05,9.744233307e-05,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,False,False
AXIS_DIRECTION,phase,POSITIVE,36,1.52741304429e-05,1.92595682502e-06,5.45398272217e-05,6.05628291924e-05,9.29058711656e-05,0.000107519940724,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,False,False
AXIS_DIRECTION_LOCATION,hip,NEGATIVE,12,0.000263252920681,8.67772355139e-05,0.000743387389707,0.000781310534803,0.000814733019654,0.000823088640866,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,,False,False
AXIS_DIRECTION_LOCATION,hip,NEGATIVE,12,0.000201950937057,7.05003625797e-05,0.00058699917961,0.000681505746888,0.000768691882774,0.000790488416745,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,hip,NEGATIVE,12,0.000300215616611,8.22592552108e-05,0.000888702321572,0.000961358089548,0.00102591093189,0.00104204914248,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,hip,POSITIVE,12,0.000256628417384,8.83568693625e-05,0.000723637628707,0.000771683634605,0.000812877070654,0.000823175429667,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,,False,False
AXIS_DIRECTION_LOCATION,hip,POSITIVE,12,0.000216093153774,7.56401544595e-05,0.000618730300017,0.000685749796257,0.000749060517727,0.000764888198094,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,hip,POSITIVE,12,0.000311313330785,9.49695872638e-05,0.000878246825266,0.000969449230171,0.0010462778961,0.00106548506258,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,knee,NEGATIVE,12,0.000614506296839,7.6347402643e-05,0.00144776028469,0.0021062182647,0.00274040216288,0.00289894813742,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,,False,False
AXIS_DIRECTION_LOCATION,knee,NEGATIVE,12,0.000565675292159,5.78772640463e-05,0.00130900268482,0.00191012676814,0.0024976267819,0.00264450178534,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_BOUNDARY,,False,False
