summary_scope,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role,coordinate,location_class,calibration_category,direction,direction_evidence_status
FULL_STRATIFICATION,18,6.20491312652e-15,3.33066907388e-16,1.81632486829e-14,3.26016991181e-14,5.15509857024e-14,5.62883073485e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,LOWER_EDGE,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,1.50498193213e-05,9.87446996836e-06,3.26022753606e-05,3.63341529185e-05,3.7753127673e-05,3.81078713616e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,LOWER_EDGE,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,6.19874522082e-15,3.88578058619e-16,1.84297022088e-14,3.35398375739e-14,5.27156096553e-14,5.75095526756e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,UPPER_EDGE,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,5.70199166779e-05,4.98094007008e-05,0.000103702094445,0.000119133138347,0.000170067480813,0.00018280106643,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,UPPER_EDGE,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,5.85334250205e-15,3.33066907388e-16,1.77968750847e-14,3.11473069559e-14,4.90396612207e-14,5.35127497869e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,INTERIOR,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,2.70460204007e-05,2.40023633379e-05,5.26533742337e-05,6.10773552827e-05,6.50898285588e-05,6.60929468778e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,INTERIOR,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,6.20491312652e-15,3.33066907388e-16,1.81632486829e-14,3.26016991181e-14,5.15509857024e-14,5.62883073485e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,LOWER_EDGE,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,1.50498193213e-05,9.87446996836e-06,3.26022753606e-05,3.63341529185e-05,3.7753127673e-05,3.81078713616e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,LOWER_EDGE,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,6.19874522082e-15,3.88578058619e-16,1.84297022088e-14,3.35398375739e-14,5.27156096553e-14,5.75095526756e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,UPPER_EDGE,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,5.70199166779e-05,4.98094007008e-05,0.000103702094445,0.000119133138347,0.000170067480813,0.00018280106643,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,UPPER_EDGE,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
