case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,calibrated_uncertainty,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_executed_false_improvements,first_exploit_iteration,decision_latency_trials,latent_intermediate_nodes_skipped,intermediate_trajectory_executions,endpoint_executions,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,stop_reason,trial_budget,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,prospective_cohort_run,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.970184548874,0.0298154511256,0,4,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.970189195338,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.00377163704275,0.000478890998795,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.0323626425087,0.00148434783298,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.0323626425087,0.00148434783298,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.0323626425087,0.00148434783298,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.971232932129,0.0287670678709,0,4,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False
baseline__structured_residual,baseline,structured_residual,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.0321178113255,0.00147178082842,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.0321178113255,0.00147178082842,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.0321178113255,0.00147178082842,False
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.971515062695,0.028484937305,0,4,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.971519863561,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.00363767488693,0.000454778875281,False
baseline__combined_mild,baseline,combined_mild,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0358927642302,0.00172312331363,False
