absolute_range,coefficient_of_variation,component,leg_id,maximum,minimum,oracle_beta,reference,relative_range_by_reference,relative_range_by_reference_defined
0.00125145657104897,0.000503043166110738,damping,LEG_1_HEAVY_HIP_STIFF,0.6353543813156788,0.6341029247446298,"[-0.03,0.0075]",0.6346297072919326,0.001971947667544807,True
0.02795115967992312,0.003951977347332663,coupling,LEG_1_HEAVY_HIP_STIFF,1.5244800213202665,1.4965288616403434,"[0.03,-0.03]",1.5097700702361694,0.01851352085390777,True
0.0007630416024469181,1.0409292544308386,joint_limit_constraint,LEG_1_HEAVY_HIP_STIFF,0.0007630416024469181,0.0,"[-0.03,-0.03]",0.0,,False
0.0057927326385749794,0.012206322245228406,inertia,LEG_2_KNEE_DOMINANT,0.11646059058340147,0.11066785794482649,"[0.025,0.0025]",0.11084752277238709,0.052258566485691375,True
0.13688203564406365,0.001162668015834292,gravity,LEG_2_KNEE_DOMINANT,26.872957939287023,26.73607590364296,"[0.03,-0.03]",26.806358143127166,0.005106327197197378,True
0.0015436033060660034,0.013252589956352794,coriolis,LEG_2_KNEE_DOMINANT,0.03169489071408547,0.030151287408019464,"[0.03,-0.03]",0.031012321464586833,0.049773871582901454,True
3.6601032462918113,0.0044018397881697285,passive_stiffness,LEG_2_KNEE_DOMINANT,178.5281486016008,174.868045355309,"[-0.03,0.03]",176.67206976567422,0.020716931947117177,True
0.022831766041414125,0.005895932036508793,damping,LEG_2_KNEE_DOMINANT,1.0010207831510556,0.9781890171096415,"[-0.03,0.0075]",0.9878585373270488,0.02311238419135639,True
0.40505007375606805,0.01327023367539166,coupling,LEG_2_KNEE_DOMINANT,6.812195261478455,6.407145187722387,"[-0.03,0.03]",6.608556853567987,0.061291758962076545,True
0.0011947672889264847,1.0409292542252775,joint_limit_constraint,LEG_2_KNEE_DOMINANT,0.0011947672889264847,0.0,"[-0.03,-0.03]",0.0,,False
0.003758103903130125,0.009977478603236084,inertia,LEG_3_NONLINEAR_COUPLED,0.09398739192054223,0.0902292880174121,"[0.03,0.0025]",0.09042452320335033,0.041560671485972325,True
0.037950582643581754,0.00045459524723062195,gravity,LEG_3_NONLINEAR_COUPLED,20.117207549194863,20.07925696655128,"[0.03,-0.03]",20.100054528803575,0.001888083566599195,True
0.00041965597813194144,0.005982189647263329,coriolis,LEG_3_NONLINEAR_COUPLED,0.01671219222543266,0.016292536247300718,"[0.03,-0.03]",0.016541000990989995,0.02537065189467863,True
4.783801295077353,0.003136883369541069,passive_stiffness,LEG_3_NONLINEAR_COUPLED,326.5103390680966,321.72653777301923,"[-0.03,0.03]",324.0635230645237,0.014761924606136123,True
0.007429805041409332,0.003804125011980047,damping,LEG_3_NONLINEAR_COUPLED,0.5025235467260863,0.495093741684677,"[-0.03,0.0075]",0.4982329265737198,0.01491231238469744,True
0.22376243957081776,0.008546663362425214,coupling,LEG_3_NONLINEAR_COUPLED,6.25095888618674,6.027196446615922,"[0.03,-0.03]",6.121591948290314,0.03655298188134083,True
0.000997056076275096,1.040929254045482,joint_limit_constraint,LEG_3_NONLINEAR_COUPLED,0.000997056076275096,0.0,"[-0.03,-0.03]",0.0,,False
0.0021335482910052744,0.005718949245122707,inertia,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.09246719540832087,0.09033364711731559,"[0.03,0.03]",0.09066349210589689,0.023532606581194167,True
0.016094577855774617,0.00018282191569374997,gravity,LEG_4_STRONG_STRUCTURAL_MISMATCH,21.074012715001878,21.057918137146103,"[0.03,-0.03]",21.066659072059064,0.0007639834014839604,True
6.919942168909145e-05,0.002981033397354597,coriolis,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.006870658518660906,0.006801459096971814,"[0.03,-0.03]",0.006858866145525245,0.010089046822154047,True
0.4537101398523191,0.0008760476912259271,passive_stiffness,LEG_4_STRONG_STRUCTURAL_MISMATCH,110.28142465605795,109.82771451620563,"[-0.03,0.03]",110.05213716956516,0.004122683589081561,True
0.024372785578560707,0.006046218308472088,damping,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.0423702345968864,1.0179974490183257,"[-0.03,0.0075]",1.0283213589512856,0.02370152614880706,True
0.39388103672569486,0.001580236090647667,coupling,LEG_4_STRONG_STRUCTURAL_MISMATCH,53.151067908711155,52.75718687198546,"[-0.03,0.03]",52.957939281967526,0.007437620157924338,True
