factor_id,factor_name,sign,sign_label,model_id,z,level_role,response_id,response_role,units,candidate_count,delta_response_RMS,relative_effect,effect_resolution_gate_pass,proportional_NRMSE,affine_R2,nonproportionality_gate_pass,normalized_spread,normalized_range,beta_polynomial_R2,configuration_dependence_gate_pass,gradient_cosine_similarity,gradient_angle_difference_deg,gradient_change_type,gradient_rotation_gate_pass,structural_response_gate_pass,positive_vs_negative_opposite_delta_cosine,positive_plus_negative_delta_relative_RMS,sign_symmetry_role,sign_result_used_to_change_factor_semantics,sign_required_torque_structural_gate_any,sign_mechanistic_component_structural_gate_any,factor_sign_structural_gate_pass
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01632706871113681,0.02469008797166737,True,1.6788992948543275e-16,1.0,False,0.00024260043981161035,0.0008902996219036028,0.9999239343988551,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999999,0.024690087971660873,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.013632331023128271,0.024690087971667433,True,1.4755029693447217e-16,1.0,False,0.00025202224351246336,0.0009244922199679539,0.9999098157495069,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999998,0.024690087971657282,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01632706871113681,0.02469008797166737,True,1.6788992948543275e-16,1.0,False,0.00024260043981161035,0.0008902996219036028,0.9999239343988551,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999999,0.024690087971660873,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.013632331023128271,0.024690087971667433,True,1.4755029693447217e-16,1.0,False,0.00025202224351246336,0.0009244922199679539,0.9999098157495069,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999998,0.024690087971657282,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.1097849712524406,0.003051609123774246,True,1.6406604157808838e-06,0.9999996169854015,False,1.013788055454463e-06,3.7376178532623937e-06,0.9999977856817687,False,0.9999998084253939,0.03546554252736667,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999774752,0.028907625477666718,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.0,0.0,False,0.0,1.0,False,0.0,0.0,,False,1.0,0.0,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F3_DECLARED_HIP_ANTAGONIST_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.1704260233515871,0.02469008797166749,True,6.181244106680835e-17,,False,5.4235152010117605e-17,1.28672856912779e-16,,False,,,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,0.9999999999999999,0.024690087971659124,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.11305306688346528,0.0031424498857768133,True,1.7073684102087052e-06,0.9999996040599785,False,1.023569698854362e-06,3.7675917402930266e-06,0.9999978580099985,False,0.9999998019675091,0.036058351041843906,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999774752,0.028907625477666718,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.0,0.0,False,0.0,1.0,False,0.0,0.0,,False,1.0,0.0,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,S1F3_DECLARED_HIP_ANTAGONIST_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.17474037867323017,0.02531512052442879,True,1.0706228846756903e-16,,False,5.9390694310471e-17,1.28672856912779e-16,,False,,,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,0.9999999999999999,0.024690087971659124,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.0,0.0,False,0.0,1.0,False,0.0,0.0,,False,1.0,0.0,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.04556717758056546,0.004113840701107232,True,7.369102373418104e-05,0.9999988204101319,False,5.323188260904725e-05,0.00020511476277699904,0.999999685549422,False,0.9999994409825217,0.06058293981866146,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999977109956,0.003393357799417329,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F4_DECLARED_KNEE_ANTAGONIST_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.12637950038063983,0.024690087971667378,True,1.0761171333073261e-16,1.0,False,0.00010648544548965734,0.0004086689229608166,0.9999992686964017,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,1.0000000000000002,0.024690087971661216,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.0,0.0,False,0.0,1.0,False,0.0,0.0,,False,1.0,0.0,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.04541258247941895,0.004099883733547329,True,7.365994304745365e-05,0.9999988002049549,False,5.327481529124671e-05,0.00020527801785209728,0.9999996275613804,False,0.9999994327119686,0.061029450726182564,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999977109956,0.003393357799417329,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,S1F4_DECLARED_KNEE_ANTAGONIST_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.12957881266459204,0.025315120524428733,True,1.5218594446252762e-16,1.0,False,0.00010918113737636215,0.0004190144260002018,0.9999992686964019,True,0.9999999999999998,1.2074182697257333e-06,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,1.0000000000000002,0.024690087971661216,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
