factor_id,factor_name,sign,sign_label,model_id,z,level_role,response_id,response_role,units,candidate_count,nominal_response_RMS_across_candidates,delta_response_RMS,delta_response_RMS_over_nominal_RMS,absolute_effect_gate_pass,relative_effect_gate_pass,effect_resolution_gate_pass,proportional_a,proportional_R2,proportional_NRMSE,proportional_residual_RMS,proportional_residual_range,affine_a,affine_b,affine_R2,affine_NRMSE,affine_residual_RMS,affine_residual_range,nonproportionality_gate_pass
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.6612802971732065,0.01632706871113681,0.02469008797166737,True,True,True,0.9753099120283325,1.0,1.6788992948543275e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.9753099120283424,-7.082512595776871e-15,1.0,9.85580216980191e-16,6.51744778772694e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.5521378068304881,0.013632331023128271,0.024690087971667433,True,True,True,0.9753099120283325,1.0,1.4755029693447217e-16,8.146809734658675e-17,2.220446049250313e-16,0.9753099120283324,0.0,1.0,2.0866763105690786e-16,1.1521328816827454e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.6612802971732065,0.01632706871113681,0.02469008797166737,True,True,True,0.9753099120283325,1.0,1.6788992948543275e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.9753099120283424,-7.082512595776871e-15,1.0,9.85580216980191e-16,6.51744778772694e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.5521378068304881,0.013632331023128271,0.024690087971667433,True,True,True,0.9753099120283325,1.0,1.4755029693447217e-16,8.146809734658675e-17,2.220446049250313e-16,0.9753099120283324,0.0,1.0,2.0866763105690786e-16,1.1521328816827454e-16,2.220446049250313e-16,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,35.97609221873671,0.1097849712524406,0.003051609123774246,True,True,True,0.9969483913172663,0.9999958082824463,1.6406604157808838e-06,5.902455041776399e-05,0.00019767398872971853,0.9988978299326391,-0.07013320596961087,0.9999996169854015,4.959413934724832e-07,1.7842033306654844e-05,6.730755057304805e-05,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,11.07655373439743,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0,1.0000000000000038,-4.152103779418562e-14,1.0,1.3343665065083758e-16,1.4780182310720202e-15,1.7763568394002505e-15,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F3_DECLARED_HIP_ANTAGONIST_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,6.902608996256123,0.1704260233515871,0.02469008797166749,True,True,True,0.9753099120283325,,6.181244106680835e-17,4.2666711178830267e-16,8.881784197001252e-16,0.9552607878991906,0.13839126458087234,,2.3401812496572365e-16,1.6153356146753935e-15,8.881784197001252e-16,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,35.97609221873671,0.11305306688346528,0.0031424498857768133,True,True,True,1.0031424494219496,0.9999954805246486,1.7073684102087052e-06,6.142444337702627e-05,0.0002064828045718059,1.0011095475797256,0.07313588768193809,0.9999996040599785,5.053565883170894e-07,1.8180755224641768e-05,6.858532267273176e-05,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,11.07655373439743,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0,1.0000000000000038,-4.152103779418562e-14,1.0,1.3343665065083758e-16,1.4780182310720202e-15,1.7763568394002505e-15,False
S1F3_HIP_MONO_ANTAGONIST_F0,F3 hip F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F3_HIP_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,S1F3_DECLARED_HIP_ANTAGONIST_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,6.902608996256123,0.17474037867323017,0.02531512052442879,True,True,True,1.0253151205244286,,1.0706228846756903e-16,7.390091155360101e-16,8.881784197001252e-16,1.0042380558198067,0.1454867364447981,,3.028178807390734e-16,2.090233427816742e-15,8.881784197001252e-16,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,35.97609221873671,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0,1.0000000000000093,-3.1455121221096227e-13,1.0,5.925124369594893e-16,2.1316282072803006e-14,0.0,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,11.07655373439743,0.04556717758056546,0.004113840701107232,True,True,True,1.0041131806363333,0.9997774058665032,7.369102373418104e-05,0.0008162425841344126,0.0031436507545503645,0.989391209434082,0.16307073711623554,0.9999988204101319,5.364425886568672e-06,5.941935158677047e-05,0.00022712985595951807,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F4_DECLARED_KNEE_ANTAGONIST_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,5.118633053299127,0.12637950038063983,0.024690087971667378,True,True,True,0.9753099120283326,1.0,1.0761171333073261e-16,5.508248727768382e-16,1.7763568394002505e-15,0.9753099120283393,-3.289372541518034e-14,1.0,2.257282342160444e-16,1.1554200007210918e-15,8.881784197001252e-16,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,35.97609221873671,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0,1.0000000000000093,-3.1455121221096227e-13,1.0,5.925124369594893e-16,2.1316282072803006e-14,0.0,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,11.07655373439743,0.04541258247941895,0.004099883733547329,True,True,True,0.9959007780199901,0.9997868365856795,7.365994304745365e-05,0.0008158983172377748,0.003142500869049769,1.0106141043388137,-0.16297498040719707,0.9999988002049549,5.5262251729718475e-06,6.12115300768024e-05,0.0002337726403300877,False
S1F4_KNEE_MONO_ANTAGONIST_F0,F4 knee F0,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F4_KNEE_MONO_ANTAGONIST_F0_POSITIVE_PRIMARY,0.025,PRIMARY,S1F4_DECLARED_KNEE_ANTAGONIST_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,5.118633053299127,0.12957881266459204,0.025315120524428733,True,True,True,1.0253151205244286,1.0,1.5218594446252762e-16,7.789840055734391e-16,1.7763568394002505e-15,1.0253151205244309,-1.0298840144621202e-14,1.0,9.625084247309536e-17,4.926727436906734e-16,8.881784197001252e-16,False
