t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
1.4206,excitation,multi_sine,7.4297401030546,-666.6365710582454,317.4004510788528,-177.3855833341725,0.12989551383318118,-149.95949647746752,7.2145,0.1197,-2.8722,76.5642,0.3997,-57.2512,78.06595150787051,26.673077876024905,81.70646440864789,-20.269351535373264,-88.90094333224826,-41.987219916449654,0.5985781225827661,0.10882991375309406,0.3458925757077661,-0.6059434678819444,-0.06785074869791667,0.678524441189236,0.5583,-0.3668,7.5227,0.18533,0.00134,-0.01188,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.4411,excitation,multi_sine,7.634505731570349,-666.6280390781321,317.31788704948826,-177.38418414437652,0.1289405934380961,-149.96112211031925,8.9516,0.1049,-4.1164,77.9569,-0.8519,-54.9907,78.08352555378829,26.675443743715192,81.71750512453589,-20.285051133897568,-88.90129089355469,-41.9681888156467,0.87066650390625,0.16324487062964108,0.5276156888149752,-0.7332611083984375,-0.06785074869791667,0.8820851643880208,0.6073,-0.4378,7.821,0.18148,-0.01746,-0.00816,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.4607,excitation,multi_sine,7.803665609445882,-666.6232901289603,317.23729999000847,-177.3840858340881,0.1290275031012978,-149.96122718022036,10.7278,0.0955,-5.2852,78.2672,-1.6902,-50.159,78.09808787733022,26.678428272209544,81.72660827636719,-20.297622680664062,-88.90159606933594,-41.95365905761719,0.87066650390625,0.2176666259765625,0.6037449600672958,-0.8342742919921875,-0.0,0.9499359130859375,0.7469,-0.4312,7.934,0.18984,-0.02323,-0.01528,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.4811,excitation,multi_sine,8.072919405270719,-666.6238478822528,317.0988202347788,-177.38365578338448,0.12878543355515834,-149.96225076376078,12.5609,0.0576,-6.5243,75.3712,-1.7422,-40.9523,78.1214406230662,26.684635275661353,81.74071510239403,-20.31919691297743,-88.90221489800346,-41.929524739583336,1.0339181730062654,0.32649653972965653,0.5985781225827661,-0.9184349907769097,-0.06785074869791667,1.0856458875868056,0.6093,-0.5182,7.5624,0.17405,-0.00707,-0.01272,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.5007,excitation,multi_sine,8.273666553558625,-666.6266089999742,316.9958540617848,-177.38353042718722,0.12866005558606722,-149.962358853052,14.2047,-0.0049,-7.3878,67.3769,-1.2608,-28.6761,78.138905893458,26.68960495750503,81.75057968290726,-20.334769354926216,-88.90274895562065,-41.912129720052086,1.1427480867593596,0.3809114966062036,0.6424486519086479,-0.9852684868706597,-0.06785074869791667,1.153496636284722,0.5702,-0.5256,7.4714,0.15773,0.00177,-0.01348,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.5206,excitation,multi_sine,8.658366500810649,-666.6281209641816,316.7834647335991,-177.3851190316728,0.1299475570206564,-149.96277977210627,14.9725,-0.0625,-7.568,49.4069,-0.7017,-11.8864,78.17232037534808,26.69963270130724,81.77040402251895,-20.363659328884548,-88.9038594563802,-41.87862820095486,1.305999755859375,0.3809114966062036,0.7615782482789295,-1.0616980658637152,-0.06785074869791667,1.2892066107855902,0.6014,-0.4892,7.5011,0.17131,-0.01864,-0.01375,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.5407,excitation,multi_sine,8.902743727554256,-666.6268632352509,316.65530592841066,-177.38635608815272,0.13089659046973898,-149.96234558214556,15.783,-0.0608,-7.5641,28.6354,-0.2603,3.0994,78.19351120750503,26.70548618429958,81.78256648601872,-20.380783081054688,-88.90459696451823,-41.85807122124566,1.305999755859375,0.3809114966062036,0.7531753388961943,-1.0859849717881944,-0.06785074869791667,1.2892066107855902,0.7389,-0.4859,8.0174,0.17234,-0.02474,-0.0197,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.5606,excitation,multi_sine,9.286580772746012,-666.6288661131289,316.4792037912408,-177.3869771893194,0.13116464474267212,-149.9610735770418,16.5006,-0.0084,-7.4448,13.8272,0.1528,10.5282,78.22687130163212,26.71392308603419,81.79922953690632,-20.406265258789062,-88.90577528211806,-41.82628207736545,1.305999755859375,0.32649653972965653,0.6969315934889387,-1.0623423258463542,-0.06785074869791667,1.357057359483507,0.6918,-0.4323,8.0303,0.17408,-0.01797,-0.01701,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.581,excitation,multi_sine,9.541095283422594,-666.6305949184435,316.371498326766,-177.38686969043238,0.13093203575358484,-149.9613473364433,16.5175,0.022,-7.0317,5.2846,0.3395,10.0584,78.24900032270072,26.719110318929843,81.80963119657913,-20.422804090711804,-88.90655517578125,-41.80407206217448,1.360414712735922,0.2720815828531095,0.6600634886486696,-1.0287306043836806,-0.0,1.357057359483507,0.6174,-0.5321,7.5975,0.17067,-0.01493,-0.01742,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.6008,excitation,multi_sine,9.945094667956837,-666.6290441079913,316.2153260858117,-177.38665840587478,0.13057202764611095,-149.96092328506808,16.3633,0.0091,-6.6911,1.8379,0.1818,3.6092,78.28403963901029,26.7261807281192,81.82546483408106,-20.44720967610677,-88.90773349338107,-41.76973978678385,1.4148296696124691,0.32649653972965653,0.6748977510055693,-1.0307142469618056,-0.0,1.4927588568793402,0.6528,-0.534,7.8782,0.18869,-0.00617,-0.01342,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.6209,excitation,multi_sine,10.2118541069618,-666.6266060404052,316.10924214901064,-177.38651671918237,0.13035663725875887,-149.96132950665728,15.968,-0.0102,-6.5475,1.7618,-0.2217,-5.5985,78.30715443828318,26.730810486444152,81.83648515455793,-20.463858710394966,-88.90851338704427,-41.746410793728295,1.5236663818359375,0.2720815828531095,0.7097195162631498,-1.0866800944010417,-0.06785074869791667,1.4927588568793402,0.681,-0.3352,8.4506,0.17291,-0.01288,-0.01252,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.6411,excitation,multi_sine,10.622709170349191,-666.6250580086639,315.9386739087154,-177.38688740986166,0.1305874208531035,-149.9617659091508,16.1889,-0.0181,-6.9998,5.2007,-0.5797,-15.4364,78.3427920199857,26.738683115137686,81.85322298861966,-20.489188300238716,-88.90968322753906,-41.71062893337673,1.4148296696124691,0.32649653972965653,0.7012010328840501,-1.0743628607855902,-0.0,1.4927588568793402,0.7115,-0.3569,8.547,0.17094,-0.01213,-0.01598,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.6609,excitation,multi_sine,10.886468211799134,-666.6276062450122,315.8185557028017,-177.38690440521276,0.1306013228349162,-149.96310171263275,16.7311,-0.0416,-7.6616,11.0426,-0.418,-23.8734,78.36573685749923,26.744638575185643,81.86445406167815,-20.507125854492188,-88.91042073567708,-41.686553955078125,1.4692514249593904,0.3809114966062036,0.7161644661780631,-1.154539320203993,-0.06785074869791667,1.5606180826822915,0.6581,-0.4935,7.904,0.17433,-0.02342,-0.01109,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.6808,excitation,multi_sine,11.162792614836443,-666.6311762374911,315.6907696478386,-177.3869027005883,0.13056971690064453,-149.96326615041176,16.8339,-0.0565,-8.1727,14.0693,0.124,-28.4799,78.38978984568378,26.751097122041305,81.87620861695544,-20.526131523980034,-88.91117519802518,-41.66255527072482,1.4692514249593904,0.435333251953125,0.7194005380762686,-1.231231689453125,-0.06785074869791667,1.6284688313802083,0.7244,-0.3658,8.142,0.18873,-0.00792,-0.01425,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.7011,excitation,multi_sine,11.565427588885418,-666.6325480173966,315.478523871608,-177.38776096514658,0.13127709546851646,-149.96448725102994,16.9954,-0.0372,-8.6597,11.0038,0.4056,-28.4187,78.42478157270072,26.761308424543625,81.89609414280051,-20.55626763237847,-88.9123026529948,-41.626688639322914,1.5236663818359375,0.435333251953125,0.8168770063041461,-1.2892405192057292,-0.06785074869791667,1.4249081081814237,0.6805,-0.3883,8.2014,0.17151,-0.01855,-0.01591,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.7212,excitation,multi_sine,11.8461769182759,-666.6311211592207,315.33052848875053,-177.3885566418272,0.13191415252410332,-149.96346532752784,17.4545,-0.019,-9.27,-1.4241,0.2873,-22.8971,78.44913369358176,26.768181678092127,81.9102417596496,-20.577011108398438,-88.91304863823784,-41.603597005208336,1.4692514249593904,0.435333251953125,0.8649693857325186,-1.2895456949869792,-0.06785074869791667,1.4249081081814237,0.7794,-0.3979,7.9307,0.19101,-0.01717,-0.01496,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.7407,excitation,multi_sine,12.317870747570241,-666.6334245325288,315.07991586268037,-177.3880770116742,0.1314750850345526,-149.96265736119756,17.3674,-0.0004,-9.6324,-20.7866,0.1302,-13.4092,78.49013526840966,26.78015378442141,81.93452589582688,-20.615191989474827,-88.91425238715277,-41.56383938259548,1.4148296696124691,0.435333251953125,0.8688445138459159,-1.4031643337673612,-0.0,1.4249081081814237,0.6508,-0.5236,8.448,0.16739,-0.01448,-0.02367,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.7609,excitation,multi_sine,12.588468849017033,-666.6323757768606,314.9371291512412,-177.38744306631602,0.13087903268783485,-149.96130415643395,16.779,0.0154,-9.8088,-39.9639,-0.0808,-3.7271,78.51361718508277,26.786632726688197,81.94906782395769,-20.63778347439236,-88.91493055555556,-41.541968451605904,1.4148296696124691,0.3809114966062036,0.9660762371403155,-1.4551459418402777,-0.06785074869791667,1.2892066107855902,0.8581,-0.3957,7.5013,0.18976,-0.02614,-0.01622,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.781,excitation,multi_sine,12.955520847263685,-666.6277894619454,314.7117091892833,-177.38716738260024,0.13056621998602133,-149.96136404599213,15.8283,-0.0056,-9.9282,-56.9166,-0.3921,4.6755,78.54543402643488,26.796504105671797,81.97221661558245,-20.672225952148438,-88.91591389973958,-41.51048448350694,1.251584798982828,0.435333251953125,0.9315332091680848,-1.4248826768663194,-0.06785074869791667,1.2892066107855902,0.882,-0.3319,8.1151,0.19964,-0.02695,-0.01531,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.8007,excitation,multi_sine,13.197580572162783,-666.6293833190355,314.5611388119681,-177.3868298231509,0.13026163083530534,-149.96021952933995,14.3985,-0.0456,-9.6618,-70.7696,-0.3666,13.2291,78.56648888918433,26.80370368579827,81.98677893912438,-20.695071750217014,-88.91649881998698,-41.49083455403646,1.305999755859375,0.489748208829672,0.8813536993347773,-1.4271460639105902,-0.06785074869791667,1.2213473849826388,0.7609,-0.2201,7.882,0.19264,-0.00672,-0.01301,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
1.8206,excitation,multi_sine,13.516683652210963,-666.6339578977679,314.3301660768576,-177.38707513064995,0.1304455411721536,-149.95944890468678,12.4396,-0.0544,-9.0807,-78.5419,-0.0069,21.8445,78.59430143148592,26.81507072826423,82.00822131468517,-20.728429158528645,-88.91730414496527,-41.464174058702255,1.0339181730062654,0.435333251953125,0.8733043104115099,-1.4382765028211806,-0.06785074869791667,1.0856458875868056,0.8981,-0.2618,8.5501,0.18307,-0.00763,-0.01906,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
