subject_id,truth_scenario,iteration,alpha_hip,alpha_knee,alpha_phase,time_scale,parent_reference_id,parent_reference_sha256,trajectory_id,trajectory_feasible,invalid_reason,domain_coverage,trajectory_sha256,reference_deviation,combined_peak_ratio,combined_torque_rate_ratio,mechanical_cost_j_rms,hip_rms_ratio,knee_rms_ratio,hip_peak_ratio,knee_peak_ratio,hip_torque_rate_ratio,knee_torque_rate_ratio,reference_deviation_definition,hip_rms_torque_nm,knee_rms_torque_nm,hip_peak_abs_torque_nm,knee_peak_abs_torque_nm,hip_rms_torque_rate_nm_s,knee_rms_torque_rate_nm_s,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,reference_hip_peak_abs_torque_nm,reference_knee_peak_abs_torque_nm,reference_hip_rms_torque_rate_nm_s,reference_knee_rms_torque_rate_nm_s,deterministic_rank,mechanically_equivalent_to_minimum,proposed_for_execution
knee_stiff,matched_linear,1,0,0,-0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p-0.01000,True,,99.7506234414,328fdf1633e441e03afc11e246c786f9359c1b8df11ac69c35c6e22d0a463813,0.354238952104,1.00001117648,1.00249479792,1.00007717059,0.999901902094,1.00025240837,1.00000856603,1.00001378691,1.00723210315,0.99773499994,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0289152999,37.9480941731,36.7220715284,53.9924297987,1.92570111571,6.49424048048,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,3,True,False
heavy_leg,matched_linear,1,0,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.00000,True,,99.7506234414,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,0,1,1,1,1,1,1,1,1,1,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,3,False,False
heavy_leg,matched_linear,1,1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+1.000_k+0.000_p+0.00000,False,domain_coverage_insufficient,81.7955112219,cb9899a7f1438e33da040300144c74a17ef135c12f8ba2e709e8fd84196a7f82,,,,,,,,,,,,,,,,,,,,,,,,,,False
heavy_leg,matched_linear,1,-1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h-1.000_k+0.000_p+0.00000,True,,99.7506234414,7aeaadd85997c9fd9cb282f5595360e5346d2922a64e587007b79390007adcd6,0.467274409324,1.00112946334,0.996346414419,1.002628352,1.00326809741,1.00198819813,1.0000331937,1.00222453385,0.990611844337,1.00204816696,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,34.8696949913,11.1609848557,45.9926782615,16.1422148469,3.13318428899,2.65376658788,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,5,False,False
heavy_leg,matched_linear,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
heavy_leg,matched_linear,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.992584437369,0.995725980197,0.993329429486,1.00034011317,0.986268913099,1.00003351037,0.985079036805,1.00152637897,0.989891593813,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,34.767929653,10.9858902762,45.9926928253,15.8660628595,3.16770562914,2.62157182049,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,1,True,True
heavy_leg,matched_linear,1,0,0,0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.01000,True,,99.5012468828,b95f62c0235fed33f3d5e62264fd19f5463e3d706f212810a5914f84ca3f737c,0.351342066625,1.00004424591,1.00489720248,0.999935766477,1.00008323921,0.999788271994,1.00003255851,1.00005593317,1.00705631483,1.00273344108,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,34.7590017136,11.1364802334,45.9926490482,16.1072865282,3.18519614095,2.65558142834,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,2,False,False
heavy_leg,matched_linear,1,0,0,-0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p-0.01000,True,,99.7506234414,328fdf1633e441e03afc11e246c786f9359c1b8df11ac69c35c6e22d0a463813,0.354238952104,1.00004571558,1.00162903454,1.00007824638,0.999885562876,1.00027089277,1.00003489268,1.00005653836,1.00422391392,0.99902741523,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,34.7521312536,11.1418560684,45.9927563993,16.1072962755,3.17623760277,2.64576660317,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,4,False,False
baseline,combined_mild,1,0,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.00000,True,,99.7506234414,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,0,1,1,1,1,1,1,1,1,1,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.2475233888,12.6112486522,36.7955908457,18.2988091072,1.87166639829,2.67240230761,30.2475233888,12.6112486522,36.7955908457,18.2988091072,1.87166639829,2.67240230761,3,False,False
baseline,combined_mild,1,1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+1.000_k+0.000_p+0.00000,False,domain_coverage_insufficient,81.7955112219,cb9899a7f1438e33da040300144c74a17ef135c12f8ba2e709e8fd84196a7f82,,,,,,,,,,,,,,,,,,,,,,,,,,False
