case_id,subject_id,scenario_name,distance_to_supported_region,distance_definition,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5.830952,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,9.16668806676e-05,9.32079880376e-05,1,0,0.00997288941736,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,625,0.000665947580047,0.000664040660939,1,0,0.00246053745541,0.999989481445
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.082763,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.49365313157e-05,4.35055590171e-05,1,0,0.00805517241379,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.324555,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,5.08543657712e-06,5.55914784339e-06,1,0,0.00890178359096,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.403124,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.000139916862322,0.000141221465086,0.92,0,0.0105816884661,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.708204,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,5.16422281471e-05,5.30784264985e-05,1,0,0.00994625445898,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,625,0.000708328181959,0.000706446956421,1,0,0.00265078715815,0.999985598427
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7.071068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,8.5484391623e-05,8.37011267902e-05,1,0,0.00823781212842,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7.211103,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00010002279811,0.00010157789919,1,0,0.0105417360285,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7.28011,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,3.70923290816e-05,3.55758973314e-05,1,0,0.00890558858502,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7.615773,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,1.14042150282e-05,1.26336362112e-05,1,0,0.00991961950059,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,8.062258,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,5.98705496698e-05,6.12639663793e-05,1,0,0.0104751486326,1
baseline__matched_linear,baseline,matched_linear,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,7650,1.48788519631e-13,1.28452803949e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,1,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,1.9982847123e-13,1.84074977483e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,1.414214,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.44044800929e-14,3.46389583683e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,2,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,2.19414708624e-13,2.06279437975e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,2.236068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,4.66093830198e-14,4.06341627013e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,2.828427,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.18864942731e-14,3.2640556924e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,3,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,2.3990853748e-13,2.28483898468e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,3.162278,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,5.581535234e-14,4.89053242347e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,3.605551,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,4.43578507259e-14,3.92463839205e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,4,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,2.60800016503e-13,2.49356091331e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,4.123106,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,6.93822777009e-14,6.37823127647e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,4.242641,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.00035560233e-14,3.35287353437e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,4.472136,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,5.3785864651e-14,4.8017145815e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,925,2.69432644363e-13,2.61457522299e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,5.09902,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,8.67772520508e-14,8.55426840474e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,5.385165,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,6.82787160144e-14,6.41153796721e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,5.656854,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,3.87956333725e-14,3.39728245535e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,5.830952,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,5.20938847615e-14,4.55746551609e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,6,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,3.0385649552e-13,2.93320923106e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,6.082763,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.07405195848e-13,1.06636921515e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,6.324555,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,8.63553673014e-14,8.55426840474e-14,1,0,0,1
